場所,R,馬番,馬名,騎手名,騎手利益度_1,騎手利益度_2,騎手利益度_3,騎手利益度_4,騎手利益度_5,騎手利益度_6,騎手利益度,騎手利益度順位
函館,1,1,シバノパージャン,小沢大仁,-147.0,-173.0,-2372.0,-6818.0,2344.0,,-7166.0,13.0
函館,1,2,アゲンストオッズ,斎藤新　,-1258.0,401.0,-2155.0,32.0,-1090.0,,-4070.0,12.0
函館,1,3,サンエンジェルス,浜中俊　,-161.0,-27.0,1107.0,467.0,1127.0,,2513.0,4.0
函館,1,4,ハイバーニアン,長浜鴻緒,-159.0,-226.0,1531.0,864.0,1497.0,,3507.0,2.0
函館,1,5,ミルトメロディー,河原田菜,,-2203.0,-2758.0,-2431.0,-4370.0,,-11762.0,15.0
函館,1,6,ヴェンデボヌール,佐々木大,1486.0,-258.0,796.0,1158.0,332.0,,3514.0,1.0
函館,1,7,コシタンタン,小林美駒,-374.0,25.0,-155.0,-836.0,399.0,,-941.0,9.0
函館,1,8,ルナノーヴァ,池添謙一,-474.0,457.0,301.0,-743.0,94.0,,-365.0,8.0
函館,1,9,マテンロウブリッジ,横山和生,-122.0,-47.0,295.0,-264.0,1760.0,,1622.0,6.0
函館,1,10,ニシノオールワン,鮫島克駿,316.0,547.0,165.0,-467.0,1916.0,,2477.0,5.0
函館,1,11,デルマアサマ,黛弘人　,231.0,413.0,137.0,-114.0,2261.0,,2928.0,3.0
函館,1,12,ビップアリス,小崎綾也,0.0,-153.0,1125.0,-197.0,-170.0,,605.0,7.0
函館,1,13,カガラプンツェル,原田和真,-2288.0,-4727.0,-1414.0,520.0,-1435.0,,-9344.0,14.0
函館,1,14,フリーダムスタイル,吉田隼人,13.0,8.0,-1074.0,-1870.0,-808.0,,-3731.0,11.0
函館,1,15,マメーアップル,横山琉人,0.0,-1084.0,-102.0,-759.0,27.0,,-1918.0,10.0
函館,1,16,アルマフレイヤ,遠藤汰月,,-7636.0,-3767.0,-7583.0,-3188.0,,-22174.0,16.0
函館,2,1,ライヴマルガリータ,富田暁　,0.0,170.0,47.0,-150.0,-602.0,,-535.0,7.0
函館,2,2,ホワイトラバーズ,国分恭介,54.0,1476.0,1862.0,1934.0,3402.0,,8728.0,1.0
函館,2,3,マルシュボヌール,舟山瑠泉,213.0,-2686.0,-37.0,2613.0,1447.0,,1550.0,4.0
函館,2,4,ダンツアラーム,遠藤汰月,,-7636.0,-6073.0,-2147.0,-3188.0,,-19044.0,11.0
函館,2,5,サトノフレイ,小林美駒,-374.0,25.0,-196.0,1251.0,399.0,,1105.0,5.0
函館,2,6,キタノオンザバス,原田和真,-2288.0,-4727.0,475.0,-754.0,-1435.0,,-8729.0,10.0
函館,2,7,テリコス,岩田康誠,-327.0,-856.0,-51.0,1457.0,386.0,,609.0,6.0
函館,2,8,ペガサスウィンド,鮫島克駿,316.0,547.0,1757.0,2084.0,1916.0,,6620.0,2.0
函館,2,9,ユマハム,横山和生,-122.0,-47.0,742.0,1042.0,1760.0,,3375.0,3.0
