場所,R,クラス,種別,距離,馬場状態,馬番,馬名,年齢,騎手名,調教師名,脚質傾向,コース複勝率,距離帯複勝率,距離区分,回り,道悪判定,レースレベル,種牡馬名,臨戦過程,距離変遷
新潟,1,未勝利,芝,1800,稍重,1,ショウナンアイバ,3歳,斎藤新,高橋義忠,,,,中距離,左回り,芝道悪,Lv3 ,452,,
新潟,1,未勝利,芝,1800,稍重,2,エキゾチックガール,3歳,石神深道,和田正一,先行,0.0,0.0,中距離,左回り,芝道悪,Lv3 ,410,休明初戦,
新潟,1,未勝利,芝,1800,稍重,3,コヴェナント,3歳,丸山元気,根本康広,,,,中距離,左回り,芝道悪,Lv3 ,466,,
新潟,1,未勝利,芝,1800,稍重,4,グラツィオーソ,3歳,柴田大知,田中剛,差し,,0.0,中距離,左回り,芝道悪,Lv3 ,476,,
新潟,1,未勝利,芝,1800,稍重,5,エリセイラ,3歳,亀田温心,大久保龍,先行,,0.0,中距離,左回り,芝道悪,Lv3 ,428,休明2走,距離短縮
新潟,1,未勝利,芝,1800,稍重,6,カウンティフェア,3歳,永島まな,高野友和,追込,,,中距離,左回り,芝道悪,Lv3 ,454,,距離短縮
新潟,1,未勝利,芝,1800,稍重,7,ブラックダイヤ,3歳,泉谷楓真,杉山晴紀,先行,,0.0,中距離,左回り,芝道悪,Lv3 ,426,休明初戦,
新潟,1,未勝利,芝,1800,稍重,8,シンデレラダッシュ,3歳,小沢大仁,宮田敬介,差し,,0.0,中距離,左回り,芝道悪,Lv3 ,438,休明初戦,距離短縮
新潟,1,未勝利,芝,1800,稍重,9,ラッキーダンス,3歳,石田拓郎,新開幸一,追込,,0.0,中距離,左回り,芝道悪,Lv3 ,448,休明初戦,
新潟,1,未勝利,芝,1800,稍重,10,ナウウィアートール,3歳,小崎綾也,高橋一哉,追込,,,中距離,左回り,芝道悪,Lv3 ,446,休明初戦,距離短縮
新潟,1,未勝利,芝,1800,稍重,11,エニグマティーク,3歳,和田陽希,小崎憲,差し,0.0,,中距離,左回り,芝道悪,Lv3 ,456,休明初戦,
新潟,1,未勝利,芝,1800,稍重,12,サクラカゼ,3歳,鷲頭虎太,堀内岳志,追込,,0.0,中距離,左回り,芝道悪,Lv3 ,456,休明初戦,
新潟,1,未勝利,芝,1800,稍重,13,ジョリーピクシー,3歳,今村聖奈,笹田和秀,,,,中距離,左回り,芝道悪,Lv3 ,458,,
新潟,1,未勝利,芝,1800,稍重,14,ハツコイサイダー,3歳,西塚洸二,吉岡辰弥,先行,,,中距離,左回り,芝道悪,Lv3 ,470,休明2走,距離延長
新潟,1,未勝利,芝,1800,稍重,15,ミッドタウンナイト,3歳,秋山稔樹,河嶋宏樹,逃げ,,,中距離,左回り,芝道悪,Lv3 ,478,,距離短縮
新潟,1,未勝利,芝,1800,稍重,16,アイルフィレール,3歳,田山旺佑,新谷功一,,,,中距離,左回り,芝道悪,Lv3 ,428,,
