場所,R,クラス,種別,距離,馬場状態,馬番,馬名,年齢,騎手名,調教師名,距離区分,回り,道悪判定,種牡馬名,臨戦過程,距離変遷
札幌,1,未勝利,芝,1800,良,1,ハイライトニング,2歳,横山和生,嘉藤貴行,中距離,右回り,,リアルスティール,,距離延長
札幌,1,未勝利,芝,1800,良,2,ラシッド,2歳,石川倭,杉浦宏昭,中距離,右回り,,マクマホン,,
札幌,1,未勝利,芝,1800,良,3,エバーシャンティ,2歳,横山武史,久保田貴,中距離,右回り,,ルーラーシップ,,
札幌,1,未勝利,芝,1800,良,4,ブルームオブピース,2歳,古川吉洋,北出成人,中距離,右回り,,デクラレーションオブウォー,,
札幌,1,未勝利,芝,1800,良,5,グロリアスマーチ,2歳,佐々木大,須貝尚介,中距離,右回り,,モーリス,,
札幌,1,未勝利,芝,1800,良,6,マイネルシンベリン,2歳,丹内祐次,武市康男,中距離,右回り,,リオンディーズ,,
札幌,1,未勝利,芝,1800,良,7,クリスタルメモリー,2歳,原優介,萱野浩二,中距離,右回り,,キセキ,,
札幌,2,未勝利,ダート,1700,良,1,スフレ,3歳,佐々木大,野中賢二,中距離,右回り,,ルヴァンスレーヴ,,
札幌,2,未勝利,ダート,1700,良,2,ユージュアーナ,3歳,斎藤新,奥村豊,中距離,右回り,,リアルスティール,休明3走,
札幌,2,未勝利,ダート,1700,良,3,ティアップマッハ,3歳,黛弘人,奥平雅士,中距離,右回り,,リオンディーズ,,
札幌,2,未勝利,ダート,1700,良,4,シンシーネ,3歳,舟山瑠泉,高橋義忠,中距離,右回り,,ドレフォン,休明3走,
札幌,2,未勝利,ダート,1700,良,5,アイドルアイズ,3歳,キング,新谷功一,中距離,右回り,,ホッコータルマエ,,
札幌,2,未勝利,ダート,1700,良,6,グランクリュ,3歳,荻野琢真,今野貞一,中距離,右回り,,エピファネイア,,距離延長
札幌,2,未勝利,ダート,1700,良,7,シャインシュシュ,3歳,松岡正海,小野次郎,中距離,右回り,,ゴールデンマンデラ,,距離延長
札幌,2,未勝利,ダート,1700,良,8,ミストラルフェザー,3歳,鮫島克駿,茶木太樹,中距離,右回り,,モーリス,,距離延長
