場所,R,馬番,馬名,騎手名,騎手利益度_1,騎手利益度_2,騎手利益度_3,騎手利益度_4,騎手利益度_5,騎手利益度_6,騎手利益度,騎手利益度順位
中山,1,1,ゼラニウム,丸田恭介,2212.0,-192.0,1148.0,-780.0,2175.0,-139.0,4424.0,3.0
中山,1,2,ソラニワラエバ,石神深道,1520.0,1780.0,-1543.0,-1678.0,526.0,2719.0,3324.0,4.0
中山,1,3,ハイトラクション,長浜鴻緒,2247.0,-226.0,786.0,1673.0,1497.0,1235.0,7212.0,1.0
中山,1,4,シャイニーヒーロー,小崎綾也,-43.0,-153.0,388.0,1824.0,-170.0,-669.0,1177.0,5.0
中山,1,5,ハチキンキリシマ,遠藤汰月,-4263.0,-7636.0,-6073.0,-2147.0,-3188.0,-4073.0,-27380.0,12.0
中山,1,6,ナムラダックス,杉原誠人,507.0,-309.0,-1224.0,-501.0,323.0,462.0,-742.0,6.0
中山,1,7,グラスクラージュ,木幡巧也,-1633.0,955.0,473.0,-405.0,-1294.0,-1554.0,-3458.0,9.0
中山,1,8,ヴィシーチェック,原優介　,-575.0,-2246.0,-351.0,-1187.0,-2011.0,-1681.0,-8051.0,11.0
中山,1,9,サクセスボーイ,佐藤翔馬,1530.0,-19.0,-188.0,-2226.0,1035.0,-1430.0,-1298.0,7.0
中山,1,10,マジックファイト,柴田大知,485.0,-542.0,-1013.0,-1015.0,387.0,-528.0,-2226.0,8.0
中山,1,11,イキフン,菊沢一樹,-603.0,2470.0,1138.0,174.0,830.0,935.0,4944.0,2.0
中山,1,12,ニシノマキロイ,野中悠太,-907.0,-350.0,-922.0,-2069.0,-2246.0,-347.0,-6841.0,10.0
中山,2,1,プレママドンナ,丸山元気,909.0,760.0,620.0,1128.0,223.0,-22.0,3618.0,5.0
中山,2,2,イントゥーザブルー,丹内祐次,-232.0,697.0,1654.0,-913.0,1778.0,861.0,3845.0,4.0
中山,2,3,コスモデュアリズム,遠藤汰月,-4263.0,-7636.0,-3767.0,-7583.0,-3188.0,-1736.0,-28173.0,12.0
中山,2,4,モーモーゼロ,石神深道,1520.0,1780.0,-1860.0,-1347.0,526.0,117.0,736.0,8.0
中山,2,5,ヒズストーリー,小崎綾也,-43.0,-153.0,1125.0,-197.0,-170.0,-49.0,513.0,9.0
中山,2,6,マーズワース,石橋脩　,981.0,-106.0,-1154.0,1377.0,787.0,-639.0,1246.0,7.0
中山,2,7,コスモティタノ,嶋田純次,-233.0,-336.0,1472.0,2130.0,-489.0,779.0,3323.0,6.0
