開催日,場所,R,馬番,馬名,推定人気,人気ランク,テン1F_過去,テン1F_過去_ランク,テン1F_前走,テン1F_前走_ランク,テン_T,テン_T_ランク,上がり_T,上がり_T_ランク,前走_評価,前々走_評価,3走前_評価,4走前_評価,5走前_評価
20260711,函館,1,1,ラピッドテソーロ,2,B,12.3,2.0,12.3,2.0,,,,,D,,,,
20260711,函館,1,2,タイガーストリート,7,D,12.4,3.0,12.4,3.0,,,,,D,,,,
20260711,函館,1,3,ラストモーメント,5,D,12.6,5.0,12.6,5.0,,,,,D,,,,
20260711,函館,1,4,ブルドッグミトス,8,D,12.1,1.0,12.1,1.0,,,,,B,,,,
20260711,函館,1,5,クラウスーラ,1,B,12.8,8.0,12.8,8.0,37.0,2.0,36.7,1.0,C,,,,
20260711,函館,1,6,セイウンコハルタ,10,D,12.4,3.0,12.4,3.0,,,,,D,,,,
20260711,函館,1,7,ウメヒナタ,3,C,12.6,5.0,12.6,5.0,,,,,C,,,,
20260711,函館,1,8,ベイビーブラザー,6,D,13.1,10.0,13.1,10.0,37.3,4.0,38.0,3.0,C,,,,
20260711,函館,1,9,ロゼハイスクール,9,D,13.4,11.0,13.4,11.0,39.2,5.0,38.5,4.0,C,,,,
20260711,函館,1,10,ワイドウィンザー,4,C,12.7,7.0,12.7,7.0,36.7,1.0,37.5,2.0,C,,,,
20260711,函館,1,11,カクシンゴールド,11,E,12.8,8.0,12.8,8.0,37.0,2.0,39.4,5.0,C,,,,
20260711,函館,2,1,シルフ,8,D,13.0,11.0,13.0,4.0,36.2,,35.7,1.0,C,C,,,
20260711,函館,2,2,ワンダーアスク,10,D,12.6,6.0,13.5,10.0,35.7,3.0,36.7,2.0,D,C,B,C,B
20260711,函館,2,3,タガノシルフィー,6,C,12.1,1.0,13.4,9.0,36.6,,37.9,,C,C,C,D,C
20260711,函館,2,4,フレンチブラッサム,5,C,12.4,5.0,13.1,5.0,35.8,4.0,37.5,4.0,C,C,,C,D
20260711,函館,2,5,コイバナ,11,D,12.9,9.0,13.3,8.0,36.9,,37.7,7.0,D,C,C,D,C
20260711,函館,2,6,マーゴットクリュグ,4,C,12.2,2.0,13.6,11.0,35.6,2.0,38.3,,C,C,C,D,B
20260711,函館,2,7,サラサチャチャチャ,2,C,13.2,12.0,13.9,14.0,37.2,,38.0,,C,C,C,D,B
20260711,函館,2,8,メリオルヴィア,7,D,12.2,2.0,13.1,5.0,35.3,1.0,37.6,6.0,B,C,C,C,B
20260711,函館,2,9,チカマヨルキーナ,12,E,13.2,12.0,13.7,13.0,37.0,,38.9,,D,C,B,C,B
20260711,函館,2,10,ジーティービキニ,3,C,12.2,2.0,12.7,1.0,37.1,,37.4,3.0,D,C,C,C,B
