開催日,場所,R,馬番,馬名,推定人気,人気ランク,テン1F_過去,テン1F_過去_ランク,テン1F_前走,テン1F_前走_ランク,テン_T,テン_T_ランク,上がり_T,上がり_T_ランク,前走_評価,前々走_評価,3走前_評価,4走前_評価,5走前_評価
20260607,東京,1,1,カゼノオモイデ,16,E,13.4,14.0,13.4,10.0,,,,,B,,,,
20260607,東京,1,2,ハクサンミレイ,6,D,12.6,7.0,12.6,4.0,35.8,6.0,37.4,5.0,B,B,C,,
20260607,東京,1,3,キタノローズ,5,C,12.6,7.0,12.7,6.0,34.8,1.0,37.8,8.0,C,C,C,C,C
20260607,東京,1,4,ユキノサイエンス,9,D,12.5,6.0,12.9,7.0,36.1,8.0,36.9,1.0,C,C,C,D,C
20260607,東京,1,5,カーボフリオ,1,B,11.9,1.0,13.8,13.0,35.4,4.0,37.1,3.0,D,D,C,C,D
20260607,東京,1,6,ダイユウレゾナンス,14,E,13.5,15.0,13.8,13.0,37.1,,37.4,5.0,C,C,C,,
20260607,東京,1,7,エリースノー,2,C,12.6,7.0,13.0,8.0,35.4,4.0,37.3,4.0,C,C,D,B,
20260607,東京,1,8,ビリキナータ,7,D,12.4,4.0,12.4,3.0,35.2,2.0,40.4,,C,,,,
20260607,東京,1,9,ルクリーシア,8,D,12.8,11.0,,,36.1,8.0,39.4,,,B,B,B,
20260607,東京,1,10,アジーザム,15,E,12.6,7.0,12.6,4.0,36.1,8.0,39.2,,C,C,D,,
20260607,東京,1,11,テンハートビート,4,C,12.1,2.0,12.1,1.0,35.2,2.0,38.0,,C,C,C,B,
20260607,東京,1,12,ロンバスブレス,3,C,12.3,3.0,12.3,2.0,36.0,7.0,38.7,,C,,,,
20260607,東京,1,13,パウラメロディーア,13,E,,,,,,,,,,,,,
20260607,東京,1,14,フィーユレアル,10,D,12.8,11.0,13.4,10.0,36.4,,37.7,7.0,C,C,C,B,C
20260607,東京,1,15,グラデュエール,12,E,12.4,4.0,13.3,9.0,36.6,,37.0,2.0,D,C,C,D,B
20260607,東京,1,16,ペリバジャ,11,E,12.8,11.0,13.5,12.0,,,,,B,C,E,,
20260607,東京,2,1,クリムゾンリーフ,2,B,13.0,6.0,13.1,2.0,37.5,8.0,37.3,2.0,C,C,C,C,C
20260607,東京,2,2,キョウエイシュバル,15,E,13.2,9.0,13.4,6.0,37.3,6.0,38.8,,C,C,C,D,
20260607,東京,2,3,ホグホグナナハン,16,E,13.4,12.0,14.2,13.0,37.1,5.0,38.3,,C,E,,,
20260607,東京,2,4,アイムスティルミー,9,D,12.9,3.0,13.4,6.0,38.1,,37.6,5.0,C,C,B,D,B
20260607,東京,2,5,タートルインメイ,13,E,12.9,3.0,12.9,1.0,37.0,4.0,38.1,7.0,B,C,C,C,B
20260607,東京,2,6,マスカルポーネ,7,D,12.9,3.0,13.7,10.0,37.5,8.0,39.0,,C,C,C,C,C
20260607,東京,2,7,ネイティヴプライド,4,C,12.7,1.0,13.7,10.0,36.7,2.0,37.0,1.0,C,C,C,C,C
20260607,東京,2,8,インナーパッション,6,D,13.2,9.0,13.2,4.0,,,,,D,,,,
20260607,東京,2,9,ブルーフレア,3,B,13.1,7.0,13.1,2.0,36.8,3.0,37.4,4.0,C,C,C,,
