開催日,場所,R,馬番,馬名,推定人気,人気ランク
20260627,函館,1,1,ビアーレ,8,D
20260627,函館,1,2,アルサック,1,B
20260627,函館,1,3,フォークスアップ,15,E
20260627,函館,1,4,グリニッジローズ,16,E
20260627,函館,1,5,エフティヴェント,9,E
20260627,函館,1,6,リネアベルタ,6,D
20260627,函館,1,7,フリーダムスタイル,7,D
20260627,函館,1,8,スノーガーネット,10,E
20260627,函館,1,9,レースクイーン,14,E
20260627,函館,1,10,ニシノオールワン,3,C
20260627,函館,1,11,サンアイディール,13,E
20260627,函館,1,12,ラブソング,12,E
20260627,函館,1,13,スーパーチャイルド,11,E
20260627,函館,1,14,アリアス,4,C
20260627,函館,1,15,スイープセレニティ,2,B
20260627,函館,1,16,ルージュアストレア,5,D
20260627,函館,2,1,サンタクローチェ,10,D
20260627,函館,2,2,スイーヴル,2,B
20260627,函館,2,3,シルフ,11,D
20260627,函館,2,4,ロングフルスペック,12,E
20260627,函館,2,5,アイビーミャーオ,3,C
20260627,函館,2,6,クインズスズラン,5,C
20260627,函館,2,7,ドリームガッサン,6,D
20260627,函館,2,8,カレンココナ,7,D
20260627,函館,2,9,チュラヴェール,9,D
20260627,函館,2,10,マリブサーフ,1,B
20260627,函館,2,11,アドバンスジェンヌ,4,C
20260627,函館,2,12,セラサイト,8,D
20260627,函館,3,1,キセログラフィカ,2,C
20260627,函館,3,2,サクセスブルー,9,D
20260627,函館,3,3,ハイランダー,10,D
20260627,函館,3,4,ホウオウファラオ,4,D
20260627,函館,3,5,トーレス,12,E
20260627,函館,3,6,エコロアビス,5,D
20260627,函館,3,7,ミスチヴマリアンヌ,7,D
20260627,函館,3,8,ルージュアイラ,8,D
20260627,函館,3,9,コイオステソーロ,1,A
20260627,函館,3,10,チリンドリ,6,D
20260627,函館,3,11,ホウオウバトラー,11,E
20260627,函館,3,12,シンエンドーツダ,3,C
20260627,函館,4,1,インフィオラータ,10,D
20260627,函館,4,2,ララニューディー,2,C
20260627,函館,4,3,オケアノステソーロ,13,E
20260627,函館,4,4,エグジスタンス,6,D
20260627,函館,4,5,クールフィデル,5,D
20260627,函館,4,6,ヘイマー,14,E
20260627,函館,4,7,ゲフィオン,8,D
20260627,函館,4,8,マンサニージャ,4,D
20260627,函館,4,9,ラウターユーベル,11,E
20260627,函館,4,10,アルケミラモリス,12,E
20260627,函館,4,11,エアヴァイブス,1,B
20260627,函館,4,12,ウインラファーガ,7,D
20260627,函館,4,13,ケナゲ,16,E
20260627,函館,4,14,アイムイン,3,C
20260627,函館,4,15,ラップトップ,9,D
20260627,函館,4,16,ダンツアラーム,15,E
20260627,函館,5,1,ステラトップガン,1,A
20260627,函館,5,2,ミハテヌユメ,3,C
20260627,函館,5,3,ライーリーアース,5,D
20260627,函館,5,4,サウンドエフォート,8,D
20260627,函館,5,5,アゴルディーノ,4,D
20260627,函館,5,6,ルギッドドランジュ,6,D
20260627,函館,5,7,ヌーンベルク,2,B
20260627,函館,5,8,マナベラ,7,D
20260627,函館,6,1,コサージュ,7,D
20260627,函館,6,2,リアル,9,D
20260627,函館,6,3,エリカビアリッツ,1,A
20260627,函館,6,4,サンエンジェルス,5,D
20260627,函館,6,5,プリンセスアツコ,2,B
20260627,函館,6,6,コウソクユノ,3,C
20260627,函館,6,7,コーリンクレア,8,D
20260627,函館,6,8,ワンダーアスク,10,E
20260627,函館,6,9,プルーフリーディン,4,C
20260627,函館,6,10,ドンレミラピュセル,6,D
20260627,函館,6,11,ファントムグレース,11,E
20260627,函館,7,1,ブランヴァンダイク,8,D
20260627,函館,7,2,コスモナエマ,6,D
20260627,函館,7,3,グランアルト,4,D
20260627,函館,7,4,メイショウテンク,1,B
20260627,函館,7,5,ディーリライズ,9,D
20260627,函館,7,6,マカナアネラ,3,B
20260627,函館,7,7,サウンドサンライズ,7,D
20260627,函館,7,8,アイドクレース,5,D
20260627,函館,7,9,エオアリイ,10,E
20260627,函館,7,10,ゴガツノアマノガワ,11,E
20260627,函館,7,11,ドウアドバンテージ,2,B
20260627,函館,8,1,マメタンク,1,A
20260627,函館,8,2,フレンズプラス,3,C
20260627,函館,8,3,サツキレジーナ,9,D
20260627,函館,8,4,ミサビスケッツ,6,D
20260627,函館,8,5,ブラックトルネード,11,E
20260627,函館,8,6,スパークルジョイ,7,D
20260627,函館,8,7,カッタッパ,2,C
20260627,函館,8,8,セイルロケット,10,D
20260627,函館,8,9,ジュウオウ,8,D
20260627,函館,8,10,マジェステラ,4,D
20260627,函館,8,11,テーオーナタリー,5,D
20260627,函館,9,1,クワイエットアイ,6,D
20260627,函館,9,2,ブライアーヒル,8,E
20260627,函館,9,3,ナオミライトニング,5,D
20260627,函館,9,4,ララバニュルス,1,B
20260627,函館,9,5,トップオンザヒル,9,E
20260627,函館,9,6,ファニーバニー,4,D
20260627,函館,9,7,ドリーミングアップ,3,B
20260627,函館,9,8,シュークリーム,2,B
20260627,函館,9,9,ナンナンプー,7,D
20260627,函館,10,1,ハートメテオ,1,B
20260627,函館,10,2,ラブリーリディア,9,D
20260627,函館,10,3,ヨヒーン,3,C
20260627,函館,10,4,ウィルサヴァイブ,2,B
20260627,函館,10,5,リッチブラック,10,D
20260627,函館,10,6,ロードマンハイム,5,D
20260627,函館,10,7,レイヤードレッド,6,D
20260627,函館,10,8,バルティカ,7,D
20260627,函館,10,9,ウインアクトゥール,4,D
20260627,函館,10,10,アメジストブラック,8,D
20260627,函館,10,11,ドッビアーコ,11,E
20260627,函館,11,1,ダンツエラン,13,E
20260627,函館,11,2,ブラックチャリス,2,B
20260627,函館,11,3,ジョーメッドヴィン,7,D
20260627,函館,11,4,ステークホルダー,14,E
20260627,函館,11,5,ティニア,4,C
20260627,函館,11,6,クファシル,12,D
20260627,函館,11,7,マイネルレノン,11,D
20260627,函館,11,8,サウザンサニー,9,D
20260627,函館,11,9,モリノドリーム,8,D
20260627,函館,11,10,ナムラローズマリー,10,D
20260627,函館,11,11,ナムラクララ,5,D
20260627,函館,11,12,アメリカンステージ,1,B
20260627,函館,11,13,ロードフォアエース,6,D
20260627,函館,11,14,ルージュラナキラ,3,C
20260627,函館,12,1,マーベリックシチー,5,D
20260627,函館,12,2,テイエムゴッホ,1,A
20260627,函館,12,3,ビナハイバン,8,D
20260627,函館,12,4,ストロングボーイ,2,B
20260627,函館,12,5,グレイスフルマーチ,4,C
20260627,函館,12,6,アイファーシャドー,10,D
20260627,函館,12,7,パシーヴ,6,D
20260627,函館,12,8,ベイビールビオ,9,D
20260627,函館,12,9,フロウアンドライム,7,D
20260627,函館,12,10,メイショウソラリス,3,C
20260627,小倉,1,1,シスキンブルーム,1,A
20260627,小倉,1,2,スマートメモリー,3,C
20260627,小倉,1,3,ペプチドニンバス,5,D
20260627,小倉,1,4,イザベル,4,D
20260627,小倉,1,5,クリコキアナ,2,B
20260627,小倉,1,6,ニドヅケキンシ,6,D
20260627,小倉,2,1,クリコファルコン,6,D
20260627,小倉,2,2,ヴォーゲ,10,E
20260627,小倉,2,3,メイショウマドンナ,13,E
20260627,小倉,2,4,モズエムブイピー,5,D
20260627,小倉,2,5,メイショウテンジン,3,C
20260627,小倉,2,6,サンライズキース,14,E
20260627,小倉,2,7,アルムアポジェ,4,C
20260627,小倉,2,8,モズタイシソウシ,8,D
20260627,小倉,2,9,メイワキラリ,9,D
20260627,小倉,2,10,ジャスパーブレイズ,1,B
20260627,小倉,2,11,ショーライトイヤー,12,E
20260627,小倉,2,12,マユナイト,7,D
20260627,小倉,2,13,コパノルーカス,11,E
20260627,小倉,2,14,スマッシング,2,B
20260627,小倉,3,1,エイシンミスリル,8,D
20260627,小倉,3,2,ミリタリータトゥー,6,D
20260627,小倉,3,3,ゴールデンテティス,11,E
20260627,小倉,3,4,ジリアート,7,D
20260627,小倉,3,5,メイショウツキヨ,16,E
20260627,小倉,3,6,ヴァーティゴー,15,E
20260627,小倉,3,7,アロハ,2,C
20260627,小倉,3,8,ライツェントライゼ,4,C
20260627,小倉,3,9,クィーンズウィンク,10,E
20260627,小倉,3,10,オーロラボレアリス,5,D
20260627,小倉,3,11,ミスマリーゴールド,13,E
20260627,小倉,3,12,ビサイレント,14,E
20260627,小倉,3,13,スズノボンライミー,9,E
20260627,小倉,3,14,ミッキーテネシー,3,C
20260627,小倉,3,15,エコロゼルダ,12,E
20260627,小倉,3,16,バロッカネーラ,1,A
20260627,小倉,4,1,サカトクフェイス,13,E
20260627,小倉,4,2,セイウンダイフク,11,E
20260627,小倉,4,3,シンゼンコジロウ,14,E
20260627,小倉,4,4,タマモスカイ,5,D
20260627,小倉,4,5,ソルアモール,7,D
20260627,小倉,4,6,シャンパンスター,2,C
20260627,小倉,4,7,シャドウクライ,8,D
20260627,小倉,4,8,アイランド,1,B
20260627,小倉,4,9,オセアスターライト,12,E
20260627,小倉,4,10,ディープシャロー,10,E
20260627,小倉,4,11,ルヴレアール,9,D
20260627,小倉,4,12,テイエムロングダン,15,E
20260627,小倉,4,13,ラッキーヴォーグ,3,C
20260627,小倉,4,14,アップターンデイ,6,D
20260627,小倉,4,15,グレートアゲイン,16,E
20260627,小倉,4,16,ルージュエテルナ,4,C
20260627,小倉,5,1,ワッザイカ,4,D
20260627,小倉,5,2,リエーヴェ,3,B
20260627,小倉,5,3,ニシノキヅイタラ,6,D
20260627,小倉,5,4,カシノクロサイト,5,D
20260627,小倉,5,5,ヘキレキ,9,D
20260627,小倉,5,6,カエリールークス,2,B
20260627,小倉,5,7,クリノパッション,8,D
20260627,小倉,5,8,ルーストカール,7,D
20260627,小倉,5,9,タカモリ,1,B
20260627,小倉,5,10,ソゲソゲスマイル,10,E
20260627,小倉,6,1,フレアオブセンス,1,B
20260627,小倉,6,2,スクランプシャス,6,D
20260627,小倉,6,3,タガノミトゥンドゥ,7,D
20260627,小倉,6,4,グレイイメル,17,E
20260627,小倉,6,5,マスターストーン,16,E
20260627,小倉,6,6,クリスタルタワー,12,E
20260627,小倉,6,7,シャマレル,14,E
20260627,小倉,6,8,クロスボーダー,3,C
20260627,小倉,6,9,ビップヴォルフ,2,B
20260627,小倉,6,10,ヴェロシア,11,D
20260627,小倉,6,11,ルクスユアン,10,D
20260627,小倉,6,12,ゴナビーオーライト,15,E
20260627,小倉,6,13,スフィダンテ,4,C
20260627,小倉,6,14,ゼンノゾンターク,8,D
20260627,小倉,6,15,ブライトキングダム,5,D
20260627,小倉,6,16,トラカイキャッスル,9,D
20260627,小倉,6,17,ケンブリッジグレイ,13,E
20260627,小倉,7,1,クインズセレネ,8,D
20260627,小倉,7,2,ジョアン,7,D
20260627,小倉,7,3,メイショウウメゴチ,12,E
20260627,小倉,7,4,ベルメサイア,9,D
20260627,小倉,7,5,ショウナンラウール,6,D
20260627,小倉,7,6,ニホンピロマリンバ,10,D
20260627,小倉,7,7,アンピュルシオン,15,E
20260627,小倉,7,8,デュアルロール,16,E
20260627,小倉,7,9,クロユキ,11,E
20260627,小倉,7,10,クイーンズホリデー,5,C
20260627,小倉,7,11,ザラタン,4,C
20260627,小倉,7,12,ショコラプリン,1,B
20260627,小倉,7,13,ホウショウルクス,2,B
20260627,小倉,7,14,ポムドール,14,E
20260627,小倉,7,15,アンリーベイビー,3,C
20260627,小倉,7,16,ビジュードネージュ,13,E
20260627,小倉,8,1,ドルチェミスト,3,C
20260627,小倉,8,2,ブルズアイプリンス,7,D
20260627,小倉,8,3,メローネ,1,B
20260627,小倉,8,4,ベネメレンティ,5,D
20260627,小倉,8,5,メイショウハボマイ,8,D
20260627,小倉,8,6,テーオーミリカン,6,D
20260627,小倉,8,7,パレットフレイバー,9,E
20260627,小倉,8,8,レオナルドスター,2,B
20260627,小倉,8,9,ビーグラッド,4,D
20260627,小倉,9,1,ダノンアトラス,2,C
20260627,小倉,9,2,ノンブルドール,3,C
20260627,小倉,9,3,デルシエロ,8,E
20260627,小倉,9,4,サヴォアフェール,1,A
20260627,小倉,9,5,ウィテカービート,7,D
20260627,小倉,9,6,パイオニアスクエア,6,D
20260627,小倉,9,7,ゼンノインヴォーク,5,C
20260627,小倉,9,8,サンライズグラシア,4,C
20260627,小倉,10,1,ミキノバカラ,12,E
20260627,小倉,10,2,ホーリーブラッサム,3,C
20260627,小倉,10,3,メイショウミリオレ,9,D
20260627,小倉,10,4,ジェニファー,5,C
20260627,小倉,10,5,オオナミコナミ,8,D
20260627,小倉,10,6,ヤマニンレセディ,10,E
20260627,小倉,10,7,スネーフリンガ,4,C
20260627,小倉,10,8,ロードトレゾール,2,B
20260627,小倉,10,9,ブリーズオンチーク,13,E
20260627,小倉,10,10,ルージュサウダージ,6,D
20260627,小倉,10,11,サディーク,1,B
20260627,小倉,10,12,クォーツァイト,11,E
20260627,小倉,10,13,シュブロンレーヴル,7,D
20260627,小倉,11,1,ケイアイメキラ,14,E
20260627,小倉,11,2,ジューンエオス,5,D
20260627,小倉,11,3,テーオールビー,15,E
20260627,小倉,11,4,ハリーケーン,9,D
20260627,小倉,11,5,グランキングオー,11,E
20260627,小倉,11,6,メイショウミカワ,12,E
20260627,小倉,11,7,カネトシゴウト,10,D
20260627,小倉,11,8,プロミシングスター,8,D
20260627,小倉,11,9,ゴッドブルービー,1,B
20260627,小倉,11,10,マッシャーブルム,7,D
20260627,小倉,11,11,ストップヤーニング,2,B
20260627,小倉,11,12,アレナパラシオ,6,D
20260627,小倉,11,13,シンビリーブ,3,C
20260627,小倉,11,14,メイショウコガシラ,13,E
20260627,小倉,11,15,パフ,4,D
20260627,小倉,12,1,ルブリアン,4,C
20260627,小倉,12,2,ピアストイヤーズ,2,B
20260627,小倉,12,3,ノリノリソックス,7,D
20260627,小倉,12,4,レインオンミー,6,D
20260627,小倉,12,5,スレッドザニードル,5,D
20260627,小倉,12,6,リピ,3,C
20260627,小倉,12,7,メイショウオオミネ,8,D
20260627,小倉,12,8,タナスーペルノーバ,1,A
20260627,福島,1,1,グラヴィテ,6,D
20260627,福島,1,2,ナチュラルリバー,10,D
20260627,福島,1,3,ワールドシリーズ,14,E
20260627,福島,1,4,バラジ,2,B
20260627,福島,1,5,ディベルティスマン,1,B
20260627,福島,1,6,セキテイオー,5,C
20260627,福島,1,7,クロライナ,8,D
20260627,福島,1,8,エンジョイドライブ,9,D
20260627,福島,1,9,キュピドン,3,B
20260627,福島,1,10,ブライテストドーン,12,E
20260627,福島,1,11,アスクアットバット,13,E
20260627,福島,1,12,オーサムストローク,4,C
20260627,福島,1,13,トラマンダーレ,11,D
20260627,福島,1,14,フォルガイル,7,D
20260627,福島,2,1,ルプルミエラムール,13,E
20260627,福島,2,2,リマーカブル,14,E
20260627,福島,2,3,アオイミズホ,3,B
20260627,福島,2,4,コパノミラノ,4,C
20260627,福島,2,5,カンフーヒーロー,15,E
20260627,福島,2,6,タイセイジェンマ,10,E
20260627,福島,2,7,アーティキュレート,6,D
20260627,福島,2,8,スクイーズアウト,5,D
20260627,福島,2,9,フロムドーン,7,D
20260627,福島,2,10,マーゴットライズ,9,D
20260627,福島,2,11,ナツミカンチャン,11,E
20260627,福島,2,12,キタノタイキ,12,E
20260627,福島,2,13,リゼクールグレー,8,D
20260627,福島,2,14,テンオンスゴールド,1,A
20260627,福島,2,15,スターツトゥデイ,2,B
20260627,福島,3,1,コウユーニポポニコ,8,D
20260627,福島,3,2,ラフレードピエル,11,D
20260627,福島,3,3,ジェネラスキング,2,C
20260627,福島,3,4,タイセツナヒ,10,D
20260627,福島,3,5,ナリノシャーウッド,6,D
20260627,福島,3,6,サムシングニュー,9,D
20260627,福島,3,7,ブルーユンチェリー,13,E
20260627,福島,3,8,ガムラスタン,3,C
20260627,福島,3,9,プロスペクトパーク,4,C
20260627,福島,3,10,ショウナンパトス,1,B
20260627,福島,3,11,キタノブレイク,14,E
20260627,福島,3,12,ラルフテソーロ,5,C
20260627,福島,3,13,クラウンフリード,15,E
20260627,福島,3,14,コパノエイダン,7,D
20260627,福島,3,15,パータリプトラ,12,D
20260627,福島,4,1,トモジャシック,8,D
20260627,福島,4,2,ブラックバラード,3,B
20260627,福島,4,3,ミレニアムヒロイン,4,C
