開催日,場所,R,馬番,馬名,推定人気,人気ランク,テン1F_過去,テン1F_過去_ランク,テン1F_前走,テン1F_前走_ランク,テン_T,テン_T_ランク,上がり_T,上がり_T_ランク,前走_評価,前々走_評価,3走前_評価,4走前_評価,5走前_評価
20260425,京都,1,1,チュウワヘネシー,10,E,,,,,,,,,,,,,
20260425,京都,1,2,グランドフィナーレ,13,E,12.7,2.0,14.1,12.0,,,,,C,C,D,,
20260425,京都,1,3,オオアバレ,7,D,,,,,,,,,,,,,
20260425,京都,1,4,スージーハルワ,15,E,13.0,9.0,13.0,4.0,35.7,1.0,38.8,7.0,C,B,B,C,
20260425,京都,1,5,セスティーナ,3,C,13.2,11.0,13.2,8.0,37.3,5.0,38.0,6.0,D,,,,
20260425,京都,1,6,ガイストライヒ,1,A,12.7,2.0,13.0,4.0,36.2,2.0,37.0,2.0,C,C,C,D,
20260425,京都,1,7,サンライズナスカ,16,E,13.4,13.0,13.9,11.0,37.9,7.0,37.3,3.0,C,C,,,
20260425,京都,1,8,カフジマリボー,14,E,12.9,6.0,14.1,12.0,,,,,B,C,,,
20260425,京都,1,9,ガトー,4,C,12.8,4.0,12.8,1.0,37.9,7.0,39.1,8.0,C,,,,
20260425,京都,1,10,リアルフォルツァ,12,E,12.9,6.0,13.5,10.0,36.3,3.0,37.9,5.0,B,C,,,
20260425,京都,1,11,バケラッタ,2,B,12.9,6.0,12.9,3.0,37.2,4.0,36.9,1.0,C,C,C,C,
20260425,京都,1,12,ダイナソーコー,5,D,12.5,1.0,13.1,6.0,,,,,B,D,D,,
20260425,京都,1,13,キングオブストーム,9,E,,,,,,,,,,,,,
20260425,京都,1,14,ブーケ,8,D,12.8,4.0,12.8,1.0,,,,,B,,,,
20260425,京都,1,15,ハクサンリング,6,D,13.1,10.0,13.1,6.0,,,,,B,B,,,
20260425,京都,1,16,キタノアンドレイ,11,E,13.3,12.0,13.3,9.0,37.8,6.0,37.3,3.0,C,B,,,
20260425,京都,2,1,スーパーカルメン,14,E,12.7,8.0,12.7,4.0,35.6,5.0,39.3,8.0,D,C,,,
20260425,京都,2,2,ピエナブラック,7,D,12.8,10.0,12.8,6.0,36.3,7.0,39.3,8.0,B,B,C,C,B
20260425,京都,2,3,ペプチドレオン,1,B,12.6,6.0,12.6,3.0,35.2,4.0,36.8,1.0,C,C,D,C,
20260425,京都,2,4,ビーアイジーニー,10,E,13.7,15.0,13.7,13.0,38.3,,39.5,,D,,,,
