開催日,場所,R,馬番,馬名,推定人気,人気ランク,テン1F_過去,テン1F_過去_ランク,テン1F_前走,テン1F_前走_ランク,テン_T,テン_T_ランク,上がり_T,上がり_T_ランク,前走_評価,前々走_評価,3走前_評価,4走前_評価,5走前_評価
20260207,京都,1,1,ワルトシュタイン,4,C,12.9,5.0,13.4,6.0,37.1,5.0,37.5,2.0,D,C,C,,
20260207,京都,1,2,レッドフレーザー,3,C,13.8,9.0,13.8,9.0,40.2,,40.4,,C,,,,
20260207,京都,1,3,ノリチャンボウルズ,9,E,12.6,2.0,13.2,5.0,35.8,1.0,39.9,,C,C,D,D,
20260207,京都,1,4,トランスマリーン,2,C,12.8,4.0,12.9,2.0,,,,,E,D,D,A,
20260207,京都,1,5,ショーンバローズ,7,D,12.6,2.0,12.6,1.0,36.7,3.0,39.0,5.0,C,C,C,,
20260207,京都,1,6,カセノコンコルド,5,D,12.5,1.0,13.1,4.0,36.5,2.0,38.7,4.0,C,C,C,C,B
20260207,京都,1,7,シエルブリエ,8,E,13.8,9.0,13.8,9.0,,,,,B,,,,
20260207,京都,1,8,タイセイルビー,6,D,13.0,7.0,13.5,7.0,37.0,4.0,38.6,3.0,B,A,B,B,
20260207,京都,1,9,キリオス,1,A,12.9,5.0,12.9,2.0,38.3,,36.8,1.0,C,,,,
20260207,京都,1,10,アフリカンブラック,10,E,13.5,8.0,13.5,7.0,39.7,,39.5,,C,C,,,
20260207,京都,2,1,ラウターユーベル,7,D,13.6,6.0,13.6,5.0,39.7,,41.4,,C,,,,
20260207,京都,2,2,ハイビッグゴールド,5,D,13.3,4.0,14.1,8.0,38.3,,39.4,,C,C,,,
20260207,京都,2,3,ミーサーク,2,B,13.1,2.0,13.1,2.0,,,,,D,,,,
20260207,京都,2,4,ウインクリンゲル,9,E,13.2,3.0,13.2,3.0,39.3,,38.7,,C,,,,
20260207,京都,2,5,ウォーターハクビ,4,C,13.8,7.0,13.8,6.0,37.6,1.0,37.9,3.0,C,C,,,
20260207,京都,2,6,フォーティンブラス,3,C,13.8,7.0,13.8,6.0,41.0,,37.4,2.0,C,,,,
20260207,京都,2,7,アビル,1,A,13.0,1.0,13.0,1.0,38.1,2.0,37.2,1.0,C,,,,
20260207,京都,2,8,メイショウルーク,8,E,14.0,9.0,14.1,8.0,38.1,2.0,38.3,4.0,C,C,,,
20260207,京都,2,9,サイモンゼスト,6,D,13.4,5.0,13.4,4.0,38.2,4.0,39.4,,C,B,,,
20260207,京都,3,1,アニマレイ,1,B,12.0,1.0,13.6,12.0,36.3,5.0,38.2,5.0,C,A,C,C,B
20260207,京都,3,2,ゲレイロ,9,D,12.9,10.0,13.9,13.0,38.4,,37.4,2.0,C,E,C,,
20260207,京都,3,3,ポッドリプル,2,B,12.8,7.0,12.9,5.0,,,,,D,B,D,,
20260207,京都,3,4,テリオスリコ,4,D,12.8,7.0,12.8,3.0,36.9,7.0,38.2,5.0,C,C,,,
20260207,京都,3,5,メイショウボンテン,13,E,13.1,11.0,13.5,10.0,36.0,4.0,39.3,,C,C,B,,
20260207,京都,3,6,オニノウタゲ,12,E,12.8,7.0,12.8,3.0,37.2,,38.5,,D,D,,,
20260207,京都,3,7,シンゼンイセ,10,D,13.2,12.0,13.2,8.0,37.6,,39.6,,B,B,D,B,
20260207,京都,3,8,フリッシュ,5,D,12.6,5.0,12.6,1.0,37.5,,37.4,2.0,C,C,C,C,C
20260207,京都,3,9,ベラケンタウロス,14,E,13.5,13.0,13.5,10.0,37.8,,38.5,,D,,,,
20260207,京都,3,10,サマーブリザード,7,D,12.4,3.0,12.9,5.0,36.3,5.0,37.1,1.0,C,C,D,C,
20260207,京都,3,11,マリブサーフ,6,D,,,,,,,,,,,,,
20260207,京都,3,12,セイウンバジリスク,8,D,12.0,1.0,12.9,5.0,35.8,2.0,38.3,7.0,C,B,D,C,
20260207,京都,3,13,ジャーナーリア,3,C,12.5,4.0,13.4,9.0,35.7,1.0,37.7,4.0,C,C,C,D,
20260207,京都,3,14,ロット,11,D,12.6,5.0,12.6,1.0,35.8,2.0,39.4,,E,B,D,D,C
20260207,京都,4,1,スカルラッティ,9,D,,,,,,,,,,,,,
20260207,京都,4,2,サイモンゴージャス,15,E,,,,,,,,,,,,,
20260207,京都,4,3,クリュギスト,1,B,,,,,,,,,,,,,
20260207,京都,4,4,ワンダーゾルダート,14,E,,,,,,,,,,,,,
20260207,京都,4,5,サンライズビクター,11,D,,,,,,,,,,,,,
20260207,京都,4,6,アチーヴァー,4,C,,,,,,,,,,,,,
20260207,京都,4,7,エイシンキタールン,2,C,,,,,,,,,,,,,
20260207,京都,4,8,ビズロード,12,D,,,,,,,,,,,,,
20260207,京都,4,9,アキノビューティー,6,D,,,,,,,,,,,,,
20260207,京都,4,10,ルージュマシェリ,10,D,,,,,,,,,,,,,
20260207,京都,4,11,クレセントゼファー,5,D,,,,,,,,,,,,,
20260207,京都,4,12,アレンスター,13,D,,,,,,,,,,,,,
