開催日,場所,R,馬番,馬名,推定人気,人気ランク,テン1F_過去,テン1F_過去_ランク,テン1F_前走,テン1F_前走_ランク,テン_T,テン_T_ランク,上がり_T,上がり_T_ランク,前走_評価,前々走_評価,3走前_評価,4走前_評価,5走前_評価
20251115,京都,1,1,アーサーバローズ,4,C,13.2,4.0,13.4,8.0,36.7,1.0,37.9,2.0,C,B,D,,
20251115,京都,1,2,ファインブルー,9,E,13.1,3.0,14.3,11.0,37.1,2.0,39.6,,C,D,C,B,
20251115,京都,1,3,ヒロノスカイ,6,D,13.3,7.0,13.3,4.0,37.7,4.0,37.6,1.0,C,C,C,,
20251115,京都,1,4,ジーティーピカソ,1,B,12.6,1.0,12.6,1.0,37.3,3.0,38.5,5.0,B,,,,
20251115,京都,1,5,キタノシャカール,5,D,13.3,7.0,13.3,4.0,37.9,5.0,37.9,2.0,D,,,,
20251115,京都,1,6,ケンタッキーホーム,3,C,13.3,7.0,13.3,4.0,38.3,,40.0,,C,,,,
20251115,京都,1,7,レヴロード,10,E,13.3,7.0,13.3,4.0,38.6,,42.3,,C,,,,
20251115,京都,1,8,ベンティガオルサ,2,B,13.2,4.0,13.2,3.0,,,,,D,,,,
20251115,京都,1,9,マルーンドライブ,7,D,12.8,2.0,12.8,2.0,37.9,5.0,38.3,4.0,C,D,B,,
20251115,京都,1,10,クモンリュウ,11,E,13.4,11.0,13.4,8.0,38.7,,41.2,,C,,,,
20251115,京都,1,11,モチモチチャン,8,D,13.2,4.0,13.7,10.0,,,,,C,E,,,
20251115,京都,2,1,ファフロツキーズ,4,D,13.1,6.0,13.1,5.0,,,,,B,,,,
20251115,京都,2,2,ショーンバローズ,7,D,12.7,3.0,12.7,3.0,36.7,4.0,39.1,,C,,,,
20251115,京都,2,3,タイムレスラブ,9,D,13.8,11.0,13.8,11.0,37.9,,38.1,2.0,C,,,,
20251115,京都,2,4,リフラ,5,D,13.4,9.0,13.4,9.0,39.3,,38.3,3.0,C,C,,,
20251115,京都,2,5,アイカンアズーラ,3,C,12.8,4.0,12.8,4.0,36.3,3.0,38.6,4.0,C,,,,
20251115,京都,2,6,ユナダイヤ,8,D,13.0,5.0,13.1,5.0,,,,,C,C,,,
