開催日,場所,R,馬番,馬名,推定人気,人気ランク,テン1F_過去,テン1F_過去_ランク,テン1F_前走,テン1F_前走_ランク,テン_T,テン_T_ランク,上がり_T,上がり_T_ランク,前走_評価,前々走_評価,3走前_評価,4走前_評価,5走前_評価
20251102,京都,1,1,メイショウテスコ,6,D,13.7,14.0,13.7,13.0,39.4,,39.5,7.0,C,,,,
20251102,京都,1,2,ユイノディスタンス,15,E,13.2,7.0,13.2,6.0,38.5,,39.8,,C,D,,,
20251102,京都,1,3,パークヒルシューズ,11,E,13.2,7.0,13.3,10.0,,,,,D,D,A,,
20251102,京都,1,4,テイエムゴッホ,2,B,12.5,1.0,12.5,1.0,37.5,5.0,39.3,6.0,C,,,,
20251102,京都,1,5,テーオーレックス,7,D,13.0,4.0,13.0,4.0,,,,,C,B,C,,
20251102,京都,1,6,スギノダイナミック,14,E,13.2,7.0,13.2,6.0,37.9,,41.2,,C,,,,
20251102,京都,1,7,ナウオアネヴァー,8,D,13.2,7.0,13.2,6.0,37.3,4.0,39.6,,C,D,C,,
20251102,京都,1,8,リヴァデラルナ,4,D,13.3,12.0,13.3,10.0,,,,,B,,,,
20251102,京都,1,9,ロードステラート,3,C,12.9,3.0,12.9,3.0,38.3,,37.3,1.0,C,C,,,
20251102,京都,1,10,スラッシュ,13,E,13.3,12.0,13.3,10.0,36.8,3.0,39.2,5.0,C,,,,
20251102,京都,1,11,ポッドジーク,9,D,14.3,15.0,14.3,15.0,,,,,B,,,,
20251102,京都,1,12,コンテナヒーロー,5,D,13.1,6.0,13.1,5.0,37.8,7.0,38.8,4.0,C,,,,
20251102,京都,1,13,キングスペード,12,E,13.2,7.0,13.2,6.0,37.6,6.0,37.8,2.0,C,,,,
20251102,京都,1,14,カセノコンコルド,10,E,12.5,1.0,12.5,1.0,36.5,2.0,38.0,3.0,C,C,B,,
20251102,京都,1,15,ロードアマルフィ,1,B,13.0,4.0,13.7,13.0,35.4,1.0,39.6,,C,D,,,
20251102,京都,2,1,インフィオラータ,3,B,13.8,7.0,13.8,7.0,37.9,,35.1,,B,,,,
20251102,京都,2,2,ロゼア,6,D,12.8,2.0,12.8,1.0,35.5,1.0,36.5,,C,,,,
20251102,京都,2,3,ワンダフルボンド,1,A,13.2,5.0,13.2,3.0,37.0,,33.9,1.0,C,,,,
20251102,京都,2,4,ロングホリデー,2,B,12.9,3.0,12.9,2.0,36.9,,35.0,3.0,C,,,,
20251102,京都,2,5,オドワローズ,7,D,12.9,3.0,13.5,4.0,36.6,3.0,34.8,2.0,B,B,,,
