場所,R,クラス,種別,距離,馬場状態,馬番,馬名,年齢,騎手名,調教師名,脚質傾向,コース複勝率,距離帯複勝率,距離区分,回り,道悪判定,レースレベル,種牡馬名,臨戦過程,距離変遷
中山,1,未勝利,ダート,1200,重,1,プレイアブルゲーム,3歳,丸田恭介,小笠倫弘,追込,,,短距離,右回り,ダ道悪,Lv2 ,434,休明初戦,
中山,1,未勝利,ダート,1200,重,2,サクラパステル,3歳,丸山元気,田島俊明,,,,短距離,右回り,ダ道悪,Lv2 ,474,,
中山,1,未勝利,ダート,1200,重,3,ウイキャンウイン,3歳,永島まな,加藤和宏,追込,,,短距離,右回り,ダ道悪,Lv2 ,434,休明初戦,距離短縮
中山,1,未勝利,ダート,1200,重,4,イグニススピリタス,3歳,柴田大知,田中剛,逃げ,0.0,,短距離,右回り,ダ道悪,Lv2 ,480,休明初戦,距離短縮
中山,1,未勝利,ダート,1200,重,5,サードウインド,3歳,横山武史,西田雄一,先行,33.33333333333333,50.0,短距離,右回り,ダ道悪,Lv2 ,448,休明初戦,
中山,1,未勝利,ダート,1200,重,6,ジョイナーテソーロ,3歳,戸崎圭太,畠山吉宏,先行,75.0,60.0,短距離,右回り,ダ道悪,Lv2 ,438,,距離短縮
中山,1,未勝利,ダート,1200,重,7,キタノライブリー,3歳,横山琉人,本間忍,差し,0.0,50.0,短距離,右回り,ダ道悪,Lv2 ,446,休明初戦,
中山,1,未勝利,ダート,1200,重,8,グリューネベルグ,3歳,丹内祐次,青木孝文,先行,100.0,100.0,短距離,右回り,ダ道悪,Lv2 ,442,休明2走,
中山,1,未勝利,ダート,1200,重,9,コウソクグルーヴ,3歳,田辺裕信,中舘英二,追込,100.0,100.0,短距離,右回り,ダ道悪,Lv2 ,440,休明初戦,
中山,1,未勝利,ダート,1200,重,10,エスポワールドロワ,3歳,菅原隆一,小手川準,,,,短距離,右回り,ダ道悪,Lv2 ,470,,
中山,1,未勝利,ダート,1200,重,11,ジークマインド,3歳,石神深道,和田雄二,追込,0.0,0.0,短距離,右回り,ダ道悪,Lv2 ,456,,
中山,1,未勝利,ダート,1200,重,12,ダルドワーズ,3歳,石川裕紀,池上昌和,,,,短距離,右回り,ダ道悪,Lv2 ,456,,
中山,1,未勝利,ダート,1200,重,13,ラウレア,3歳,水沼元輝,伊藤大士,先行,0.0,,短距離,右回り,ダ道悪,Lv2 ,434,休明2走,距離短縮
中山,1,未勝利,ダート,1200,重,14,デンリッレハウエル,3歳,石田拓郎,林徹,差し,0.0,0.0,短距離,右回り,ダ道悪,Lv2 ,406,,
