場所,R,馬番,馬名,種牡馬名,種牡馬妙味度_1,種牡馬妙味度_2,種牡馬妙味度_3,種牡馬妙味度_4,種牡馬妙味度_5,種牡馬妙味度_6,種牡馬妙味度_7,種牡馬妙味度_8,種牡馬妙味度,種牡馬妙味度順位
福島,1,1,レイアポポ,シニスターミニスター,115.0,123.0,115.0,116.0,110.0,119.0,113.0,,115.857,1.0
福島,1,2,ユアマイクラッシュ,タワーオブロンドン,88.0,107.0,81.0,102.0,98.0,82.0,,,93.0,10.0
福島,1,3,ジーティーカメリア,ダンカーク,80.0,106.0,101.0,113.0,95.0,100.0,105.0,,100.0,6.0
福島,1,4,デルタウェーブ,リオンディーズ,111.0,94.0,99.0,92.0,97.0,102.0,89.0,,97.714,7.0
福島,1,5,アイドルフェスタ,カリフォルニアクローム,133.0,108.0,105.0,104.0,107.0,105.0,123.0,,112.143,2.0
福島,1,6,コロラマ,パドトロワ,,,,,,,,,,
福島,1,7,ライデンシャフト,モーニン,64.0,90.0,88.0,80.0,85.0,92.0,,,83.167,13.0
福島,1,8,サンピノン,アジアエクスプレス,116.0,96.0,102.0,97.0,103.0,106.0,102.0,,103.143,4.0
福島,1,9,ブルーフラット,ビッグアーサー,103.0,88.0,87.0,89.0,96.0,96.0,93.0,,93.143,9.0
福島,1,10,フラッシュケリー,モーニン,64.0,90.0,88.0,80.0,85.0,92.0,93.0,,84.571,12.0
福島,1,11,エスカラムサ,デクラレーションオブウォー,71.0,99.0,96.0,102.0,105.0,100.0,,,95.5,8.0
福島,1,12,アブラカタブラ,モズアスコット,21.0,109.0,117.0,109.0,117.0,140.0,,,102.167,5.0
福島,1,13,マジカルキャンディ,Practical Joke,,,,,,,,,,
福島,1,14,ビーマックス,サトノアラジン,77.0,94.0,95.0,95.0,99.0,97.0,92.0,,92.714,11.0
福島,1,15,ファムエレガンテ,Tiz the Law,,,,,,,,,,
福島,1,16,ベルトネ,パイロ,107.0,104.0,105.0,112.0,102.0,106.0,101.0,,105.286,3.0
福島,2,1,タマモジャスミン,タワーオブロンドン,88.0,107.0,81.0,121.0,98.0,82.0,,,96.167,12.0
福島,2,2,メイショウナナコ,モズアスコット,21.0,109.0,117.0,146.0,117.0,,,,102.0,8.0
福島,2,3,ブルームワルツ,サトノダイヤモンド,106.0,108.0,100.0,97.0,99.0,98.0,113.0,,103.0,7.0
福島,2,4,カルデライト,ナダル,54.0,95.0,112.0,108.0,101.0,78.0,,,91.333,13.0
福島,2,5,ミセスリリー,ワールドエース,58.0,92.0,93.0,92.0,90.0,86.0,90.0,,85.857,15.0
福島,2,6,ルージュサンセール,サートゥルナーリア,89.0,101.0,116.0,89.0,96.0,,,,98.2,10.0
福島,2,7,オーケーエンジェル,ナダル,54.0,95.0,112.0,108.0,101.0,78.0,,,91.333,13.0
福島,2,8,クインズメレンゲ,ブラックタイド,126.0,103.0,109.0,101.0,103.0,102.0,99.0,,106.143,5.0
福島,2,9,ピコピンク,ヘニーヒューズ,120.0,108.0,103.0,103.0,108.0,102.0,101.0,,106.429,4.0
福島,2,10,アークエタニティ,ルヴァンスレーヴ,174.0,90.0,106.0,114.0,133.0,68.0,,,114.167,3.0
福島,2,11,カーシュジアン,リアルスティール,96.0,113.0,108.0,110.0,103.0,104.0,,,105.667,6.0
福島,2,12,ボンショワ,リアルインパクト,73.0,104.0,99.0,111.0,97.0,99.0,115.0,,99.714,9.0
福島,2,13,ガイラルディア,シニスターミニスター,115.0,123.0,115.0,116.0,118.0,119.0,,,117.667,1.0
福島,2,14,テルモプシス,ゴールドドリーム,106.0,66.0,94.0,163.0,102.0,55.0,,,97.667,11.0
福島,2,15,サンルーナ,ゴールドアクター,119.0,114.0,96.0,113.0,122.0,114.0,122.0,,114.286,2.0
福島,3,1,ラースアルアイン,アルアイン,95.0,82.0,88.0,81.0,88.0,88.0,,,87.0,16.0
福島,3,2,オニマル,ビッグアーサー,103.0,88.0,100.0,89.0,96.0,96.0,93.0,,95.0,13.0
福島,3,3,リケアコンパンナ,ビッグアーサー,103.0,88.0,100.0,89.0,96.0,96.0,,,95.333,10.0
福島,3,4,スイモアマイモ,モーリス,88.0,100.0,99.0,99.0,97.0,98.0,,,96.833,9.0
福島,3,5,マグネシアブリック,ブリックスアンドモルタル,100.0,98.0,104.0,103.0,100.0,97.0,,,100.333,3.0
福島,3,6,モリオン,リオンディーズ,111.0,94.0,98.0,92.0,97.0,102.0,,,99.0,5.0
福島,3,7,エスペシャリー,スワーヴリチャード,77.0,101.0,97.0,94.0,87.0,92.0,,,91.333,15.0
福島,3,8,ロールザボーンズ,ゴールドシップ,112.0,102.0,101.0,102.0,75.0,103.0,,,99.167,4.0
福島,3,9,アンダースコア,ミッキーアイル,99.0,103.0,107.0,97.0,102.0,103.0,,,101.833,2.0
福島,3,10,ブラックティンカー,シルバーステート,97.0,92.0,104.0,98.0,97.0,99.0,,,97.833,8.0
福島,3,11,ロケットバディー,リオンディーズ,111.0,94.0,98.0,92.0,97.0,102.0,,,99.0,5.0
