場所,R,クラス,種別,距離,馬場状態,レースレベル,馬番,馬名,年齢,騎手名,調教師名,距離区分,回り,道悪判定,種牡馬名,臨戦過程,距離変遷,推定人気,人気ランク,テン1F_過去,テン1F_過去_ランク,テン1F_前走,テン1F_前走_ランク,テン_T,テン_T_ランク,上がり_T,上がり_T_ランク,前走_評価,前々走_評価,3走前_評価,4走前_評価,5走前_評価
函館,1,未勝利,芝,1200,良(暫定),Lv1 ,1,アイルドフルール,2歳,河原田菜,田中克典,短距離,右回り,,ミッキーアイル,連闘,,9,D,12.8,6.0,12.8,6.0,35.4,4.0,35.2,,C,D,,,
函館,1,未勝利,芝,1200,良(暫定),Lv1 ,2,キチロクタワー,2歳,長浜鴻緒,松永康利,短距離,右回り,,タワーオブロンドン,,,2,C,13.0,7.0,13.0,7.0,35.8,,34.6,2.0,B,,,,
函館,1,未勝利,芝,1200,良(暫定),Lv1 ,3,マナベラ,2歳,丹内祐次,岩戸孝樹,短距離,右回り,,フィレンツェファイア,連闘,,6,D,12.4,1.0,12.4,1.0,35.0,1.0,35.4,,D,,,,
函館,1,未勝利,芝,1200,良(暫定),Lv1 ,4,ライーリーアース,2歳,原田和真,蛯名利弘,短距離,右回り,,ハイランドリール,連闘,,4,C,12.7,5.0,12.7,5.0,35.2,2.0,35.1,,D,,,,
函館,1,未勝利,芝,1200,良(暫定),Lv1 ,5,クリアストライク,2歳,佐々木大,田中克典,短距離,右回り,,Mehmas,,,3,C,12.4,1.0,12.4,1.0,35.4,4.0,35.1,,D,,,,
函館,1,未勝利,芝,1200,良(暫定),Lv1 ,6,コックニー,2歳,横山武史,田中剛,短距離,右回り,,タワーオブロンドン,,,1,A,12.4,1.0,12.4,1.0,35.3,3.0,34.8,3.0,D,,,,
函館,1,未勝利,芝,1200,良(暫定),Lv1 ,7,チカバリエンテ,2歳,小林美駒,藤野健太,短距離,右回り,,シルバーステート,連闘,,5,C,13.0,7.0,13.0,7.0,35.8,,33.7,1.0,C,B,,,
函館,1,未勝利,芝,1200,良(暫定),Lv1 ,8,リアルジャパン,2歳,吉田隼人,大橋勇樹,短距離,右回り,,シスキン,,,8,D,12.6,4.0,12.6,4.0,35.6,,35.4,,D,,,,
函館,1,未勝利,芝,1200,良(暫定),Lv1 ,9,レインボースター,2歳,舟山瑠泉,加藤公太,短距離,右回り,,キズナ,,,7,D,13.0,7.0,13.0,7.0,35.8,,35.0,4.0,B,,,,
函館,2,未勝利,ダート,1000,良(暫定),Lv1 ,1,アクロスメモリア,3歳,小林美駒,田島俊明,短距離,右回り,,マインドユアビスケッツ,休明2走,距離短縮,4,D,12.4,5.0,12.7,4.0,35.2,3.0,39.2,,B,C,D,C,C
函館,2,未勝利,ダート,1000,良(暫定),Lv1 ,2,ペイシャクロス,3歳,長浜鴻緒,粕谷昌央,短距離,右回り,,ニシケンモノノフ,,距離短縮,8,D,12.9,8.0,12.9,5.0,35.3,4.0,38.7,6.0,C,C,,,
函館,2,未勝利,ダート,1000,良(暫定),Lv1 ,3,カッサンドラ,3歳,横山琉人,高橋義忠,短距離,右回り,,インディチャンプ,休明3走,,2,B,12.4,5.0,12.6,3.0,35.8,,36.9,2.0,C,C,C,B,B
函館,2,未勝利,ダート,1000,良(暫定),Lv1 ,4,カフェオドヴィー,3歳,斎藤新,古賀慎明,短距離,右回り,,ヘニーヒューズ,,,10,D,,,,,,,,,,,,,
