rlevel,topk,place_low_min,place_high_max,pop_min,pop_max,diff_pop_min,gap12_min,std_topn,std_max,bets,win_roi,win_hit,place_roi,place_hit,umaren_box_bets,umaren_box_roi,umaren_box_races,umaren_axis1_bets,umaren_axis1_roi,umaren_axis1_races
2,2,2.1,3.5,2,6,1,2.0,5,2.5,3,11.799999999999999,1.0,173.33333333333334,0.6666666666666666,0,,0,9,0.0,3
2,2,2.2,3.5,2,6,1,2.0,5,2.5,3,11.799999999999999,1.0,173.33333333333334,0.6666666666666666,0,,0,9,0.0,3
2,2,2.0,3.5,2,6,1,2.0,5,2.5,4,10.375,1.0,130.0,0.5,0,,0,10,0.0,4
2,2,2.2,3.5,2,6,0,2.0,5,2.5,4,11.35,1.0,130.0,0.5,0,,0,11,0.0,4
2,2,1.5,3.5,2,6,1,2.0,5,2.5,13,107.21538461538461,1.0,113.84615384615384,0.5384615384615384,0,,0,34,73.23529411764706,13
2,2,1.3,3.5,2,6,1,2.0,5,2.5,18,98.89444444444445,1.0,112.22222222222223,0.5555555555555556,3,0.0,3,38,65.52631578947368,15
2,2,2.1,3.5,2,6,1,2.0,5,3.5,14,9.77142857142857,1.0,111.42857142857143,0.42857142857142855,0,,0,44,94.31818181818183,14
2,2,1.4,3.5,2,6,1,2.0,5,2.5,14,99.85714285714285,1.0,105.71428571428572,0.5,0,,0,36,69.16666666666667,14
2,2,2.0,3.5,2,6,0,2.0,5,2.5,7,9.942857142857143,1.0,105.71428571428572,0.42857142857142855,0,,0,19,64.73684210526316,7
2,2,1.9,3.5,2,6,0,2.0,5,2.5,9,9.3,1.0,105.55555555555556,0.4444444444444444,0,,0,25,49.2,9
2,2,1.9,3.5,2,6,1,2.0,5,2.5,5,9.620000000000001,1.0,104.0,0.4,0,,0,14,0.0,5
2,2,2.1,3.5,2,6,0,2.0,5,2.5,5,10.959999999999999,1.0,104.0,0.4,0,,0,16,0.0,5
2,2,1.3,3.5,2,6,0,2.0,5,2.5,40,91.69,1.0,102.75000000000001,0.55,8,153.75,8,81,82.5925925925926,30
2,2,1.7,3.5,2,6,1,2.0,5,2.5,9,9.866666666666667,1.0,101.11111111111111,0.4444444444444444,0,,0,20,68.5,9
2,2,2.1,3.5,2,6,1,2.0,5,3.0,10,9.520000000000001,1.0,101.0,0.4,0,,0,27,70.37037037037037,10
2,2,1.6,3.5,2,6,1,2.0,5,2.5,11,9.436363636363634,1.0,100.9090909090909,0.45454545454545453,0,,0,27,92.22222222222223,11
2,2,1.4,3.5,2,6,0,2.0,5,2.5,34,86.21764705882352,1.0,100.58823529411765,0.5294117647058824,3,0.0,3,79,84.68354430379746,29
2,2,1.3,3.5,2,6,1,2.0,5,3.0,35,74.62285714285714,1.0,99.71428571428571,0.4857142857142857,3,0.0,3,90,103.22222222222221,32
2,2,1.5,3.5,2,6,0,2.0,5,2.5,31,77.17096774193547,1.0,99.67741935483872,0.5161290322580645,2,0.0,2,76,88.02631578947368,27
2,2,1.7,3.5,2,6,0,2.0,5,2.5,19,9.121052631578948,1.0,99.47368421052632,0.47368421052631576,1,0.0,1,42,61.904761904761905,16
2,2,1.5,3.5,2,6,1,2.0,5,3.0,29,76.53793103448275,1.0,96.89655172413794,0.4482758620689655,0,,0,83,111.92771084337349,29
2,2,2.2,3.5,2,6,1,2.0,5,3.5,11,9.990909090909092,1.0,96.36363636363636,0.36363636363636365,0,,0,38,50.0,11
2,2,1.3,3.5,2,6,1,2.0,5,3.5,52,71.84615384615385,1.0,95.38461538461539,0.46153846153846156,10,0.0,6,141,81.84397163120568,44
2,2,1.6,3.5,2,6,0,2.0,5,2.5,27,40.50370370370371,1.0,95.18518518518519,0.48148148148148145,1,0.0,1,68,98.38235294117646,24
2,2,1.4,3.5,2,6,1,2.0,5,3.0,31,71.9258064516129,1.0,95.16129032258065,0.45161290322580644,0,,0,88,105.56818181818181,31
2,2,1.3,3.5,2,6,0,2.0,5,3.0,72,75.10833333333332,1.0,94.86111111111111,0.5,10,123.0,10,171,91.40350877192982,60
2,2,1.5,3.5,2,6,1,2.0,5,3.5,40,57.85,1.0,94.75,0.425,2,0.0,2,125,92.32000000000001,38
2,2,1.4,3.5,2,6,0,2.0,5,3.0,62,69.85967741935484,1.0,93.54838709677419,0.4838709677419355,5,0.0,5,159,98.30188679245283,55
2,2,1.9,3.5,2,6,0,2.0,5,999.0,120,90.96083333333333,1.0,93.33333333333333,0.39166666666666666,9,0.0,7,387,71.21447028423773,111
2,2,1.4,3.5,2,6,1,2.0,5,3.5,46,72.71739130434783,1.0,92.6086956521739,0.43478260869565216,4,0.0,2,139,87.05035971223022,43
2,2,1.5,3.5,2,6,0,2.0,5,3.0,57,66.3736842105263,1.0,91.05263157894737,0.45614035087719296,3,0.0,3,153,102.15686274509804,52
2,2,1.3,3.5,2,6,0,2.0,5,3.5,105,87.33333333333333,1.0,90.57142857142857,0.47619047619047616,19,64.73684210526316,15,260,90.57692307692308,84
2,2,1.4,3.5,2,6,0,2.0,5,3.5,92,87.825,1.0,90.43478260869566,0.4673913043478261,11,0.0,9,246,98.00813008130082,78
2,2,1.4,3.5,2,6,0,2.0,5,4.0,122,98.38196721311473,1.0,90.1639344262295,0.4672131147540984,14,0.0,12,325,90.4,103
2,2,1.4,3.5,2,6,0,2.0,5,999.0,377,103.01803713527853,1.0,90.02652519893898,0.46153846153846156,45,107.11111111111111,41,1078,87.80148423005566,322
2,2,1.3,3.5,2,6,0,2.0,5,4.0,139,94.3115107913669,1.0,89.92805755395683,0.4748201438848921,22,55.90909090909091,18,348,85.48850574712644,112
2,2,1.7,3.5,2,6,0,2.0,5,3.0,38,8.605263157894735,1.0,89.21052631578948,0.42105263157894735,1,0.0,1,101,106.63366336633663,35
2,2,1.6,3.5,2,6,0,2.0,5,999.0,262,90.89541984732824,1.0,89.00763358778626,0.42366412213740456,19,121.05263157894737,17,806,86.36476426799008,236
2,2,2.0,3.5,2,6,1,2.0,5,3.5,20,9.120000000000001,1.0,89.0,0.35,0,,0,71,77.6056338028169,20
2,2,1.9,3.5,2,6,1,2.0,5,3.5,25,8.804,1.0,88.8,0.36,2,0.0,2,79,52.53164556962025,23
2,2,1.7,3.5,2,6,0,2.0,5,999.0,212,83.6193396226415,1.0,88.34905660377359,0.4009433962264151,14,164.28571428571428,12,669,69.98505231689089,192
2,2,1.4,3.5,2,6,0,2.0,5,6.0,228,96.9921052631579,1.0,88.20175438596492,0.4605263157894737,26,132.3076923076923,24,622,73.79421221864952,194
2,2,1.4,3.5,2,6,0,2.0,5,5.0,173,93.4057803468208,1.0,87.97687861271676,0.4624277456647399,19,121.05263157894737,17,471,81.21019108280255,149
2,2,1.7,3.5,2,6,1,2.0,5,3.5,34,8.908823529411764,1.0,87.94117647058823,0.38235294117647056,2,0.0,2,106,91.0377358490566,32
2,2,2.2,3.5,2,6,1,2.0,5,3.0,9,9.877777777777778,1.0,87.77777777777777,0.3333333333333333,0,,0,26,73.07692307692307,9
2,2,1.3,3.5,2,6,0,2.0,5,999.0,422,96.65331753554501,1.0,87.70142180094787,0.4597156398104265,57,106.14035087719299,51,1180,80.52542372881356,355
2,2,1.5,3.5,2,6,0,2.0,5,999.0,322,94.79782608695653,1.0,87.51552795031056,0.42857142857142855,33,69.6969696969697,31,949,83.55110642781875,279
2,2,1.3,3.5,2,6,0,2.0,5,6.0,255,91.21529411764706,1.0,87.45098039215686,0.4666666666666667,36,129.72222222222223,32,676,68.44674556213018,211
