場所,R,馬番,馬名,騎手名,騎手妙味度_1,騎手妙味度_2,騎手妙味度_3,騎手妙味度_4,騎手妙味度_5,騎手妙味度_6,騎手妙味度,騎手妙味度順位
東京,1,1,オーケーグリット,石川裕紀,100.0,97.0,100.0,99.0,97.0,91.0,97.333,8.0
東京,1,2,アルカディアカフェ,レーン　,,,,,,,,
東京,1,3,ドナシュネル,荻野極　,91.0,97.0,101.0,109.0,105.0,88.0,98.5,6.0
東京,1,4,アメリカンロマン,谷原柚希,,,,,,,,
東京,1,5,ウリズンベー,岩田康誠,94.0,92.0,99.0,93.0,93.0,100.0,95.167,13.0
東京,1,6,リアライズタキオン,津村明秀,101.0,105.0,100.0,106.0,105.0,92.0,101.5,4.0
東京,1,7,ファイアリービート,大野拓弥,95.0,97.0,95.0,102.0,98.0,98.0,97.5,7.0
東京,1,8,ピードモント,内田博幸,98.0,97.0,96.0,99.0,94.0,88.0,95.333,12.0
東京,1,9,スフェーンテソーロ,木幡巧也,101.0,103.0,101.0,100.0,101.0,94.0,100.0,5.0
東京,1,10,ブルースパーダ,原優介　,106.0,84.0,102.0,96.0,100.0,85.0,95.5,11.0
東京,1,11,ナフセッド,菅原明良,103.0,104.0,102.0,104.0,102.0,109.0,104.0,2.0
東京,1,12,アラクラン,北村宏司,106.0,98.0,101.0,106.0,107.0,103.0,103.5,3.0
東京,1,13,シンシア,菊沢一樹,105.0,115.0,108.0,112.0,111.0,116.0,111.167,1.0
東京,1,14,オーパパ,横山武史,92.0,100.0,92.0,95.0,91.0,92.0,93.667,14.0
東京,1,15,アオイミズホ,戸崎圭太,96.0,101.0,96.0,98.0,97.0,95.0,97.167,9.0
東京,1,16,クアッドフォルツァ,佐藤翔馬,105.0,107.0,98.0,106.0,90.0,68.0,95.667,10.0
東京,2,1,トゥモローズウェイ,菊沢一樹,105.0,115.0,110.0,112.0,111.0,104.0,109.5,2.0
東京,2,2,ラブミーアゲイン,嶋田純次,130.0,99.0,108.0,101.0,116.0,157.0,118.5,1.0
東京,2,3,ツウキンカイソク,菅原明良,103.0,104.0,100.0,104.0,102.0,100.0,102.167,5.0
東京,2,4,シンデレラカラー,丸山元気,87.0,98.0,97.0,97.0,98.0,92.0,94.833,8.0
東京,2,5,ベアコルム,松岡正海,93.0,102.0,108.0,101.0,91.0,120.0,102.5,4.0
東京,2,6,ドルマバフチェ,原優介　,106.0,84.0,91.0,96.0,100.0,84.0,93.5,9.0
東京,2,7,シンハ,石神深道,79.0,97.0,79.0,86.0,60.0,111.0,85.333,10.0
東京,2,8,ケイツータカ,石田拓郎,82.0,108.0,70.0,80.0,90.0,21.0,75.167,11.0
東京,2,9,リオンアンサー,丸田恭介,98.0,98.0,98.0,103.0,102.0,103.0,100.333,6.0
東京,2,10,モルニケ,戸崎圭太,96.0,101.0,100.0,98.0,97.0,93.0,97.5,7.0
東京,2,11,ヘイマー,遠藤汰月,,,,,,,,
東京,2,12,クイーンオブハート,野中悠太,102.0,103.0,99.0,103.0,100.0,109.0,102.667,3.0
東京,3,1,ウィロークリーク,横山和生,97.0,96.0,102.0,104.0,95.0,94.0,98.0,3.0
東京,3,2,ソラネルマン,ルメール,103.0,95.0,100.0,99.0,101.0,98.0,99.333,2.0
東京,3,3,イブキ,戸崎圭太,96.0,101.0,100.0,99.0,97.0,93.0,97.667,5.0
東京,3,4,ラシッド,佐藤翔馬,105.0,107.0,95.0,60.0,90.0,49.0,84.333,8.0
東京,3,5,オパールテソーロ,原優介　,106.0,84.0,91.0,99.0,100.0,84.0,94.0,6.0
東京,3,6,ポッドクロス,レーン　,,,,,,,,
東京,3,7,カサナルキセキ,石橋脩　,90.0,98.0,88.0,91.0,101.0,83.0,91.833,7.0
東京,3,8,パンジー,遠藤汰月,,,,,,,,
東京,3,9,ロイヤルヤマト,横山武史,92.0,100.0,100.0,97.0,91.0,107.0,97.833,4.0
東京,3,10,モデレートゲイル,吉田豊　,102.0,95.0,94.0,97.0,101.0,118.0,101.167,1.0
東京,3,11,ファムクラジューズ,石神深道,79.0,97.0,79.0,53.0,60.0,111.0,79.833,9.0
東京,4,1,ブルーブロディ,北村宏司,106.0,109.0,101.0,106.0,107.0,103.0,105.333,3.0
東京,4,2,ハクサンレイホウ,武藤雅　,95.0,95.0,99.0,88.0,90.0,99.0,94.333,10.0
東京,4,3,メビウスロマンス,嶋田純次,130.0,158.0,95.0,101.0,116.0,101.0,116.833,2.0
東京,4,4,イケイケルノワール,上里直汰,,,,,,,,
東京,4,5,メリティス,吉田豊　,102.0,103.0,101.0,99.0,101.0,102.0,101.333,6.0
東京,4,6,ダイバーシティ,内田博幸,98.0,83.0,96.0,99.0,94.0,88.0,93.0,11.0
東京,4,7,タガノアルテミス,菅原明良,103.0,95.0,102.0,104.0,102.0,109.0,102.5,4.0
東京,4,8,ワイドシャッフエン,今村聖奈,54.0,91.0,91.0,92.0,99.0,81.0,84.667,13.0
東京,4,9,クロリン,柴田大知,85.0,96.0,89.0,84.0,88.0,99.0,90.167,12.0
東京,4,10,シャトーベスト,原田和真,106.0,183.0,95.0,119.0,125.0,119.0,124.5,1.0
東京,4,11,ギルドホール,プーシャ,,,,,,,,
東京,4,12,タイキプレジール,石橋脩　,90.0,92.0,107.0,105.0,101.0,114.0,101.5,5.0
東京,4,13,ビルバンテ,横山和生,97.0,109.0,103.0,100.0,95.0,104.0,101.333,6.0
東京,4,14,ジーナグレイス,遠藤汰月,,,,,,,,
東京,4,15,ヘイスティハート,石川裕紀,100.0,96.0,100.0,99.0,97.0,91.0,97.167,8.0
東京,4,16,リリーサンライズ,戸崎圭太,96.0,93.0,96.0,98.0,97.0,95.0,95.833,9.0
東京,5,1,ミッキーダムール,大野拓弥,95.0,101.0,107.0,102.0,98.0,89.0,98.667,5.0
東京,5,2,インナーパッション,横山武史,92.0,96.0,100.0,95.0,91.0,107.0,96.833,7.0
東京,5,3,スピアザキック,原優介　,106.0,93.0,91.0,96.0,100.0,84.0,95.0,8.0
東京,5,4,クラージュスター,菊沢一樹,105.0,114.0,110.0,112.0,111.0,104.0,109.333,1.0
東京,5,5,イバラヒメ,石田拓郎,82.0,40.0,70.0,80.0,90.0,21.0,63.833,11.0
