,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞
2021,85.0,156.0,,137.0,94.0,10.0,79.0,162.0,20.0,24.0,20.0,30.0,49.0,98.0,,,,,18.0,72.0,17.0,128.0,95.0,1.0,
2022,251.0,340.0,,318.0,249.0,24.0,201.0,390.0,83.0,81.0,75.0,80.0,84.0,151.0,37.0,,,,58.0,141.0,41.0,271.0,268.0,8.0,3.0
2023,180.0,241.0,,211.0,197.0,13.0,115.0,306.0,45.0,58.0,56.0,58.0,56.0,142.0,1.0,,5.0,,54.0,81.0,30.0,184.0,194.0,10.0,3.0
2024,145.0,184.0,,159.0,160.0,10.0,154.0,175.0,4.0,,67.0,87.0,62.0,97.0,5.0,,,7.0,25.0,70.0,29.0,152.0,138.0,5.0,5.0
2025,268.0,239.0,,255.0,233.0,19.0,231.0,276.0,8.0,,124.0,129.0,88.0,134.0,14.0,8.0,2.0,,52.0,81.0,47.0,178.0,251.0,21.0,10.0
