,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞
2021,5.0,1.0,58.0,,,64.0,21.0,43.0,,,3.0,12.0,7.0,7.0,2.0,,6.0,27.0,1.0,,,44.0,,20.0,
2022,2.0,,36.0,,,38.0,7.0,31.0,,,3.0,4.0,2.0,5.0,1.0,,8.0,15.0,1.0,,,22.0,,16.0,
2023,6.0,,29.0,,,35.0,11.0,24.0,,,,6.0,4.0,6.0,1.0,2.0,5.0,11.0,3.0,,,18.0,,17.0,
2024,2.0,,18.0,,,20.0,3.0,17.0,,,,1.0,2.0,3.0,,4.0,3.0,7.0,,,,15.0,,5.0,
2025,3.0,,20.0,,,23.0,6.0,17.0,,,,1.0,2.0,2.0,3.0,4.0,6.0,5.0,,,,14.0,,9.0,
