場所,R,馬番,馬名,調教師名,調教師妙味度_1,調教師妙味度_2,調教師妙味度_3,調教師妙味度_4,調教師妙味度_5,調教師妙味度_6,調教師妙味度_7,調教師妙味度_8,調教師妙味度,調教師妙味度順位
札幌,1,1,ミアエッテ,田中剛　,119.0,113.0,103.0,95.0,102.0,112.0,,,107.333,3.0
札幌,1,2,ショウサンカナヲ,松下武士,101.0,93.0,96.0,94.0,104.0,94.0,66.0,81.0,91.125,5.0
札幌,1,3,コルテオソレイユ,佐藤悠太,,,,,,,,,,
札幌,1,4,マルモリラピダス,緒方努　,83.0,89.0,73.0,64.0,94.0,92.0,,,82.5,7.0
札幌,1,5,チェイサー,相沢郁　,76.0,89.0,93.0,105.0,88.0,100.0,129.0,97.0,97.125,4.0
札幌,1,6,サザンテイオー,根本康広,34.0,116.0,93.0,97.0,97.0,105.0,,,90.333,6.0
札幌,1,7,グロリアスマーチ,須貝尚介,136.0,107.0,102.0,107.0,102.0,100.0,,,109.0,2.0
札幌,1,8,コロッセウム,清水英克,144.0,109.0,119.0,103.0,100.0,111.0,,,114.333,1.0
札幌,2,1,ハイライトニング,嘉藤貴行,152.0,105.0,104.0,94.0,103.0,105.0,,,110.5,1.0
札幌,2,2,コレデヨカロウ,角田晃一,100.0,104.0,110.0,97.0,107.0,100.0,,,103.0,3.0
札幌,2,3,マリノリュミエール,村田一誠,88.0,75.0,82.0,61.0,72.0,79.0,,,76.167,10.0
札幌,2,4,アッカン,奥村武　,146.0,87.0,101.0,101.0,93.0,97.0,77.0,98.0,100.0,4.0
札幌,2,5,サントルドパリ,小林真也,119.0,97.0,94.0,80.0,98.0,105.0,,,98.833,5.0
札幌,2,6,コスモナエマ,手塚貴久,92.0,111.0,107.0,115.0,103.0,102.0,,,105.0,2.0
札幌,2,7,フクチャンブラック,高橋康之,108.0,93.0,105.0,96.0,92.0,96.0,,,98.333,6.0
札幌,2,8,ウンボイクザーム,緒方努　,83.0,89.0,73.0,64.0,72.0,92.0,,,78.833,9.0
札幌,2,9,ワラビガミ,新谷功一,90.0,96.0,96.0,86.0,97.0,97.0,82.0,85.0,91.125,8.0
札幌,2,10,シデンイッセン,田村康仁,80.0,98.0,95.0,101.0,92.0,93.0,,,93.167,7.0
