場所,R,馬番,馬名,種牡馬名,種牡馬利益度_1,種牡馬利益度_2,種牡馬利益度_3,種牡馬利益度_4,種牡馬利益度_5,種牡馬利益度_6,種牡馬利益度_7,種牡馬利益度_8,種牡馬利益度,種牡馬利益度順位
札幌,1,1,ウルヴァリン,ベストウォーリア,154.0,-1001.0,-175.0,-128.0,-916.0,-227.0,,,-2293.0,7.0
札幌,1,2,ステイフリー,ガルボ,,,,,,,,,,
札幌,1,3,ユニゾン,サンダースノー,-183.0,3025.0,4847.0,-277.0,1191.0,4169.0,,,12772.0,1.0
札幌,1,4,ユウトザケンケン,アメリカンペイトリオット,-335.0,-181.0,-1007.0,215.0,315.0,1481.0,-939.0,,-451.0,6.0
札幌,1,5,リピース,サンダースノー,-183.0,3025.0,4847.0,-277.0,1191.0,4169.0,,,12772.0,1.0
札幌,1,6,ジェネチェン,サトノダイヤモンド,879.0,2121.0,-41.0,270.0,-472.0,-854.0,2069.0,,3972.0,3.0
札幌,1,7,ホーリーデイ,クリソベリル,,,,,,,,,,
札幌,1,8,テンバコウクウ,ハッピースプリント,,,,,,,,,,
札幌,1,9,ティブロン,リオンディーズ,-363.0,-1814.0,-460.0,1206.0,78.0,1038.0,,,-315.0,5.0
札幌,1,10,タイガーゲイト,リオンディーズ,-363.0,-1814.0,-460.0,1206.0,78.0,1038.0,481.0,,166.0,4.0
札幌,2,1,ディアナタコス,ロゴタイプ,-28.0,-1977.0,-879.0,-516.0,-1801.0,-167.0,-175.0,,-5543.0,6.0
札幌,2,2,ココソラーレ,セイウンコウセイ,,,,,,,,,,
札幌,2,3,フィティテラ,ダノンプレミアム,,,,,,,,,,
札幌,2,4,ブレッティレディ,シュヴァルグラン,242.0,-2386.0,-221.0,-663.0,-955.0,-1119.0,,,-5102.0,5.0
札幌,2,5,シンギュラーレディ,ミスターメロディ,-236.0,-228.0,1263.0,-567.0,-167.0,-473.0,,,-408.0,3.0
札幌,2,6,ベルグランボヌール,モーリス,-225.0,-5.0,-847.0,-235.0,-2142.0,-1652.0,-1055.0,,-6161.0,7.0
札幌,2,7,マスキュラー,トゥザワールド,-69.0,161.0,-44.0,192.0,-354.0,82.0,,,-32.0,2.0
札幌,2,8,ヒッグスボソン,ファインニードル,115.0,-395.0,733.0,-251.0,353.0,-5.0,,,550.0,1.0
札幌,2,9,サフィニア,ミラアイトーン,,,,,,,,,,
札幌,2,10,ワイズギャング,ミスチヴィアスアレックス,,,,,,,,,,
札幌,2,11,ラスベガスサイン,シルバーステート,-165.0,-2175.0,1981.0,-474.0,-1355.0,-268.0,,,-2456.0,4.0
札幌,3,1,リュウジンオー,ミッキーアイル,-283.0,682.0,-837.0,-612.0,830.0,1117.0,,,897.0,4.0
札幌,3,2,サツキレジーナ,リオンディーズ,-363.0,-1814.0,-460.0,-2627.0,-1631.0,1038.0,,,-5857.0,8.0
札幌,3,3,プレインコート,ロードカナロア,71.0,-606.0,-288.0,-1124.0,1653.0,-3552.0,,,-3846.0,7.0
札幌,3,4,メイショウルーチェ,ダノンレジェンド,-30.0,229.0,4811.0,1849.0,2562.0,3179.0,,,12600.0,1.0
札幌,3,5,ウインボニータ,イスラボニータ,-292.0,693.0,-2141.0,725.0,3209.0,620.0,474.0,,3288.0,3.0
札幌,3,6,テーオーテバルディ,コパノリッキー,-726.0,-342.0,-2742.0,-1865.0,-2463.0,-1172.0,,,-9310.0,10.0
札幌,3,7,シンフォニーシーズ,マクフィ,-47.0,-286.0,-385.0,-999.0,-513.0,-47.0,614.0,,-1663.0,5.0
札幌,3,8,ハナヒラク,サングラス,,,,,,,,,,
札幌,3,9,スフレ,ルヴァンスレーヴ,1364.0,-957.0,891.0,1262.0,3608.0,-795.0,,,5373.0,2.0
札幌,3,10,ブラックエンパイア,ゴールドドリーム,609.0,-1060.0,-384.0,-2512.0,108.0,,,,-3239.0,6.0
札幌,3,11,セイルロケット,スワーヴリチャード,-357.0,145.0,-1297.0,-1873.0,-3067.0,-2064.0,,,-8513.0,9.0
札幌,3,12,ロアヴィヴィエンヌ,ノーブルミッション,,,,,,,,,,
札幌,4,1,ヤマニンヒストリア,サトノクラウン,-308.0,-3346.0,-1605.0,-1737.0,-2706.0,-1479.0,193.0,,-10988.0,13.0
札幌,4,2,ウインキララ,スクリーンヒーロー,20.0,537.0,823.0,1856.0,414.0,1488.0,,,5138.0,4.0
札幌,4,3,マザーズウィル,キズナ,-113.0,1802.0,4251.0,2547.0,3921.0,3253.0,,,15661.0,1.0
札幌,4,4,ユナホークパワー,イスラボニータ,-292.0,693.0,4154.0,725.0,-990.0,620.0,2234.0,,7144.0,2.0
札幌,4,5,サイモンイロハニー,ゴールドシップ,322.0,396.0,580.0,662.0,1279.0,1463.0,,,4702.0,5.0
札幌,4,6,ラファヴォリット,レイデオロ,-199.0,44.0,-1614.0,-4861.0,-1787.0,-3153.0,,,-11570.0,14.0
札幌,4,7,ソレエスピアージャ,キタサンブラック,471.0,937.0,-309.0,-564.0,263.0,1214.0,,,2012.0,9.0
札幌,4,8,テクスチャー,ラブリーデイ,247.0,-147.0,1004.0,-245.0,321.0,-32.0,,,1148.0,10.0
札幌,4,9,ディプタルアスール,フィエールマン,108.0,1356.0,869.0,812.0,140.0,,,,3285.0,8.0
札幌,4,10,アロマフェリス,レイデオロ,-199.0,44.0,-1614.0,-4861.0,-1787.0,-3153.0,,,-11570.0,14.0
札幌,4,11,ラマヌジャン,カリフォルニアクローム,-465.0,1874.0,-569.0,1253.0,55.0,1358.0,,,3506.0,6.0
札幌,4,12,ヒシカリナン,サトノダイヤモンド,879.0,2121.0,-1096.0,-1057.0,-472.0,-854.0,-1786.0,,-2265.0,12.0
札幌,4,13,シャインフリーリー,ウインブライト,660.0,664.0,-402.0,-55.0,-102.0,-653.0,,,112.0,11.0
札幌,4,14,レッドアトラーニ,エピファネイア,-315.0,-1602.0,-2937.0,-3588.0,-1809.0,-5692.0,-1724.0,,-17667.0,16.0
札幌,4,15,エイシンマクルーベ,ワンアンドオンリー,0.0,1061.0,510.0,351.0,687.0,812.0,,,3421.0,7.0
札幌,4,16,ドラギニャン,オルフェーヴル,313.0,930.0,1764.0,1034.0,1044.0,1152.0,402.0,,6639.0,3.0
札幌,5,1,エコロシード,Adios Charlie,,,,,,,,,,
札幌,5,2,ニルマーネル,モーリス,-225.0,-97.0,-847.0,-235.0,-2142.0,-1652.0,,,-5198.0,8.0
札幌,5,3,イノリ,キセキ,,,,,,,,,,
札幌,5,4,ノブピースオブラブ,Dark Angel,76.0,13.0,553.0,-120.0,526.0,385.0,,,1433.0,1.0
札幌,5,5,リリージョワ,シルバーステート,-165.0,501.0,1981.0,-474.0,-1355.0,-268.0,,,220.0,4.0
札幌,5,6,テーオーレックス,サートゥルナーリア,130.0,-174.0,-800.0,-499.0,418.0,-390.0,,,-1315.0,7.0
札幌,5,7,ファインコンダクト,ファインニードル,115.0,0.0,733.0,-251.0,353.0,-5.0,,,945.0,3.0
札幌,5,8,サンダーヴィント,アドマイヤマーズ,-315.0,378.0,-428.0,563.0,266.0,968.0,,,1432.0,2.0
札幌,5,9,クイーンズステート,シルバーステート,-165.0,501.0,1981.0,-474.0,-1355.0,-268.0,,,220.0,4.0
札幌,5,10,ゴバド,トーセンラー,-154.0,34.0,-175.0,-320.0,483.0,-162.0,,,-294.0,6.0
札幌,5,11,ダノンドナウ,ダノンスマッシュ,,,,,,,,,,
札幌,6,1,ライラックデューン,コパノリッキー,-726.0,-342.0,-2742.0,-1865.0,97.0,-1172.0,,,-6750.0,11.0
札幌,6,2,キープオントップ,デクラレーションオブウォー,391.0,-365.0,-1041.0,460.0,-1205.0,81.0,639.0,,-1040.0,10.0
札幌,6,3,グランシャット,ルヴァンスレーヴ,1364.0,-957.0,891.0,1137.0,3608.0,,,,6043.0,5.0
札幌,6,4,トモジャイブ,シャンハイボビー,-1223.0,722.0,264.0,-556.0,-766.0,873.0,2106.0,,1420.0,6.0
札幌,6,5,ノックシュライン,Omaha Beach,,,,,,,,,,
