場所,R,馬番,馬名,調教師名,調教師妙味度_1,調教師妙味度_2,調教師妙味度_3,調教師妙味度_4,調教師妙味度_5,調教師妙味度_6,調教師妙味度_7,調教師妙味度_8,調教師妙味度,調教師妙味度順位
札幌,1,1,ウルヴァリン,伊藤伸一,58.0,84.0,82.0,98.0,88.0,94.0,,,84.0,8.0
札幌,1,2,ステイフリー,高橋義忠,89.0,106.0,96.0,84.0,98.0,100.0,,,95.5,6.0
札幌,1,3,ユニゾン,菊川正達,152.0,101.0,90.0,84.0,92.0,95.0,,,102.333,2.0
札幌,1,4,ユウトザケンケン,小崎憲　,68.0,100.0,98.0,80.0,108.0,85.0,136.0,,96.429,5.0
札幌,1,5,リピース,前川恭子,,,,,,,,,,
札幌,1,6,ジェネチェン,角田晃一,100.0,104.0,102.0,97.0,107.0,100.0,,,101.667,4.0
札幌,1,7,ホーリーデイ,牧光二　,107.0,110.0,104.0,110.0,111.0,104.0,,,107.667,1.0
札幌,1,8,テンバコウクウ,柄崎将寿,,,,,,,,,,
札幌,1,9,ティブロン,矢嶋大樹,128.0,117.0,82.0,86.0,71.0,86.0,,,95.0,7.0
札幌,1,10,タイガーゲイト,大和田成,114.0,113.0,107.0,109.0,96.0,89.0,85.0,,101.857,3.0
札幌,2,1,ディアナタコス,前川恭子,,,,,,,,,,
札幌,2,2,ココソラーレ,天間昭一,68.0,98.0,96.0,104.0,89.0,90.0,79.0,,89.143,6.0
札幌,2,3,フィティテラ,昆貢　　,101.0,87.0,98.0,96.0,90.0,95.0,,,94.5,5.0
札幌,2,4,ブレッティレディ,高橋一哉,21.0,65.0,95.0,45.0,75.0,84.0,,,64.167,8.0
札幌,2,5,シンギュラーレディ,佐藤悠太,,,,,,,,,,
札幌,2,6,ベルグランボヌール,須貝尚介,136.0,107.0,102.0,107.0,102.0,100.0,,,109.0,2.0
札幌,2,7,マスキュラー,高橋一哉,21.0,65.0,95.0,45.0,75.0,84.0,,,64.167,8.0
札幌,2,8,ヒッグスボソン,高橋義忠,89.0,106.0,98.0,84.0,97.0,100.0,88.0,,94.571,4.0
札幌,2,9,サフィニア,佐藤吉勝,21.0,88.0,83.0,68.0,103.0,90.0,,,75.5,7.0
札幌,2,10,ワイズギャング,河嶋宏樹,82.0,143.0,106.0,96.0,121.0,134.0,,,113.667,1.0
札幌,2,11,ラスベガスサイン,長谷川浩,82.0,95.0,109.0,110.0,107.0,102.0,98.0,,100.429,3.0
札幌,3,1,リュウジンオー,野中賢二,103.0,95.0,100.0,98.0,92.0,104.0,103.0,,99.286,7.0
札幌,3,2,サツキレジーナ,石栗龍彦,57.0,98.0,106.0,101.0,111.0,97.0,,,95.0,9.0
札幌,3,3,プレインコート,吉岡辰弥,67.0,106.0,107.0,110.0,104.0,103.0,,,99.5,6.0
札幌,3,4,メイショウルーチェ,飯田祐史,148.0,108.0,97.0,105.0,95.0,93.0,,,107.667,4.0
札幌,3,5,ウインボニータ,奥平雅士,162.0,97.0,97.0,95.0,100.0,112.0,,,110.5,2.0
札幌,3,6,テーオーテバルディ,藤野健太,21.0,79.0,85.0,62.0,91.0,96.0,,,72.333,12.0
札幌,3,7,シンフォニーシーズ,清水英克,144.0,109.0,90.0,107.0,100.0,111.0,,,110.167,3.0
札幌,3,8,ハナヒラク,萱野浩二,68.0,97.0,90.0,96.0,95.0,96.0,,,90.333,10.0
札幌,3,9,スフレ,野中賢二,103.0,95.0,100.0,98.0,92.0,104.0,103.0,,99.286,7.0
札幌,3,10,ブラックエンパイア,松永康利,69.0,99.0,102.0,105.0,95.0,101.0,137.0,,101.143,5.0
札幌,3,11,セイルロケット,橋口慎介,131.0,102.0,99.0,98.0,90.0,97.0,179.0,,113.714,1.0
札幌,3,12,ロアヴィヴィエンヌ,本間忍　,98.0,92.0,88.0,87.0,97.0,79.0,,,90.167,11.0
