場所,R,馬番,馬名,調教師名,調教師利益度_1,調教師利益度_2,調教師利益度_3,調教師利益度_4,調教師利益度_5,調教師利益度_6,調教師利益度_7,調教師利益度_8,調教師利益度,調教師利益度順位
中山,11,1,キャントウェイト,萱野浩二,1875.0,-114.0,-229.0,-895.0,321.0,370.0,-303.0,,1025.0,6.0
中山,11,2,ワイドエンペラー,藤岡健一,-213.0,-559.0,-541.0,-669.0,-409.0,-752.0,-348.0,,-3491.0,11.0
中山,11,3,リビアングラス,矢作芳人,74.0,-378.0,-2264.0,-701.0,-1455.0,-1739.0,-625.0,,-7088.0,13.0
中山,11,4,ヴーレヴー,武幸四郎,235.0,-68.0,491.0,767.0,1843.0,1143.0,206.0,,4617.0,3.0
中山,11,5,アスクドゥポルテ,梅田智之,-203.0,-177.0,-1848.0,-1048.0,-1390.0,-1492.0,-261.0,,-6419.0,12.0
中山,11,6,パンジャ,金成貴史,453.0,-64.0,-528.0,-1035.0,1100.0,181.0,376.0,,483.0,7.0
中山,11,7,レガレイラ,木村哲也,13.0,41.0,750.0,-246.0,-257.0,2.0,-324.0,,-21.0,8.0
中山,11,8,メイショウゲキリン,笹田和秀,80.0,-369.0,405.0,-879.0,845.0,-886.0,-1008.0,,-1812.0,10.0
中山,11,9,コスモキュランダ,加藤士津,1792.0,5.0,-69.0,260.0,1245.0,887.0,-456.0,,3664.0,5.0
中山,11,10,コスモブッドレア,小野次郎,399.0,92.0,1649.0,-216.0,939.0,1905.0,-75.0,,4693.0,2.0
中山,11,11,セイウンプラチナ,千葉直人,1585.0,768.0,1528.0,162.0,-110.0,174.0,1109.0,,5216.0,1.0
中山,11,12,エセルフリーダ,武藤善則,327.0,-123.0,611.0,-266.0,-389.0,824.0,-1157.0,,-173.0,9.0
中山,11,13,ジューンテイク,武英智　,418.0,572.0,1333.0,662.0,453.0,630.0,270.0,,4338.0,4.0
中山,1,1,イカルステソーロ,武市康男,-1023.0,-1958.0,-2850.0,-108.0,-1384.0,-1611.0,,,-8934.0,14.0
中山,1,2,アイビークロノス,牧光二　,-797.0,-560.0,-886.0,-525.0,71.0,-312.0,,,-3009.0,9.0
中山,1,3,コスモセイント,矢嶋大樹,-170.0,-136.0,-1789.0,-983.0,-1420.0,-1151.0,,,-5649.0,12.0
中山,1,4,ノシェリー,鈴木慎太,948.0,1182.0,1660.0,1263.0,433.0,1151.0,,,6637.0,1.0
中山,1,5,サイモントレノ,奥平雅士,114.0,-340.0,-572.0,-482.0,146.0,74.0,,,-1060.0,7.0
中山,1,6,オーケーエース,相沢郁　,479.0,-947.0,-696.0,-69.0,-1087.0,-129.0,-1735.0,,-4184.0,11.0
中山,1,7,ゴルトシェーン,武井亮　,122.0,530.0,1067.0,499.0,-340.0,211.0,,,2089.0,4.0
中山,1,8,ウィンターブリーズ,田中博康,86.0,-97.0,246.0,-23.0,-57.0,-247.0,-706.0,,-798.0,6.0
中山,1,9,リュウノタキノボリ,堀内岳志,-656.0,624.0,-828.0,840.0,-761.0,-512.0,,,-1293.0,8.0
中山,1,10,ニシノツムジカゼ,西田雄一,813.0,10.0,-16.0,140.0,-953.0,245.0,264.0,,503.0,5.0
中山,1,11,ニシノハクシャ,清水英克,595.0,1230.0,-208.0,691.0,455.0,1817.0,,,4580.0,2.0
中山,1,12,サスケソルトバーン,和田雄二,-934.0,902.0,-1889.0,-1230.0,-1879.0,-638.0,,,-5668.0,13.0
中山,1,13,ミクニルミナス,田中勝春,916.0,43.0,-17.0,-31.0,683.0,1228.0,,,2822.0,3.0
中山,1,14,コーズウルルン,伊藤圭三,-2234.0,-1193.0,995.0,-443.0,-486.0,-756.0,,,-4117.0,10.0
中山,1,15,ラインホルト,手塚貴徳,,,,,,,,,,
中山,2,1,ホワイトホール,清水英克,595.0,1230.0,2093.0,691.0,1305.0,1817.0,,,7731.0,1.0
中山,2,2,フォンターナドーロ,菊沢隆徳,-382.0,-11.0,218.0,-66.0,949.0,-625.0,,,83.0,6.0
中山,2,3,セレスティナ,高柳瑞樹,-343.0,48.0,-23.0,10.0,248.0,-319.0,,,-379.0,7.0
中山,2,4,ベールダウン,松尾卓哉,,,,,,,,,,
中山,2,5,リアスハート,水野貴広,416.0,289.0,-1882.0,-768.0,-814.0,649.0,,,-2110.0,8.0
中山,2,6,カラスアゲハ,佐藤吉勝,-1287.0,-1569.0,-908.0,-1891.0,335.0,-1333.0,,,-6653.0,10.0
中山,2,7,レイナクリューソス,池上昌和,406.0,179.0,1730.0,1110.0,757.0,847.0,,,5029.0,2.0
中山,2,8,アヴァンデセール,田中剛　,-341.0,276.0,106.0,-215.0,345.0,361.0,,,532.0,4.0
中山,2,9,ラヴレイン,松山将樹,-1129.0,646.0,250.0,1404.0,-150.0,-565.0,,,456.0,5.0
中山,2,10,セイウンコハルタ,柄崎将寿,-576.0,-1650.0,-450.0,-307.0,-1779.0,-1044.0,-1946.0,,-7752.0,11.0
中山,2,11,アテナブレイブ,手塚貴徳,,,,,,,,,,
中山,2,12,ジェイエルキール,菊川正達,-890.0,-578.0,-686.0,-1190.0,-290.0,-158.0,,,-3792.0,9.0
中山,2,13,セールデュクール,深山雅史,1757.0,260.0,124.0,-281.0,-3.0,821.0,,,2678.0,3.0
中山,2,14,ヌンエリン,秋本大介,,,,,,,,,,
中山,3,1,オオルリ,水野貴広,416.0,289.0,-1882.0,-768.0,468.0,649.0,,,-828.0,8.0
中山,3,2,ハンデンブレイズ,伊藤大士,-1092.0,-337.0,-253.0,-889.0,-835.0,-1194.0,384.0,,-4216.0,11.0
中山,3,3,セイウンオオゾラ,小手川準,-205.0,-386.0,-1242.0,-320.0,-219.0,-1352.0,-674.0,,-4398.0,12.0
中山,3,4,オペレッタテソーロ,菊川正達,-890.0,-578.0,-686.0,-1190.0,-286.0,-158.0,,,-3788.0,10.0
中山,3,5,ポッドレーヴ,平岩大典,,,,,,,,,,
中山,3,6,スーパーユタカ,武井亮　,122.0,530.0,-829.0,499.0,-340.0,211.0,40.0,,233.0,7.0
中山,3,7,スカーレットクラン,林徹　　,9.0,180.0,-222.0,319.0,321.0,-307.0,,,300.0,6.0
中山,3,8,マイネルヘルリッヒ,清水英克,595.0,1230.0,2093.0,691.0,455.0,1817.0,,,6881.0,1.0
中山,3,9,ティアラスピリット,上原博之,752.0,191.0,195.0,-173.0,332.0,1089.0,,,2386.0,5.0
中山,3,10,タイセイソアリング,池上昌和,406.0,179.0,1730.0,1110.0,680.0,847.0,352.0,,5304.0,2.0
中山,3,11,マイネルシードル,和田正一,248.0,903.0,1100.0,-222.0,1278.0,1323.0,,,4630.0,4.0
中山,3,12,タッカーヴィーナス,鈴木伸尋,-776.0,580.0,-667.0,866.0,-337.0,-506.0,,,-840.0,9.0
中山,3,13,サウンズオーサム,千葉直人,1585.0,1698.0,1528.0,377.0,-110.0,174.0,,,5252.0,3.0
中山,4,1,ロードベラヴィータ,上原佑紀,956.0,553.0,1014.0,640.0,900.0,1493.0,,,5556.0,1.0
中山,4,2,ワンダーマーベル,斎藤誠　,241.0,-634.0,320.0,1.0,-1459.0,327.0,,,-1204.0,9.0
中山,4,3,マートングレイス,高木登　,506.0,-230.0,1231.0,184.0,224.0,176.0,,,2091.0,4.0
中山,4,4,シャローオネスト,安田翔伍,198.0,-303.0,-212.0,-339.0,-525.0,-161.0,,,-1342.0,10.0
中山,4,5,レガシーマインド,西園翔太,-361.0,245.0,1119.0,-841.0,1126.0,-458.0,,,830.0,5.0
中山,4,6,アフォーダビリティ,和田雄二,-934.0,6.0,-1889.0,-1230.0,-1879.0,-638.0,,,-6564.0,15.0
中山,4,7,ルバルマン,堀内岳志,-656.0,846.0,-828.0,840.0,-761.0,-512.0,,,-1071.0,8.0
