場所,R,馬番,馬名,騎手名,騎手妙味度_1,騎手妙味度_2,騎手妙味度_3,騎手妙味度_4,騎手妙味度_5,騎手妙味度_6,騎手妙味度,騎手妙味度順位
新潟,1,1,コーパスクリスティ,中村将之,100.0,87.0,83.0,83.0,21.0,,74.8,13.0
新潟,1,2,キャプテンローレル,五十嵐雄,106.0,95.0,100.0,100.0,21.0,,84.4,9.0
新潟,1,3,コスモチプリア,伴啓太　,103.0,104.0,105.0,105.0,21.0,,87.6,7.0
新潟,1,4,タイセイジャスパー,大江原圭,81.0,94.0,90.0,90.0,21.0,,75.2,12.0
新潟,1,5,オーバーザドリーム,小野寺祐,94.0,89.0,98.0,98.0,21.0,,80.0,10.0
新潟,1,6,マホロバ,草野太郎,77.0,90.0,97.0,97.0,21.0,,76.4,11.0
新潟,1,7,アクアマリンブルー,黒岩悠　,113.0,90.0,99.0,99.0,55.0,,91.2,6.0
新潟,1,8,キタノマキシム,水沼元輝,49.0,90.0,69.0,67.0,77.0,,70.4,14.0
新潟,1,9,ジッピーレーサー,井上敏樹,132.0,76.0,95.0,96.0,75.0,,94.8,4.0
新潟,1,10,オリエンタルナイト,森一馬　,90.0,98.0,99.0,99.0,39.0,,85.0,8.0
新潟,1,11,アメリカンピース,小坂忠士,88.0,111.0,121.0,121.0,85.0,,105.2,2.0
新潟,1,12,ヘヴンリーハンド,石神深一,91.0,88.0,88.0,88.0,226.0,,116.2,1.0
新潟,1,13,スペクトログラム,小牧加矢,112.0,96.0,98.0,98.0,,,101.0,3.0
新潟,1,14,サンダーアラート,上野翔　,119.0,113.0,109.0,109.0,21.0,,94.2,5.0
新潟,2,1,セブンスウェイ,丹内祐次,108.0,102.0,100.0,107.0,100.0,97.0,102.333,5.0
新潟,2,2,クリノエニシ,小崎綾也,110.0,81.0,101.0,107.0,113.0,89.0,100.167,6.0
新潟,2,3,ロジピエルフ,吉田隼人,95.0,97.0,96.0,99.0,96.0,99.0,97.0,10.0
新潟,2,4,デルタウェーブ,国分恭介,117.0,111.0,112.0,108.0,106.0,126.0,113.333,1.0
新潟,2,5,ウインクレドール,舟山瑠泉,,,,,,,,
新潟,2,6,ビービーバザーク,佐々木大,103.0,102.0,101.0,98.0,99.0,113.0,102.667,4.0
新潟,2,7,ノイエムジーク,菱田裕二,110.0,101.0,107.0,102.0,101.0,99.0,103.333,3.0
新潟,2,8,メイショウアイル,藤懸貴志,125.0,105.0,105.0,102.0,97.0,111.0,107.5,2.0
新潟,2,9,キンセンオー,丸山元気,102.0,98.0,95.0,96.0,98.0,111.0,100.0,7.0
新潟,2,10,ビビデバビデブー,今村聖奈,94.0,83.0,91.0,88.0,99.0,81.0,89.333,14.0
新潟,2,11,クレヨンポップ,武藤雅　,87.0,94.0,99.0,94.0,90.0,99.0,93.833,13.0
新潟,2,12,メイショウタイピン,酒井学　,100.0,94.0,103.0,99.0,95.0,96.0,97.833,9.0
新潟,2,13,ゲンタツ,小林美駒,95.0,90.0,90.0,97.0,85.0,112.0,94.833,12.0
新潟,2,14,チュラビックタイム,斎藤新　,91.0,102.0,102.0,97.0,96.0,109.0,99.5,8.0
新潟,2,15,トンヤイビーン,石田拓郎,95.0,108.0,95.0,93.0,90.0,90.0,95.167,11.0
新潟,3,1,ブリリアントフレア,上里直汰,,,,,,,,
新潟,3,2,オースミライト,加藤祥太,81.0,97.0,95.0,87.0,91.0,113.0,94.0,12.0
