場所,R,クラス,種別,距離,馬場状態,馬番,馬名,年齢,騎手名,調教師名,脚質傾向,コース複勝率,距離帯複勝率,距離区分,回り,道悪判定,レースレベル,種牡馬名,臨戦過程,距離変遷,推定人気,人気ランク,テン1F_過去,テン1F_過去_ランク,テン1F_前走,テン1F_前走_ランク,テン_T,テン_T_ランク,上がり_T,上がり_T_ランク,前走_評価,前々走_評価,3走前_評価,4走前_評価,5走前_評価
札幌,1,未勝利,芝,1500,稍重,1,ミアエッテ,2歳,柴田裕一,田中剛,逃げ,100.0,100.0,短距離,右回り,芝道悪,Lv1 ,466,,,3,B,13.1,6.0,13.1,6.0,37.8,,36.6,,D,,,,
札幌,1,未勝利,芝,1500,稍重,2,ショウサンカナヲ,2歳,松本大輝,松下武士,逃げ,0.0,,短距離,右回り,芝道悪,Lv1 ,456,連闘,距離短縮,8,D,13.0,5.0,13.0,5.0,37.4,,37.0,,D,,,,
札幌,1,未勝利,芝,1500,稍重,3,コルテオソレイユ,2歳,浜中俊,佐藤悠太,先行,,,短距離,右回り,芝道悪,Lv1 ,450,,距離延長,2,B,12.3,1.0,12.3,1.0,34.4,1.0,34.8,2.0,D,D,,,
札幌,1,未勝利,芝,1500,稍重,4,マルモリラピダス,2歳,古川吉洋,緒方努,先行,0.0,0.0,短距離,右回り,芝道悪,Lv1 ,428,,,6,D,12.3,1.0,12.8,3.0,35.2,2.0,35.2,3.0,C,D,C,D,
札幌,1,未勝利,芝,1500,稍重,5,チェイサー,2歳,斎藤新,相沢郁,追込,0.0,,短距離,右回り,芝道悪,Lv1 ,430,連闘,距離短縮,7,D,13.3,8.0,13.3,8.0,37.9,,37.3,,C,B,,,
札幌,1,未勝利,芝,1500,稍重,6,サザンテイオー,2歳,橋木太希,根本康広,差し,50.0,0.0,短距離,右回り,芝道悪,Lv1 ,444,,距離短縮,4,C,12.6,3.0,12.6,2.0,35.7,3.0,36.4,4.0,C,D,C,,
札幌,1,未勝利,芝,1500,稍重,7,グロリアスマーチ,2歳,佐々木大,須貝尚介,逃げ,100.0,,短距離,右回り,芝道悪,Lv1 ,496,,距離短縮,1,A,12.9,4.0,12.9,4.0,35.9,4.0,34.6,1.0,C,C,,,
札幌,1,未勝利,芝,1500,稍重,8,コロッセウム,2歳,丹内祐次,清水英克,先行,100.0,100.0,短距離,右回り,芝道悪,Lv1 ,452,,,5,C,13.1,6.0,13.1,6.0,38.2,,36.7,,D,,,,
札幌,2,未勝利,芝,2000,稍重,1,ハイライトニング,2歳,舟山瑠泉,嘉藤貴行,追込,0.0,,中距離,右回り,芝道悪,Lv1 ,482,,距離延長,5,C,13.3,2.0,13.3,2.0,37.0,2.0,35.2,3.0,C,C,,,
札幌,2,未勝利,芝,2000,稍重,2,コレデヨカロウ,2歳,川又賢治,角田晃一,追込,0.0,0.0,中距離,右回り,芝道悪,Lv1 ,446,,,10,E,14.3,9.0,14.3,9.0,39.7,,37.0,,B,,,,
札幌,2,未勝利,芝,2000,稍重,3,マリノリュミエール,2歳,古川吉洋,村田一誠,追込,100.0,,中距離,右回り,芝道悪,Lv1 ,458,,距離延長,4,C,13.7,5.0,13.7,5.0,39.4,,34.2,1.0,D,,,,
札幌,2,未勝利,芝,2000,稍重,4,アッカン,2歳,浜中俊,奥村武,先行,100.0,,中距離,右回り,芝道悪,Lv1 ,456,連闘,距離延長,2,B,13.0,1.0,13.0,1.0,36.4,1.0,36.1,,C,D,,,
札幌,2,未勝利,芝,2000,稍重,5,サントルドパリ,2歳,斎藤新,小林真也,先行,,,中距離,右回り,芝道悪,Lv1 ,496,,距離延長,1,A,13.3,2.0,13.3,2.0,38.1,5.0,34.7,2.0,D,,,,
札幌,2,未勝利,芝,2000,稍重,6,コスモナエマ,2歳,丹内祐次,手塚貴久,先行,,0.0,中距離,右回り,芝道悪,Lv1 ,486,,,3,C,13.3,2.0,13.3,2.0,37.6,3.0,36.4,,C,D,,,
札幌,2,未勝利,芝,2000,稍重,7,フクチャンブラック,2歳,佐々木大,高橋康之,先行,0.0,0.0,中距離,右回り,芝道悪,Lv1 ,478,,,7,D,13.8,7.0,13.8,7.0,39.1,,36.1,,D,,,,
札幌,2,未勝利,芝,2000,稍重,8,ウンボイクザーム,2歳,和田陽希,緒方努,先行,0.0,0.0,中距離,右回り,芝道悪,Lv1 ,430,,,9,D,14.6,10.0,14.6,10.0,40.3,,35.9,5.0,B,,,,
札幌,2,未勝利,芝,2000,稍重,9,ワラビガミ,2歳,鷲頭虎太,新谷功一,追込,,,中距離,右回り,芝道悪,Lv1 ,414,連闘,距離延長,8,D,13.7,5.0,13.7,5.0,38.0,4.0,39.6,,B,D,,,
札幌,2,未勝利,芝,2000,稍重,10,シデンイッセン,2歳,黛弘人,田村康仁,追込,0.0,0.0,中距離,右回り,芝道悪,Lv1 ,486,,,6,D,14.1,8.0,14.1,8.0,39.5,,35.5,4.0,B,,,,
札幌,3,未勝利,ダート,1700,稍重,1,キタノホウセキ,3歳,和田陽希,畑端省吾,先行,100.0,50.0,中距離,右回り,ダ道悪,Lv2 ,468,,,3,C,13.1,11.0,13.1,5.0,35.5,3.0,38.4,,D,C,B,C,C
札幌,3,未勝利,ダート,1700,稍重,2,アンタンシオン,3歳,斎藤新,杉山佳明,差し,50.0,20.0,中距離,右回り,ダ道悪,Lv2 ,472,連闘,,6,C,12.5,5.0,13.5,9.0,36.8,,38.0,7.0,D,C,C,B,C
札幌,3,未勝利,ダート,1700,稍重,3,メルシーボクアスク,3歳,鷲頭虎太,蛯名正義,先行,,,中距離,右回り,ダ道悪,Lv2 ,434,,距離延長,13,E,12.0,1.0,13.1,5.0,37.6,,37.7,3.0,C,C,B,,B
札幌,3,未勝利,ダート,1700,稍重,4,ビスケットマリー,3歳,森田誠也,和田雄二,追込,0.0,0.0,中距離,右回り,ダ道悪,Lv2 ,422,,,11,E,13.4,13.0,14.2,14.0,38.0,,37.9,6.0,B,C,C,D,
札幌,3,未勝利,ダート,1700,稍重,5,ピンクパラダイス,3歳,荻野琢真,大久保龍,先行,0.0,0.0,中距離,右回り,ダ道悪,Lv2 ,446,休明3走,,8,D,12.4,4.0,13.2,7.0,36.7,7.0,39.2,,B,C,B,,
札幌,3,未勝利,ダート,1700,稍重,6,メレサンク,3歳,舟山瑠泉,田中克典,追込,0.0,33.33333333333333,中距離,右回り,ダ道悪,Lv2 ,456,休明3走,,10,E,12.9,9.0,13.2,7.0,36.7,7.0,38.6,,C,D,D,D,C
札幌,3,未勝利,ダート,1700,稍重,7,カワキタホクレア,3歳,原田和真,伊坂重信,差し,0.0,0.0,中距離,右回り,ダ道悪,Lv2 ,462,連闘,,14,E,12.3,2.0,14.1,12.0,35.6,4.0,37.6,2.0,C,,C,C,C
札幌,3,未勝利,ダート,1700,稍重,8,ハイラブソング,3歳,橋木太希,荒川義之,差し,100.0,33.33333333333333,中距離,右回り,ダ道悪,Lv2 ,438,連闘,,7,D,13.0,10.0,13.0,4.0,36.5,6.0,37.8,4.0,C,C,,C,B
札幌,3,未勝利,ダート,1700,稍重,9,ハローエンジェル,3歳,佐々木大,田中克典,先行,33.33333333333333,33.33333333333333,中距離,右回り,ダ道悪,Lv2 ,468,連闘,,5,C,12.5,5.0,12.9,2.0,35.4,2.0,39.1,,C,C,B,C,D
