場所,R,クラス,種別,距離,馬場状態,馬番,馬名,年齢,騎手名,調教師名,距離区分,回り,道悪判定,種牡馬名,臨戦過程,距離変遷
札幌,1,未勝利,芝,1500,稍(暫定),1,リバテイー,2歳,横山武史,小笠倫弘,短距離,右回り,芝道悪,ヴァンキッシュラン,,距離延長
札幌,1,未勝利,芝,1500,稍(暫定),2,エリカビアリッツ,2歳,佐々木大,堀宣行,短距離,右回り,芝道悪,キズナ,,
札幌,1,未勝利,芝,1500,稍(暫定),3,ノアールビーナス,2歳,川又賢治,杉山佳明,短距離,右回り,芝道悪,ドレフォン,,距離延長
札幌,1,未勝利,芝,1500,稍(暫定),4,コマチチャン,2歳,斎藤新,小椋研介,短距離,右回り,芝道悪,キズナ,,
札幌,1,未勝利,芝,1500,稍(暫定),5,ベンテンカグラ,2歳,石川倭,勢司和浩,短距離,右回り,芝道悪,アドマイヤムーン,,距離延長
札幌,1,未勝利,芝,1500,稍(暫定),6,アスコットダンス,2歳,橋木太希,高橋康之,短距離,右回り,芝道悪,モズアスコット,,
札幌,1,未勝利,芝,1500,稍(暫定),7,ラスティングスノー,2歳,横山和生,池上昌和,短距離,右回り,芝道悪,モズアスコット,,
札幌,1,未勝利,芝,1500,稍(暫定),8,クラリスヒメ,2歳,丹内祐次,浅利英明,短距離,右回り,芝道悪,ダノンキングリー,,
札幌,2,未勝利,芝,1800,稍(暫定),1,ショウナンバーボン,2歳,横山和生,加藤士津,中距離,右回り,芝道悪,サートゥルナーリア,,
札幌,2,未勝利,芝,1800,稍(暫定),2,ロイヤルタイム,2歳,松岡正海,和田正一,中距離,右回り,芝道悪,サトノクラウン,,
札幌,2,未勝利,芝,1800,稍(暫定),3,ノチェセラーダ,2歳,横山武史,杉山佳明,中距離,右回り,芝道悪,ドレフォン,,
札幌,2,未勝利,芝,1800,稍(暫定),4,ブライトラン,2歳,吉田隼人,尾形和幸,中距離,右回り,芝道悪,マインドユアビスケッツ,連闘,距離短縮
札幌,2,未勝利,芝,1800,稍(暫定),5,シンデレラガール,2歳,斎藤新,西園翔太,中距離,右回り,芝道悪,サングレーザー,,
札幌,2,未勝利,芝,1800,稍(暫定),6,アッカン,2歳,池添謙一,奥村武,中距離,右回り,芝道悪,ホークビル,,
札幌,2,未勝利,芝,1800,稍(暫定),7,チェイサー,2歳,丹内祐次,相沢郁,中距離,右回り,芝道悪,レイデオロ,,
札幌,3,未勝利,ダート,1700,重(暫定),1,ロワゾブルーチヌ,3歳,川又賢治,中尾秀正,中距離,右回り,ダ道悪,ジャスタウェイ,,距離短縮
札幌,3,未勝利,ダート,1700,重(暫定),2,トリプレーテ,3歳,森田誠也,武英智,中距離,右回り,ダ道悪,Saxon Warrior,,
札幌,3,未勝利,ダート,1700,重(暫定),3,サンダーフレア,3歳,舟山瑠泉,久保田貴,中距離,右回り,ダ道悪,リアルスティール,,
札幌,3,未勝利,ダート,1700,重(暫定),4,ドルチェリターン,3歳,池添謙一,池添学,中距離,右回り,ダ道悪,ハービンジャー,,距離短縮
