種牡馬名,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,2歳,3歳,4歳,5歳以上,距離短縮,距離延長
Khozan,0,874,,447,338,,136,760,,-157,-24,22,47,520,0,0,0,268,,545,0,0,0,91,0,0,559,100,740,170
Kingman,-1107,-315,,-866,-159,-79,-441,-829,-112,50,17,-367,-164,-459,148,-601,132,136,-284,-157,-62,-136,-702,-296,-115,-750,-227,-397,-125,-369
Kitten's Joy,-36,29,0,41,-4,0,0,200,0,0,2,0,0,158,0,-17,0,91,0,-21,0,0,-58,27,0,-18,0,148,16,-31
Liam's Map,-79,-57,,-80,-12,-236,-532,419,35,6,-79,-359,-203,136,-110,88,367,-157,-79,371,15,71,-100,,-49,273,-552,0,696,-825
Maclean's Music,0,183,,136,42,,231,-35,0,0,0,-43,73,-38,59,-37,21,0,0,-89,-236,-11,0,30,-138,-44,0,25,57,93
Munnings,708,163,0,763,,0,500,273,,,435,26,323,39,119,-157,-79,0,,-75,685,284,-551,-236,540,247,,0,388,-157
No Nay Never,125,-465,,-404,150,0,-82,-39,-61,0,0,-22,-10,62,-249,-145,-78,0,46,-199,-21,-122,104,0,-140,11,-93,0,-64,-133
Not This Time,23,7,,68,-25,,68,-25,,,0,,68,-22,,0,,,,23,3,23,2,,3,26,,,46,23
Nyquist,-236,120,,13,14,,-138,282,23,61,0,0,-78,0,-67,-57,-73,137,,25,41,54,-72,,-64,235,-236,,-2,42
Palace Malice,115,903,,355,613,,216,749,,0,29,0,133,-87,141,465,107,-9,0,123,0,0,-22,619,0,0,1019,,-9,177
Practical Joke,322,-234,,-372,502,,-116,99,-22,-79,9,110,-16,85,-169,-137,96,163,415,-167,-190,-236,431,503,-299,99,-480,598,583,-138
Quality Road,-189,-67,-157,178,-159,-472,86,-258,0,0,-31,-39,219,-130,-39,-40,-149,319,-42,66,0,15,-28,-49,0,-303,28,-548,64,172
Saxon Warrior,435,-1434,-79,-164,-182,-157,33,-437,-228,310,102,-7,-197,-517,180,-141,-45,-141,-38,-428,-96,-581,-276,0,-55,-480,199,-1,196,-67
Shancelot,,321,,321,,,82,261,,,-79,0,138,349,0,,80,,,368,0,,98,420,0,397,,,261,54
Speightstown,6,137,0,161,10,0,139,94,0,0,-122,-52,84,36,32,-126,3,47,40,147,75,39,55,-218,137,-106,165,-8,-9,-97
Tapit,-94,-343,37,-100,-356,-140,-4,-584,2,0,9,-92,-68,-217,146,-72,-374,-184,-63,-140,3,-269,-264,-81,-15,-342,0,-166,-141,-303
Tiz the Law,58,1191,,912,418,,968,435,,,111,127,473,,547,-79,43,286,-79,256,460,228,458,,344,974,,,727,321
Too Darn Hot,188,-14,,222,,,-242,410,-236,-79,0,0,39,189,-472,107,162,0,7,,0,-15,199,-217,0,85,-236,,263,166
Twirling Candy,37,58,,161,0,,37,9,,,,8,-64,216,45,-135,-157,0,135,34,59,36,99,-75,164,74,-203,,42,-126
Volatile,-157,572,,154,437,,97,370,,,,-79,0,16,-11,-22,46,437,,435,-157,304,84,182,-18,478,,,112,549
アジアエクスプレス,318,1453,-100,869,1037,-20,112,1475,144,128,-402,21,-32,999,348,559,-253,145,258,845,-311,-659,2004,1048,-555,81,944,2052,229,-451
アドマイヤマーズ,-2057,1725,,-1623,513,283,-192,-480,-655,556,205,-84,-305,-958,174,305,-58,-235,1578,116,-514,-1760,1679,-94,-451,24,,,465,-1385
アドマイヤムーン,-264,-857,75,-682,-278,27,-491,-677,-98,-115,-297,368,-588,23,-125,0,72,-157,104,-194,-47,-780,-572,212,-462,-413,-288,240,-260,-196
アニマルキングダム,696,536,122,-634,1635,518,-701,2169,-95,-308,290,-270,-424,33,110,952,545,1080,47,172,-162,608,1637,784,-919,925,1722,0,-674,1814
アポロケンタッキー,-157,684,-236,245,213,244,252,420,0,0,32,941,-296,354,-95,-123,63,530,,373,-67,381,303,-79,-104,151,273,,435,114
アメリカンペイトリオット,867,-1683,759,-83,-622,565,-1739,829,-277,-259,362,-686,-1851,-532,168,-10,142,1102,245,-588,-988,-1521,479,232,-742,-1602,119,2083,-1117,-815
アルアイン,-138,-1679,-157,571,-2008,-63,-1383,-660,-696,-110,629,323,-1623,457,33,17,-594,-417,-106,-771,-831,-1478,1341,-197,52,-2430,809,,481,-1144
イスラボニータ,2755,-33,-5,2310,306,-94,-395,2721,-551,-164,207,-306,202,2615,-295,253,167,103,-1511,456,302,2297,-74,273,1925,762,-859,1218,594,1223
インディチャンプ,869,448,,800,482,,781,530,-472,179,149,342,649,-378,-157,-94,798,32,232,-472,-683,1391,23,528,1296,,,,-161,1370
ヴァンゴッホ,-809,-483,,-2354,1090,,-1389,349,-79,-157,318,-125,-944,-140,-394,-745,1140,,-79,291,-218,-1291,457,-79,-1268,,,,-708,-489
ヴィクトワールピサ,-40,-327,243,-248,-127,203,160,-505,0,0,-229,63,99,-33,-7,466,-102,-149,-383,-60,0,-87,-32,-64,0,0,149,-86,53,42
ウインブライト,1641,-852,,1028,294,22,-555,1809,367,597,695,-198,-171,-435,-152,-484,848,-567,-232,8,-777,1791,872,-51,598,488,,,80,36
エイシンヒカリ,190,462,977,845,-97,827,-132,770,291,15,-100,18,-169,171,273,256,164,741,435,150,51,828,3,22,72,391,52,399,278,421
