調教師名,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞,2歳,3歳,4歳,5歳以上,休明初戦,休明2走,休明3走,連闘
相沢郁　,-1623,-696,104,-1082,-1087,-93,-2153,-129,-552,87,62,69,-1928,479,-297,109,-15,-217,-282,-456,99,-947,-755,-702,-162,-69,-1752,-78,-635,-1735,-187,-543,-2
青木孝文,1189,-187,117,-134,-54,906,-251,1195,526,-342,668,285,-1011,-34,70,-80,-457,113,1174,-194,-809,100,672,162,-159,-435,214,314,731,-363,-797,60,-58
秋山真一,-87,-805,-237,570,-1125,-316,335,-1087,-789,-316,-473,-436,115,-473,464,-1422,2300,-402,-868,172,-590,-461,-134,589,381,92,-148,950,-2181,-1240,1120,-162,-79
浅利英明,576,-779,72,-1290,1090,-55,1237,-1342,-631,495,-472,-220,616,-403,739,-79,,,-631,72,57,469,-1148,1011,-79,333,-307,-823,909,1099,-370,-463,547
安達昭夫,-934,504,-341,-378,-536,-93,-938,313,30,-92,316,-76,-40,100,-930,-605,239,-180,-100,658,726,-2574,527,-323,-130,-666,-1316,814,-173,-515,433,350,-108
荒川義之,-324,1664,-114,1301,387,-321,1022,560,-111,-296,-242,-19,-79,-158,1073,1252,274,-524,181,-319,-650,454,1573,0,0,-293,1390,-141,822,-227,-139,197,433
飯田祐史,-1449,-121,-72,-114,-994,-62,131,-1262,350,-47,-219,124,-108,-280,-77,-334,-1195,32,-99,-191,-198,-290,-188,-299,-15,-351,354,-464,-566,-874,370,368,9
池江泰寿,162,-736,-252,-106,-111,-689,267,-762,-43,-359,-25,74,-14,-261,182,442,-120,-655,278,-337,-33,-1330,-406,1276,745,-136,-1083,-402,745,-100,-635,850,-237
池上昌和,1730,-319,-11,757,680,-62,460,847,-55,52,-182,164,357,406,-77,338,-23,219,257,-561,524,179,-409,497,484,1110,-784,114,625,352,-186,115,2
池添学　,-61,-26,-47,502,-441,-285,-459,481,-134,-184,-146,-119,-382,-176,-53,798,0,223,415,234,68,671,-931,-376,-545,183,-1097,262,169,8,301,-517,-115
伊坂重信,-1402,-845,-126,-870,-1180,-327,374,-1936,-173,-11,-571,-144,180,-1332,-219,436,-138,-281,205,-912,325,-496,-1926,-232,-79,-212,-1049,-843,-368,-649,-1201,-44,-280
石栗龍彦,-1140,776,584,821,-822,614,139,55,-153,-283,239,43,228,-406,399,1059,30,-332,1062,536,120,534,-1083,-183,,395,-154,-560,467,-796,-1015,237,-48
石坂公一,1246,432,-186,445,991,22,309,1302,136,376,-156,-125,285,78,119,578,240,-18,261,154,434,1246,183,-548,-494,245,1195,698,-692,-60,767,12,-15
石橋守　,556,-395,,1275,-658,-124,36,312,-231,-172,133,7,-395,-92,233,1406,-722,193,269,-124,60,-522,97,100,-514,116,-659,977,-181,203,-598,518,-247
伊藤圭三,-1347,995,-467,133,-486,-49,769,-756,701,691,-617,-546,700,-2234,223,-150,140,-230,-492,226,-138,-1193,2004,-421,-193,-443,471,30,-828,-449,-446,-153,203
伊藤伸一,-1670,-2874,-24,-3273,-888,-192,-2665,-1675,-493,-82,-512,-427,-2563,-208,-375,-237,-70,22,-376,-1071,-237,-3515,-235,-176,20,-1024,-2722,-402,-501,-1392,-814,-868,-31
伊藤大士,-253,-1441,0,-869,-835,-271,-425,-1194,-158,569,-424,97,-845,-1092,303,-237,-23,194,-166,-533,-760,-337,-163,-416,-5,-889,116,-633,-993,384,-718,-5,110
稲垣幸雄,259,1030,56,854,480,121,490,820,-254,198,-15,-317,1040,820,-773,-158,-237,286,84,-107,649,102,851,-442,30,341,667,513,-367,343,205,8,56
井上智史,722,2451,-158,-559,3784,-710,596,2642,-279,505,648,119,1612,303,-696,-992,1755,201,52,694,-631,949,906,1004,-237,149,1143,-180,2121,-685,1985,241,-79
岩戸孝樹,-2313,-1016,189,-2054,-1309,295,-834,-2343,-76,-435,-537,-250,-912,-910,161,10,42,22,-704,-54,-871,-1613,-316,119,-37,-970,-1147,154,-866,-364,149,-352,-209
上原博之,195,254,191,-140,332,417,-377,1089,380,191,-245,-349,-55,752,-130,96,36,433,-7,858,144,191,-295,373,-236,-173,541,-457,1425,149,-21,296,289
上原佑紀,966,1014,,969,900,-6,311,1493,-472,95,922,-348,408,956,596,550,-7,-611,13,515,553,-468,1023,461,41,640,220,602,240,1522,-295,60,-61
上村洋行,2064,135,0,184,1951,-41,240,1872,18,5,82,-36,-193,3,344,429,1268,32,596,144,-6,-266,1110,1161,725,-105,964,454,1048,1099,405,268,-45
梅田智之,-1848,-816,0,-1314,-1390,-62,-1107,-1492,106,14,-252,-390,-239,-203,-383,-253,-876,-123,-938,-297,-115,-714,-1306,-208,-177,-365,-1396,-204,-1048,-261,-1311,250,-5
蛯名利弘,-2109,-1315,-38,-1098,-1441,-376,-1945,-1296,249,192,-697,116,-2410,-1508,-148,-395,275,43,-995,-808,253,-2548,-197,177,-79,-2540,-853,-273,267,-680,-869,854,219
蛯名正義,1251,-301,-36,460,875,-183,101,916,217,-165,155,-486,508,685,32,54,-158,26,318,-106,849,1505,-716,-195,-139,1949,-136,-110,-769,-473,-159,-29,422
大久保龍,-717,422,-23,-413,-78,58,-257,-33,-120,14,-157,-13,-114,-73,-255,240,86,-190,-212,-193,290,-560,9,24,301,-261,-298,428,-328,71,77,-240,-121
大竹正博,-427,-400,190,-821,-181,314,-847,-140,318,237,-62,-453,-320,-66,-236,-533,45,5,-888,-644,217,695,-1197,-474,-491,-19,51,-514,-78,258,-321,71,169
大根田裕,-1237,2557,-256,-47,1672,-150,774,1598,37,11,-364,30,286,-158,552,701,1195,77,-356,802,481,741,1305,-803,-84,964,1580,-411,-57,-516,-150,62,-546
大橋勇樹,11,2465,0,443,1796,0,-833,3152,142,704,346,0,-473,184,-723,475,1027,83,88,998,9,2404,161,-608,-425,490,2294,137,-1396,851,794,-196,9
大和田成,-11,313,-119,1468,-1868,-124,1660,-1393,-105,-65,-76,486,1247,-921,137,146,-113,-395,-396,-77,31,706,218,-41,23,316,230,-24,-734,-867,-218,59,-207
小笠倫弘,-481,-235,-112,178,-1203,128,-332,-311,-88,326,-46,33,-106,-292,-345,-113,-138,-17,-254,91,772,-817,-537,-34,0,43,-863,-348,90,445,-559,-343,-122
岡田稲男,-345,184,-20,101,-73,-163,596,-903,-159,-204,325,363,15,-37,-93,-123,-75,-557,355,-864,-194,201,-491,139,5,-402,179,-285,104,-553,861,-29,-264
尾形和幸,271,-1654,140,-1390,-3,151,-420,-968,-328,185,208,-391,133,-577,-99,-237,389,-509,-522,-1241,-66,-431,-199,-253,-85,-111,-1011,-68,214,238,154,-110,-548
緒方努　,-1394,173,-329,-556,-749,-217,-2221,888,-48,-384,449,-426,-296,360,-1623,-288,389,436,-478,-114,-687,-283,274,-473,-79,-1477,1227,-629,-418,-1292,971,-549,88
奥平雅士,-389,-572,-17,-1258,146,30,-989,74,494,64,-71,331,-1176,114,-325,-12,0,-340,280,-734,72,-340,-251,-188,-37,-482,-314,-259,-239,-1217,-77,-211,-21
奥村武　,634,-1317,-215,-1003,207,-25,-556,-21,637,69,438,-12,-409,-837,-289,66,-228,-127,-158,-778,-196,-411,-163,-17,167,193,-563,-42,-984,186,373,-172,-252
奥村豊　,409,202,360,298,466,235,-154,844,238,-1,144,-109,-342,-75,522,987,-500,543,402,424,469,295,-132,349,115,320,284,162,0,-108,116,-220,154
小椋研介,-1992,-1377,42,-21,-2818,-592,-540,-3210,-217,-807,-220,488,48,-316,-1153,-985,-719,415,-417,-805,-838,-967,-2011,510,-14,-591,-1558,-46,-998,-1722,-1038,348,-139
小栗実　,-4,196,348,-38,320,265,-242,595,198,83,-87,-105,97,602,163,173,-902,254,-504,60,-322,1130,162,-991,-392,96,606,-730,409,-338,1054,-861,182
尾関知人,-1551,-1991,321,-3153,-632,338,-2250,-976,-121,-86,188,-280,-1474,-600,-669,-104,150,-36,-609,-503,-1116,-1140,-1315,440,170,-992,-1939,-233,217,-513,-119,-177,16
小野次郎,1649,-286,-44,457,939,-70,-342,1905,557,-309,149,336,-1028,399,-66,71,189,775,1837,-572,508,29,874,83,92,-597,1331,727,-216,-75,365,524,78
粕谷昌央,-1262,-139,337,607,-2416,378,-603,-457,-135,-367,-568,-14,-463,900,-208,-94,-149,67,-41,-279,-403,652,-3190,158,0,420,131,-769,-1101,-1052,727,183,453
加藤和宏,-2627,-1698,-285,-1447,-3048,-358,-703,-3341,294,-658,-876,-604,104,-475,-318,-446,-533,-139,-753,-212,-907,-1296,-1883,423,-79,-641,-334,-1774,-2087,-2205,-1081,26,-335
加藤公太,1780,-1043,-465,1283,-337,-825,605,-157,-316,167,-265,-528,-316,406,857,-80,-436,18,-11,235,1209,-157,-1201,-33,,1623,-378,-423,-363,-101,618,-449,-170
加藤士津,-69,1667,-83,336,1245,65,726,887,-421,-216,-269,143,820,1792,-497,55,-203,-47,134,1008,345,-260,566,366,5,737,-691,825,260,-456,823,636,-26
嘉藤貴行,-277,146,-278,35,-275,-230,-471,291,248,5,-257,-540,-296,149,412,-247,56,249,-24,532,-306,-272,-198,-253,-237,-518,-474,641,-112,-229,-116,213,47
加藤征弘,-181,-674,0,-310,-252,-51,-229,-552,-1,-69,-154,-491,338,-427,-169,24,-70,0,-349,396,22,466,-1378,-247,-98,384,-191,-1104,-419,-193,-823,-247,-54
金成貴史,-528,1978,-147,-641,1100,99,674,181,-171,234,-189,-755,680,453,1021,-4,-350,-526,-447,588,-498,915,780,-399,-64,774,-86,838,-1035,376,52,-151,66
萱野浩二,-229,-114,-365,-395,321,-614,-487,370,-392,-237,-823,-164,-645,1875,68,340,-158,-214,-127,1243,-831,877,-821,-215,-114,961,-704,455,-895,-303,136,82,421
