騎手名,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞
秋山稔樹,1271,-384,,574,425,188,452,896,0,-24,356,-11,-67,43,699,-503,-948,1128,1973,-723,-39,379,484,465,1259
五十嵐雄,,-79,155,0,-79,155,0,-79,,,20,80,27,290,-33,29,-14,-206,,0,0,50,,123,
池添謙一,301,94,,-743,917,-4,314,94,189,-474,0,0,-610,-34,796,806,325,-334,286,-203,-17,457,36,-899,-789
石神深一,29,0,-1496,110,0,-1513,0,-48,,,-11,-94,-11,-653,-109,-307,-32,-395,-79,0,,-991,-5,-509,
石神深道,-1860,-1543,,-1347,-1678,-687,-4452,526,,0,-1337,-2911,-500,1520,102,,,1352,117,2719,799,1780,-5337,-158,
石川裕紀,69,102,,-186,106,243,-1450,1470,-249,0,335,-839,-315,1003,-550,243,49,0,-300,-900,-184,-140,547,-347,-325
石田拓郎,-799,-793,,-926,-322,-47,-1082,192,,0,-425,-251,-206,-312,-430,,,228,-1999,433,-559,997,-1123,-79,
石橋脩　,-1154,1728,,1377,-641,-53,-311,787,-158,,92,524,-1645,981,0,,-27,,-639,507,-60,-106,552,-210,124
泉谷楓真,525,33,,147,301,50,-275,711,-51,-42,317,-58,-429,0,41,-287,-34,973,296,330,-192,-299,689,-33,-41
伊藤工真,-795,537,0,256,-431,-122,-297,146,0,351,-295,-76,-484,96,72,,0,,-169,670,-552,332,-177,0,0
井上敏樹,1631,-494,-539,155,-389,-551,-204,585,0,0,-171,111,-58,-156,-710,-203,486,-141,-79,-79,-158,-824,-710,442,2573
今村聖奈,-1967,-1060,,-1340,-1131,-298,-133,-2434,0,-186,1456,-95,25,-89,7,100,-1151,-478,-441,-867,-184,-3016,-185,123,-120
岩田望来,2328,-626,,2117,-35,-249,-156,2027,0,,0,-19,-689,659,152,572,949,-17,139,-90,663,293,250,377,336
岩田康誠,36,-51,,-1436,1457,-156,-327,386,70,-327,0,-202,42,318,94,-943,642,-12,-491,-217,136,-856,237,664,459
