場所,R,クラス,種別,距離,馬場状態,馬番,馬名,年齢,騎手名,調教師名,脚質傾向,コース複勝率,距離帯複勝率,距離区分,回り,道悪判定,レースレベル,種牡馬名,臨戦過程,距離変遷,推定人気,人気ランク,テン1F_過去,テン1F_過去_ランク,テン1F_前走,テン1F_前走_ランク,テン_T,テン_T_ランク,上がり_T,上がり_T_ランク,前走_評価,前々走_評価,3走前_評価,4走前_評価,5走前_評価
新潟,1,未勝利,ダート,1800,良,1,ゼルノードゥス,2歳,柴田裕一,中竹和也,追込,,,中距離,左回り,,Lv3 ,478,,距離延長,12,E,13.8,10.0,13.8,10.0,,,,,C,,,,
新潟,1,未勝利,ダート,1800,良,2,マーゴットクリュグ,2歳,古川吉洋,小林真也,先行,0.0,0.0,中距離,左回り,,Lv3 ,464,,距離延長,1,B,12.7,1.0,12.7,1.0,36.0,2.0,38.1,1.0,C,C,,,
新潟,1,未勝利,ダート,1800,良,3,スマイルガーデン,2歳,小沢大仁,西村真幸,差し,,0.0,中距離,左回り,,Lv3 ,474,休明2走,,6,D,13.0,5.0,13.0,5.0,37.3,6.0,39.4,5.0,D,C,,,
新潟,1,未勝利,ダート,1800,良,4,セラサイト,2歳,鮫島克駿,茶木太樹,追込,,,中距離,左回り,,Lv3 ,488,,距離延長,2,B,13.5,8.0,13.5,8.0,36.7,4.0,39.3,4.0,C,,,,
新潟,1,未勝利,ダート,1800,良,5,キョウエイハル,2歳,上里直汰,伊坂重信,先行,,,中距離,左回り,,Lv3 ,454,,距離延長,8,D,13.3,7.0,13.3,7.0,37.1,5.0,39.1,3.0,B,,,,
新潟,1,未勝利,ダート,1800,良,6,ガーネットテソーロ,2歳,西塚洸二,高木登,差し,,,中距離,左回り,,Lv3 ,478,,距離延長,3,C,12.9,3.0,12.9,3.0,36.0,2.0,39.5,6.0,C,B,,,
新潟,1,未勝利,ダート,1800,良,7,ティナンヴァランタ,2歳,石神深道,森一誠,追込,,,中距離,左回り,,Lv3 ,440,休明初戦,距離延長,7,D,13.9,11.0,13.9,11.0,,,,,B,,,,
新潟,1,未勝利,ダート,1800,良,8,アルティソナンテ,2歳,丹内祐次,萩原清,差し,,,中距離,左回り,,Lv3 ,430,,,5,D,13.7,9.0,13.7,9.0,,,,,B,,,,
新潟,1,未勝利,ダート,1800,良,9,ノリチャンボウルズ,2歳,国分恭介,西園翔太,先行,,,中距離,左回り,,Lv3 ,474,休明初戦,距離延長,9,D,12.9,3.0,12.9,3.0,,,,,D,,,,
新潟,1,未勝利,ダート,1800,良,10,カワキタスズリノ,2歳,横山琉人,池上昌和,追込,,0.0,中距離,左回り,,Lv3 ,474,,,11,E,14.4,13.0,14.4,13.0,39.5,,41.6,,C,,,,
新潟,1,未勝利,ダート,1800,良,11,ドナソール,2歳,舟山瑠泉,畠山吉宏,追込,0.0,0.0,中距離,左回り,,Lv3 ,472,,,4,C,12.8,2.0,12.8,2.0,35.7,1.0,38.9,2.0,B,C,C,,
新潟,1,未勝利,ダート,1800,良,12,ルーン,2歳,斎藤新,高橋一哉,追込,,0.0,中距離,左回り,,Lv3 ,468,休明初戦,,10,D,13.9,11.0,13.9,11.0,39.6,,44.9,,C,,,,
新潟,1,未勝利,ダート,1800,良,13,ブリスフルイヤー,2歳,石田拓郎,新開幸一,追込,,0.0,中距離,左回り,,Lv3 ,464,,,13,E,13.0,5.0,13.0,5.0,37.5,,43.9,,D,,,,
新潟,2,未勝利,芝,1400,良,1,エイシンティザー,2歳,西塚洸二,吉村圭司,先行,,,短距離,左回り,,Lv1 ,496,,距離短縮,8,D,13.0,10.0,13.0,8.0,37.6,,35.8,,D,,,,
新潟,2,未勝利,芝,1400,良,2,カラーオブサクセス,2歳,菊沢一樹,武市康男,差し,100.0,100.0,短距離,左回り,,Lv1 ,436,,,3,C,11.9,1.0,12.7,6.0,35.1,4.0,34.6,5.0,B,C,C,,
新潟,2,未勝利,芝,1400,良,3,アンジュプロミス,2歳,古川奈穂,矢作芳人,逃げ,,100.0,短距離,左回り,,Lv1 ,462,,,2,B,12.0,2.0,12.1,1.0,34.9,2.0,35.3,,C,B,C,,
新潟,2,未勝利,芝,1400,良,4,スカイピア,2歳,鮫島克駿,前川恭子,追込,,,短距離,左回り,,Lv1 ,442,,距離短縮,9,D,12.9,9.0,13.1,9.0,35.4,6.0,35.5,,C,B,C,B,
新潟,2,未勝利,芝,1400,良,5,グランフォワイエ,2歳,石田拓郎,矢野英一,差し,,,短距離,左回り,,Lv1 ,418,休明初戦,距離延長,12,E,12.5,5.0,12.5,4.0,36.7,,37.7,,D,,,,
新潟,2,未勝利,芝,1400,良,6,ドナベーネ,2歳,斎藤新,高橋一哉,追込,,0.0,短距離,左回り,,Lv1 ,402,休明初戦,,11,E,13.1,11.0,13.1,9.0,35.9,,36.8,,C,,,,
新潟,2,未勝利,芝,1400,良,7,ミスターマーボー,2歳,杉原誠人,青木孝文,先行,,0.0,短距離,左回り,,Lv1 ,448,,,4,C,12.6,6.0,12.6,5.0,35.2,5.0,34.3,3.0,C,C,C,C,
新潟,2,未勝利,芝,1400,良,8,アスミル,2歳,松本大輝,本田優,差し,,50.0,短距離,左回り,,Lv1 ,484,,距離短縮,5,D,12.3,4.0,12.3,3.0,34.9,2.0,34.1,1.0,D,D,B,,
新潟,2,未勝利,芝,1400,良,9,ベルバード,2歳,石神深道,武井亮,逃げ,,,短距離,左回り,,Lv1 ,444,休明初戦,距離延長,6,D,12.1,3.0,12.1,1.0,34.3,1.0,35.5,,C,B,,,
新潟,2,未勝利,芝,1400,良,10,ブランチアウト,2歳,古川吉洋,昆貢,先行,,0.0,短距離,左回り,,Lv1 ,442,,,7,D,12.8,7.0,12.8,7.0,36.8,,35.2,6.0,D,,,,
新潟,2,未勝利,芝,1400,良,11,ジャスフォール,2歳,丹内祐次,上原佑紀,差し,,100.0,短距離,左回り,,Lv1 ,490,,,1,B,13.7,13.0,13.7,13.0,37.4,,34.2,2.0,B,,,,
新潟,2,未勝利,芝,1400,良,12,ゴールドパレード,2歳,横山琉人,天間昭一,先行,,,短距離,左回り,,Lv1 ,474,,距離短縮,13,E,12.8,7.0,13.4,11.0,37.3,,34.3,3.0,C,B,,,
新潟,2,未勝利,芝,1400,良,13,スマイルカーブ,2歳,舟山瑠泉,小手川準,追込,0.0,,短距離,左回り,,Lv1 ,422,,距離短縮,10,E,13.5,12.0,13.5,12.0,38.1,,35.3,,B,,,,
新潟,3,未勝利,ダート,1800,稍重,1,ユイノディスタンス,2歳,舟山瑠泉,深山雅史,追込,,,中距離,左回り,ダ道悪,Lv1 ,460,,距離延長,9,E,14.2,10.0,14.2,9.0,39.5,,39.8,,D,,,,
