場所,R,馬番,馬名,種牡馬名,種牡馬利益度_1,種牡馬利益度_2,種牡馬利益度_3,種牡馬利益度_4,種牡馬利益度_5,種牡馬利益度_6,種牡馬利益度_7,種牡馬利益度_8,種牡馬利益度,種牡馬利益度順位
新潟,1,1,カンタベリーノブシ,アニマルキングダム,,,,,,,,,,
新潟,1,2,マニーヒーロー,サトノダイヤモンド,209.0,423.0,1836.0,964.0,1117.0,-171.0,3039.0,,7417.0,1.0
新潟,1,3,スマートテンペスト,スマートオーディン,,,,,,,,,,
新潟,1,4,リポジノ,モズアスコット,,,,,,,,,,
新潟,1,5,セイウンピカイチ,リアルインパクト,-289.0,652.0,387.0,-698.0,541.0,317.0,2103.0,,3013.0,2.0
新潟,1,6,クリアクォーツ,タワーオブロンドン,,,,,,,,,,
新潟,1,7,シルフズミスチーフ,Into Mischief,-127.0,277.0,699.0,-146.0,527.0,487.0,465.0,,2182.0,3.0
新潟,1,8,ニシノヘリオトロプ,U S Navy Flag,,,,,,,,,,
新潟,1,9,ワイルドブッター,キンシャサノキセキ,-224.0,187.0,-401.0,356.0,-1694.0,-713.0,,,-2489.0,6.0
新潟,1,10,ゼンダンタカ,アジアエクスプレス,71.0,-426.0,434.0,227.0,745.0,-583.0,411.0,,879.0,4.0
新潟,1,11,ソノバシノギ,フォーウィールドライブ,,,,,,,,,,
新潟,1,12,キタノライブリー,アジアエクスプレス,71.0,-426.0,434.0,227.0,745.0,-583.0,,,468.0,5.0
新潟,1,13,ベイビーキッス,サンダースノー,57.0,-198.0,-469.0,-2184.0,-505.0,-545.0,,,-3844.0,7.0
新潟,2,1,セイカエイレーネー,エイシンフラッシュ,-1053.0,-715.0,-2186.0,-578.0,-2192.0,-1574.0,-1681.0,,-9979.0,14.0
新潟,2,2,エコロディーナ,ブリックスアンドモルタル,-29.0,265.0,-893.0,-341.0,-941.0,390.0,248.0,,-1301.0,8.0
新潟,2,3,アルサクレイグ,グレーターロンドン,225.0,785.0,1954.0,784.0,2205.0,696.0,-1700.0,,4949.0,3.0
新潟,2,4,ピンクブルー,デクラレーションオブウォー,-698.0,713.0,2498.0,82.0,1277.0,153.0,,,4025.0,4.0
新潟,2,5,ハイタッチマドンナ,ウインブライト,,,,,,,,,,
新潟,2,6,サンナイアガラ,アメリカンペイトリオット,-938.0,-507.0,997.0,743.0,46.0,-1462.0,,,-1121.0,7.0
新潟,2,7,カミーチェ,マクフィ,466.0,-303.0,992.0,277.0,1128.0,761.0,,,3321.0,5.0
新潟,2,8,ブルーオブウインド,マジェスティックウォリアー,-801.0,-2158.0,-751.0,-753.0,-182.0,-1525.0,-1195.0,,-7365.0,11.0
新潟,2,9,コルドンブルー,キズナ,227.0,2230.0,6626.0,2062.0,156.0,2469.0,,,13770.0,1.0
新潟,2,10,エンジェライト,レインボーライン,,,,,,,,,,
新潟,2,11,コスモシンテイ,ウインブライト,,,,,,,,,,
新潟,2,12,ブルーフラット,ビッグアーサー,-736.0,-2787.0,103.0,-830.0,-2916.0,-1460.0,529.0,,-8097.0,13.0
新潟,2,13,プレインコート,ロードカナロア,325.0,-1026.0,-1958.0,-1787.0,1099.0,481.0,-1984.0,,-4850.0,10.0
