場所,R,クラス,種別,距離,馬場状態,レースレベル,馬番,馬名,年齢,騎手名,調教師名,距離区分,回り,道悪判定,種牡馬名,臨戦過程,距離変遷,推定人気,人気ランク,テン1F_過去,テン1F_過去_ランク,テン1F_前走,テン1F_前走_ランク,テン_T,テン_T_ランク,上がり_T,上がり_T_ランク,前走_評価,前々走_評価,3走前_評価,4走前_評価,5走前_評価
札幌,1,未勝利,ダート,1700,稍,Lv2 ,1,ヴンダーバール,2歳,横山武史,斎藤誠,中距離,右回り,ダ道悪,ナダル,,距離短縮,2,B,12.8,2.0,12.8,2.0,,,,,D,,,,
札幌,1,未勝利,ダート,1700,稍,Lv2 ,2,ワンモメンタム,2歳,丹内祐次,萩原清,中距離,右回り,ダ道悪,ルヴァンスレーヴ,,距離延長,1,B,13.1,7.0,13.1,7.0,36.6,4.0,37.7,2.0,C,,,,
札幌,1,未勝利,ダート,1700,稍,Lv2 ,3,ナムラシンジロー,2歳,古川奈穂,羽月友彦,中距離,右回り,ダ道悪,ミッキーアイル,,距離延長,12,E,13.0,5.0,13.0,5.0,,,,,B,C,,,
札幌,1,未勝利,ダート,1700,稍,Lv2 ,4,ワンインザスカイ,2歳,浜中俊,松永幹夫,中距離,右回り,ダ道悪,デクラレーションオブウォー,,距離延長,9,D,12.9,3.0,12.9,3.0,,,,,B,,,,
札幌,1,未勝利,ダート,1700,稍,Lv2 ,5,チャーリー,2歳,キング,国枝栄,中距離,右回り,ダ道悪,クリソベリル,,,5,C,13.1,7.0,13.1,7.0,35.5,2.0,40.1,6.0,D,,,,
札幌,1,未勝利,ダート,1700,稍,Lv2 ,6,ロードアマルフィ,2歳,横山和生,中村直也,中距離,右回り,ダ道悪,ルヴァンスレーヴ,,,3,C,13.0,5.0,13.0,5.0,35.4,1.0,39.6,5.0,D,,,,
札幌,1,未勝利,ダート,1700,稍,Lv2 ,7,ハグレジョー,2歳,池添謙一,岡田稲男,中距離,右回り,ダ道悪,エスポワールシチー,,,6,D,13.1,7.0,13.1,7.0,35.7,3.0,41.9,,D,,,,
札幌,1,未勝利,ダート,1700,稍,Lv2 ,8,スズランクイーン,2歳,森田誠也,谷潔,中距離,右回り,ダ道悪,アニマルキングダム,,距離延長,14,E,12.9,3.0,12.9,3.0,40.0,,36.3,1.0,C,,,,
札幌,1,未勝利,ダート,1700,稍,Lv2 ,9,リフレックス,2歳,柴田裕一,金成貴史,中距離,右回り,ダ道悪,モーニン,,距離短縮,8,D,12.5,1.0,12.5,1.0,,,,,C,,,,
札幌,1,未勝利,ダート,1700,稍,Lv2 ,10,レイサンソク,2歳,鮫島克駿,吉村圭司,中距離,右回り,ダ道悪,シスキン,,距離短縮,7,D,13.7,11.0,13.7,11.0,,,,,D,,,,
札幌,1,未勝利,ダート,1700,稍,Lv2 ,11,チカマヨルキーナ,2歳,藤岡佑介,藤岡健一,中距離,右回り,ダ道悪,ナダル,,,13,E,13.8,13.0,13.8,13.0,38.1,6.0,40.4,7.0,B,,,,
札幌,1,未勝利,ダート,1700,稍,Lv2 ,12,ニミッツハイウェイ,2歳,和田陽希,梅田智之,中距離,右回り,ダ道悪,ジャスタウェイ,,,10,D,14.1,14.0,14.1,14.0,38.8,7.0,38.8,4.0,D,,,,
札幌,1,未勝利,ダート,1700,稍,Lv2 ,13,ニャンタロウ,2歳,舟山瑠泉,武市康男,中距離,右回り,ダ道悪,ホッコータルマエ,,,4,C,13.7,11.0,13.7,11.0,37.2,5.0,38.5,3.0,D,,,,
