場所,R,馬番,馬名,騎手名,騎手利益度_1,騎手利益度_2,騎手利益度_3,騎手利益度_4,騎手利益度_5,騎手利益度_6,騎手利益度,騎手利益度順位
東京,4,4,カフェオリーブ,長浜鴻緒,2239.0,-226.0,1531.0,1673.0,452.0,,5669.0,1.0
東京,4,5,フレキシブル,岩田康誠,42.0,-856.0,36.0,1457.0,-327.0,,352.0,8.0
東京,4,6,ミライヘノティアラ,北村宏司,1079.0,-706.0,618.0,294.0,1152.0,,2437.0,3.0
東京,4,7,アンジェラス,横山和生,-694.0,-47.0,295.0,1042.0,-945.0,,-349.0,9.0
東京,4,8,インサラータ,池添謙一,-610.0,457.0,301.0,917.0,314.0,,1379.0,6.0
東京,4,9,アルケミラモリス,吉田豊　,-42.0,-619.0,-1035.0,-68.0,-93.0,,-1857.0,10.0
東京,4,10,ビップジョワ,横山武史,-2171.0,-365.0,-119.0,-1532.0,-2164.0,,-6351.0,13.0
東京,4,11,シラカワゴウ,原田和真,220.0,-4727.0,-1414.0,-754.0,1243.0,,-5432.0,12.0
東京,4,12,シニャンガ,ルメール,1134.0,-197.0,831.0,191.0,1062.0,,3021.0,2.0
東京,4,13,ピースフルマインド,戸崎圭太,-427.0,330.0,-179.0,-779.0,-811.0,,-1866.0,11.0
東京,4,14,ミスデルマー,永島まな,87.0,-2841.0,-3389.0,-4103.0,-2458.0,,-12704.0,14.0
東京,4,15,ルージュラベル,三浦皇成,1081.0,1075.0,-899.0,-24.0,171.0,,1404.0,5.0
東京,5,1,シエラモレーナ,木幡巧也,1252.0,955.0,-640.0,875.0,1522.0,,3964.0,3.0
東京,5,2,カズノダイジョウ,横山典弘,160.0,418.0,-945.0,-657.0,575.0,,-449.0,9.0
東京,5,3,リラ,佐々木大,-1372.0,-258.0,796.0,1158.0,-834.0,,-510.0,10.0
東京,5,4,スターリットフレア,杉原誠人,-692.0,-309.0,1191.0,281.0,-165.0,,306.0,8.0
東京,5,5,ルージュアストレア,戸崎圭太,-427.0,330.0,-179.0,-1200.0,-811.0,,-2287.0,12.0
東京,5,6,グランマエストロ,ルメール,1134.0,-197.0,831.0,45.0,1062.0,,2875.0,4.0
東京,5,7,ペリバジャ,矢野貴之,,,,,,,,
東京,5,8,ハネマン,原田和真,220.0,-4727.0,-1414.0,520.0,1243.0,,-4158.0,14.0
東京,5,9,アリアス,三浦皇成,1081.0,1075.0,-899.0,996.0,171.0,,2424.0,5.0
東京,5,10,ノブピースオブラブ,田辺裕信,591.0,-99.0,1091.0,102.0,735.0,,2420.0,6.0
東京,5,11,ダノンケリー,横山武史,-2171.0,-365.0,-119.0,-1275.0,-2164.0,,-6094.0,15.0
東京,5,12,ニシノマーレ,佐藤翔馬,-1272.0,-19.0,889.0,1683.0,-173.0,,1108.0,7.0
東京,5,13,ジューンレトリバー,横山和生,-694.0,-47.0,295.0,-264.0,-945.0,,-1655.0,11.0
東京,5,14,ミスティユニバンス,ディー　,-2455.0,-1215.0,-266.0,-1154.0,-2455.0,,-7545.0,16.0
東京,5,15,ジュニートワン,岩田康誠,42.0,-856.0,36.0,-1436.0,-327.0,,-2541.0,13.0
東京,5,16,ジーティートゥーリ,永島まな,87.0,-2841.0,-3389.0,-2446.0,-2458.0,,-11047.0,17.0
東京,5,17,アドマイヤパープル,津村明秀,683.0,2377.0,1585.0,490.0,2338.0,,7473.0,1.0
東京,5,18,アルマサーガ,長浜鴻緒,2239.0,-226.0,1531.0,864.0,452.0,,4860.0,2.0
東京,6,1,セントゴーデンス,木幡巧也,1252.0,-1476.0,473.0,875.0,1522.0,-1554.0,1092.0,5.0
東京,6,2,ホウオウルクソール,横山和生,-694.0,6.0,742.0,-264.0,-945.0,55.0,-1100.0,8.0
東京,6,3,ヴォーカライズ,矢野貴之,,,,,,,,
東京,6,4,タイセイエキサイト,長浜鴻緒,2239.0,2830.0,786.0,864.0,452.0,1235.0,8406.0,1.0
東京,6,5,ステラデルークス,横山武史,-2171.0,-2194.0,-2781.0,-1275.0,-2164.0,-952.0,-11537.0,15.0
東京,6,6,キーンセンス,北村友一,-666.0,-5.0,198.0,-253.0,-1277.0,-564.0,-2567.0,11.0
