場所,R,馬番,馬名,種牡馬名,種牡馬妙味度_1,種牡馬妙味度_2,種牡馬妙味度_3,種牡馬妙味度_4,種牡馬妙味度_5,種牡馬妙味度_6,種牡馬妙味度_7,種牡馬妙味度_8,種牡馬妙味度,種牡馬妙味度順位
函館,1,1,ストームサンダー,ヘンリーバローズ,21.0,83.0,99.0,77.0,86.0,86.0,,,75.333,14.0
函館,1,2,クワイエットアイ,St Mark's Basilica,,,,,,,,,,
函館,1,3,ライトアズフェザー,アルアイン,99.0,82.0,88.0,92.0,88.0,88.0,74.0,,87.286,12.0
函館,1,4,コルテオソレイユ,ウインブライト,158.0,107.0,97.0,100.0,102.0,99.0,,,110.5,2.0
函館,1,5,ファンシーフリル,フォーウィールドライブ,21.0,117.0,132.0,122.0,133.0,113.0,,,106.333,4.0
函館,1,6,ロードベルファスト,ロジャーバローズ,21.0,89.0,96.0,93.0,105.0,81.0,,,80.833,13.0
函館,1,7,ロンドンオービタル,タワーオブロンドン,75.0,107.0,108.0,103.0,102.0,98.0,,,98.833,7.0
函館,1,8,ハチハチローズ,ルヴァンスレーヴ,21.0,90.0,221.0,114.0,115.0,133.0,,,115.667,1.0
函館,1,9,エミフルソウタ,キタサンブラック,108.0,106.0,99.0,105.0,104.0,103.0,,,104.167,5.0
函館,1,10,マジッククッキー,マインドユアビスケッツ,112.0,99.0,110.0,103.0,102.0,93.0,,,103.167,6.0
函館,1,11,ケイベエ,エピファネイア,94.0,96.0,97.0,108.0,92.0,93.0,,,96.667,10.0
函館,1,12,ヨッシーリオ,フィエールマン,21.0,123.0,111.0,112.0,107.0,103.0,,,96.167,11.0
函館,1,13,ヘクセンハウス,ウインブライト,158.0,107.0,97.0,100.0,102.0,99.0,,,110.5,2.0
函館,1,14,ミルトハッピー,タワーオブロンドン,75.0,107.0,108.0,103.0,102.0,98.0,,,98.833,7.0
函館,1,15,モルトカリーナ,ミスターメロディ,87.0,96.0,121.0,95.0,98.0,91.0,,,98.0,9.0
函館,1,16,ワイズギャング,ミスチヴィアスアレックス,,,,,,,,,,
函館,2,1,クインズマカロン,マインドユアビスケッツ,112.0,99.0,93.0,90.0,93.0,93.0,,,96.667,8.0
函館,2,2,ダノンブロッサム,ロードカナロア,103.0,98.0,100.0,97.0,93.0,96.0,112.0,,99.857,6.0
函館,2,3,ペイシャキセキ,オーヴァルエース,,,,,,,,,,
函館,2,4,ミッキーラサルダン,サートゥルナーリア,101.0,116.0,89.0,96.0,71.0,,,,94.6,9.0
函館,2,5,クリップクロップ,サトノダイヤモンド,104.0,108.0,100.0,97.0,99.0,98.0,113.0,,102.714,5.0
函館,2,6,ナリタヒカリ,ルヴァンスレーヴ,21.0,90.0,106.0,114.0,133.0,,,,92.8,11.0
函館,2,7,デンリッレハウエル,レイデオロ,85.0,100.0,98.0,89.0,95.0,91.0,92.0,,92.857,10.0
函館,2,8,ビービープリメーロ,マジェスティックウォリアー,109.0,91.0,103.0,105.0,104.0,105.0,,,102.833,4.0
函館,2,9,メイショウマヒロ,ダノンレジェンド,112.0,102.0,116.0,110.0,113.0,114.0,105.0,,110.286,2.0
函館,2,10,ビスケットマリー,マインドユアビスケッツ,112.0,99.0,93.0,90.0,93.0,93.0,101.0,,97.286,7.0
函館,2,11,デルマラメール,ルヴァンスレーヴ,21.0,90.0,106.0,114.0,133.0,,,,92.8,11.0
函館,2,12,コスモトロイメル,ダノンバラード,114.0,100.0,102.0,98.0,104.0,103.0,,,103.5,3.0
函館,2,13,エイシンマクルーベ,ワンアンドオンリー,265.0,141.0,98.0,114.0,121.0,123.0,123.0,,140.714,1.0
函館,3,1,フェアリーグレン,ロードカナロア,103.0,98.0,98.0,97.0,93.0,96.0,,,97.5,8.0
函館,3,2,アクアジェット,ビーチパトロール,91.0,98.0,99.0,109.0,105.0,98.0,97.0,,99.571,7.0
函館,3,3,ヤマノインパクト,カリフォルニアクローム,125.0,108.0,96.0,104.0,100.0,105.0,,,106.333,2.0
函館,3,4,カピオラ,フィエールマン,21.0,123.0,111.0,114.0,103.0,68.0,,,90.0,13.0
函館,3,5,ビジュードネージュ,ゴールドシップ,100.0,102.0,101.0,102.0,102.0,103.0,,,101.667,4.0
函館,3,6,ラマヌジャン,カリフォルニアクローム,125.0,108.0,96.0,104.0,100.0,105.0,123.0,,108.714,1.0
函館,3,7,ハニードレス,ブリックスアンドモルタル,39.0,98.0,104.0,103.0,104.0,97.0,91.0,,90.857,11.0
函館,3,8,グリスタン,アドマイヤマーズ,95.0,95.0,108.0,116.0,,,,,103.5,3.0
函館,3,9,サトノベリル,サトノクラウン,92.0,86.0,94.0,93.0,88.0,95.0,,,91.333,10.0
函館,3,10,アースグレーザー,サングレーザー,,,,,,,,,,
函館,3,11,ウインヘリオドール,ゴールドシップ,100.0,102.0,101.0,102.0,102.0,103.0,96.0,,100.857,6.0
函館,3,12,オニムシャ,シルバーステート,82.0,92.0,104.0,98.0,97.0,99.0,,,95.333,9.0
函館,3,13,ジャスマン,ゴールドシップ,100.0,102.0,101.0,102.0,102.0,103.0,,,101.667,4.0
函館,3,14,セレニティ,ブリックスアンドモルタル,39.0,98.0,104.0,103.0,104.0,97.0,,,90.833,12.0
函館,4,1,リバティフレイム,アメリカンペイトリオット,73.0,99.0,95.0,97.0,102.0,106.0,88.0,,94.286,8.0
函館,4,2,レズルレクティオ,ドゥラメンテ,106.0,97.0,95.0,98.0,98.0,99.0,,,98.833,5.0
函館,4,3,ダノンラッセル,American Pharoah,133.0,113.0,105.0,104.0,94.0,103.0,,,108.667,3.0
函館,4,4,スマートテンペスト,スマートオーディン,,,,,,,,,,
函館,4,5,サトミノエンジェル,マインドユアビスケッツ,112.0,99.0,93.0,90.0,93.0,93.0,,,96.667,6.0
函館,4,6,スマートブル,オーヴァルエース,,,,,,,,,,
函館,4,7,エムズドリーム,ゴールドドリーム,21.0,66.0,94.0,163.0,102.0,106.0,,,92.0,9.0
函館,4,8,ゴールドリバース,ゴールドアクター,126.0,114.0,96.0,113.0,122.0,114.0,122.0,,115.286,1.0
函館,4,9,サヨノファントム,アニマルキングダム,21.0,90.0,95.0,97.0,100.0,101.0,78.0,,83.143,10.0
函館,4,10,ビップアリエル,サンダースノー,44.0,112.0,116.0,115.0,106.0,114.0,159.0,,109.429,2.0
函館,4,11,ウーナファータ,ミッキーグローリー,205.0,80.0,108.0,82.0,77.0,65.0,,,102.833,4.0
函館,4,12,アーロッタレット,Practical Joke,,,,,,,,,,
函館,4,13,ガウラサンダー,シュヴァルグラン,132.0,88.0,89.0,99.0,93.0,94.0,80.0,,96.429,7.0
函館,4,14,キタノアンシェル,ロジャーバローズ,21.0,89.0,96.0,97.0,89.0,81.0,93.0,,80.857,11.0
函館,5,1,ノチェセラーダ,ドレフォン,111.0,79.0,96.0,99.0,105.0,104.0,,,99.0,5.0
函館,5,2,アーレムアレス,ハービンジャー,111.0,110.0,101.0,102.0,98.0,104.0,,,104.333,1.0
函館,5,3,エバーシャンティ,ルーラーシップ,75.0,93.0,101.0,103.0,96.0,100.0,,,94.667,6.0
函館,5,4,ソルプレーザ,エイシンフラッシュ,70.0,77.0,83.0,75.0,90.0,86.0,,,80.167,8.0
函館,5,5,ヴァイオスペース,リオンディーズ,103.0,112.0,98.0,109.0,100.0,102.0,,,104.0,3.0
函館,5,6,シュピラー,サンダースノー,44.0,99.0,85.0,97.0,106.0,114.0,,,90.833,7.0
函館,5,7,マーゴットサンズ,ミスチヴィアスアレックス,,,,,,,,,,
函館,5,8,ハムタン,エピファネイア,94.0,119.0,97.0,108.0,97.0,93.0,,,101.333,4.0
函館,5,9,グリーンゴー,ハービンジャー,111.0,110.0,101.0,102.0,98.0,104.0,,,104.333,1.0
函館,6,1,ペタルブランシュ,シルバーステート,82.0,92.0,104.0,98.0,97.0,99.0,,,95.333,11.0
函館,6,2,ヒロノエクスカリバ,ビッグアーサー,104.0,88.0,100.0,89.0,96.0,96.0,,,95.5,10.0
函館,6,3,ウィステリアベル,パドトロワ,,,,,,,,,,
函館,6,4,ヒットザグラウンド,ファインニードル,97.0,97.0,104.0,100.0,101.0,100.0,,,99.833,6.0
函館,6,5,ラースアルアイン,アルアイン,99.0,82.0,88.0,81.0,88.0,88.0,,,87.667,14.0
函館,6,6,スピリットサージ,ブリックスアンドモルタル,39.0,98.0,104.0,103.0,100.0,97.0,103.0,,92.0,12.0
函館,6,7,グリフォン,サートゥルナーリア,101.0,94.0,105.0,96.0,,,,,99.0,7.0
函館,6,8,アセンディア,キンシャサノキセキ,108.0,100.0,90.0,93.0,97.0,97.0,,,97.5,9.0
函館,6,9,ブラヴォケラトプス,リアルインパクト,102.0,104.0,101.0,111.0,103.0,99.0,,,103.333,3.0
函館,6,10,アルデヤーノ,イスラボニータ,106.0,103.0,113.0,103.0,107.0,102.0,103.0,,105.286,2.0
函館,6,11,クリフウォーク,Kingman,81.0,89.0,86.0,75.0,79.0,83.0,83.0,,82.286,15.0
函館,6,12,ミリオンヒット,アジアエクスプレス,102.0,96.0,113.0,97.0,103.0,106.0,,,102.833,4.0
函館,6,13,ピースオブライツ,ラブリーデイ,89.0,98.0,108.0,98.0,95.0,100.0,100.0,,98.286,8.0
函館,6,14,ファリア,メイショウボーラー,84.0,93.0,87.0,93.0,86.0,94.0,,,89.5,13.0
