場所,R,クラス,種別,距離,馬場状態,馬番,馬名,年齢,騎手名,調教師名,距離区分,回り,道悪判定,種牡馬名,臨戦過程,距離変遷
新潟,1,未勝利,芝,1800,良,1,スカーレットクロス,2歳,石神深道,土田稔,中距離,左回り,,マジェスティックウォリアー,,距離延長
新潟,1,未勝利,芝,1800,良,2,ベリーズブルー,2歳,秋山稔樹,鈴木慎太,中距離,左回り,,フィエールマン,,距離延長
新潟,1,未勝利,芝,1800,良,3,マイネルアレス,2歳,丹内祐次,相沢郁,中距離,左回り,,スクリーンヒーロー,,
新潟,1,未勝利,芝,1800,良,4,デンリッレハウエル,2歳,古川奈穂,林徹,中距離,左回り,,レイデオロ,休明初戦,距離延長
新潟,1,未勝利,芝,1800,良,5,フェスティヴルキナ,2歳,丸山元気,小野次郎,中距離,左回り,,アルアイン,,
新潟,1,未勝利,芝,1800,良,6,ユイノオールイン,2歳,小林美駒,竹内正洋,中距離,左回り,,モズアスコット,,
新潟,1,未勝利,芝,1800,良,7,イスキオス,2歳,杉原誠人,栗田徹,中距離,左回り,,キタサンブラック,,
新潟,1,未勝利,芝,1800,良,8,コリカンチャ,2歳,亀田温心,斉藤崇史,中距離,左回り,,ブリックスアンドモルタル,,
新潟,1,未勝利,芝,1800,良,9,コスモフィネス,2歳,斎藤新,黒岩陽一,中距離,左回り,,ウインブライト,休明初戦,
新潟,1,未勝利,芝,1800,良,10,ナリノボガート,2歳,長浜鴻緒,上原博之,中距離,左回り,,サトノクラウン,,
新潟,1,未勝利,芝,1800,良,11,エルムラント,2歳,荻野極,鹿戸雄一,中距離,左回り,,フィエールマン,,距離延長
新潟,1,未勝利,芝,1800,良,12,メイショウバンデ,2歳,藤懸貴志,高橋義忠,中距離,左回り,,ウインブライト,,
新潟,1,未勝利,芝,1800,良,13,カンナギ,2歳,石橋脩,小手川準,中距離,左回り,,ゴールドシップ,,
新潟,1,未勝利,芝,1800,良,14,ウインバーテックス,2歳,菊沢一樹,清水英克,中距離,左回り,,ウインブライト,,
新潟,1,未勝利,芝,1800,良,15,リアルサファリ,2歳,小崎綾也,小崎憲,中距離,左回り,,リアルスティール,,距離延長
新潟,1,未勝利,芝,1800,良,16,エコログローリー,2歳,国分恭介,牧浦充徳,中距離,左回り,,イスラボニータ,,距離延長
新潟,1,未勝利,芝,1800,良,17,メイショウゴールド,2歳,小沢大仁,荒川義之,中距離,左回り,,カリフォルニアクローム,,距離延長
新潟,1,未勝利,芝,1800,良,18,レイヤードレッド,2歳,嶋田純次,手塚貴久,中距離,左回り,,フィエールマン,休明初戦,
新潟,2,未勝利,ダート,1200,良,1,モルフェヴォロンテ,2歳,菊沢一樹,小手川準,短距離,左回り,,イスラボニータ,休明初戦,
新潟,2,未勝利,ダート,1200,良,2,グッバイウェーブ,2歳,丸山元気,中川公成,短距離,左回り,,ミスターメロディ,,距離短縮
新潟,2,未勝利,ダート,1200,良,3,ラブミーハーパー,2歳,石神深道,土田稔,短距離,左回り,,コパノリッキー,,距離短縮
新潟,2,未勝利,ダート,1200,良,4,トリリオンボーイ,2歳,吉田隼人,武井亮,短距離,左回り,,マクフィ,,距離短縮
新潟,2,未勝利,ダート,1200,良,5,ライブリブランコ,2歳,石田拓郎,尾形和幸,短距離,左回り,,ケープブランコ,,距離短縮
新潟,2,未勝利,ダート,1200,良,6,サマーブライド,2歳,古川奈穂,的場均,短距離,左回り,,コパノリッキー,休明初戦,距離短縮
新潟,2,未勝利,ダート,1200,良,7,クリアクォーツ,2歳,丹内祐次,岩戸孝樹,短距離,左回り,,タワーオブロンドン,,
新潟,2,未勝利,ダート,1200,良,8,カネショウレジェン,2歳,横山琉人,稲垣幸雄,短距離,左回り,,ダノンレジェンド,,
新潟,2,未勝利,ダート,1200,良,9,セイウンスペリオル,2歳,長浜鴻緒,小島茂之,短距離,左回り,,アジアエクスプレス,,
新潟,2,未勝利,ダート,1200,良,10,ミキノオーボエ,2歳,小林凌大,南田美知,短距離,左回り,,スマートファルコン,,
新潟,2,未勝利,ダート,1200,良,11,アイアンソリッド,2歳,西塚洸二,本間忍,短距離,左回り,,スズカコーズウェイ,,
新潟,2,未勝利,ダート,1200,良,12,マホウノランプ,2歳,石橋脩,牧光二,短距離,左回り,,サトノアラジン,休明初戦,距離短縮
新潟,2,未勝利,ダート,1200,良,13,デーモンスレイヤー,2歳,小沢大仁,庄野靖志,短距離,左回り,,ヘニーヒューズ,,
新潟,2,未勝利,ダート,1200,良,14,ジャスパーノベル,2歳,荻野極,森秀行,短距離,左回り,,Vekoma,,距離短縮
新潟,2,未勝利,ダート,1200,良,15,チュラット,2歳,武藤雅,水野貴広,短距離,左回り,,イスラボニータ,休明3走,
新潟,3,自己条件,ダート,1800,良,1,モモンウールー,3歳,斎藤新,池添学,中距離,左回り,,ドレフォン,,
新潟,3,自己条件,ダート,1800,良,2,サイモンコーラル,4歳,丸山元気,羽月友彦,中距離,左回り,,ビーチパトロール,休明2走,
新潟,3,自己条件,ダート,1800,良,3,ターコイズデュー,4歳,小沢大仁,畠山吉宏,中距離,左回り,,フリオーソ,,
新潟,3,自己条件,ダート,1800,良,4,ハイウェイスター,3歳,古川奈穂,宮本博,中距離,左回り,,アメリカンペイトリオット,,
新潟,3,自己条件,ダート,1800,良,5,アイウィルビー,3歳,嶋田純次,水野貴広,中距離,左回り,,マインドユアビスケッツ,,
新潟,3,自己条件,ダート,1800,良,6,ヒロインズクレスト,3歳,長浜鴻緒,本田優,中距離,左回り,,スクリーンヒーロー,休明2走,
新潟,3,自己条件,ダート,1800,良,7,フェルンマンボ,5歳以上,西塚洸二,辻野泰之,中距離,左回り,,ヘニーヒューズ,,
新潟,3,自己条件,ダート,1800,良,8,ドレミファニー,4歳,武藤雅,西田雄一,中距離,左回り,,ドレフォン,,
新潟,3,自己条件,ダート,1800,良,9,ミツカネヴィーナス,5歳以上,菊沢一樹,鈴木伸尋,中距離,左回り,,ヘニーヒューズ,休明3走,
新潟,3,自己条件,ダート,1800,良,10,ウェルキン,3歳,石田拓郎,新開幸一,中距離,左回り,,マインドユアビスケッツ,,
新潟,3,自己条件,ダート,1800,良,11,シャリティ,3歳,川端海翼,四位洋文,中距離,左回り,,イスラボニータ,休明2走,距離延長
新潟,4,未勝利,障害,2850,良,1,アメトリーチェ,5歳以上,土田真翔,加藤和宏,長距離,左回り,,イスラボニータ,休明2走,距離短縮
新潟,4,未勝利,障害,2850,良,2,テクネチウム,3歳,中村将之,木原一良,長距離,左回り,,マクフィ,,
新潟,4,未勝利,障害,2850,良,3,ドゥラモンド,5歳以上,石神深一,手塚貴久,長距離,左回り,,ドゥラメンテ,休明初戦,距離延長
新潟,4,未勝利,障害,2850,良,4,イチリュウオー,3歳,上野翔,小西一男,長距離,左回り,,バゴ,,距離短縮
新潟,4,未勝利,障害,2850,良,5,ブレバ,4歳,田村太雅,中竹和也,長距離,左回り,,ネロ,休明2走,
新潟,4,未勝利,障害,2850,良,6,フレーゲル,5歳以上,伴啓太,鈴木慎太,長距離,左回り,,トゥザワールド,休明2走,距離短縮
新潟,4,未勝利,障害,2850,良,7,トーセンヴァンノ,5歳以上,大江原圭,杉浦宏昭,長距離,左回り,,ヴァンキッシュラン,休明初戦,距離短縮
新潟,4,未勝利,障害,2850,良,8,ソルドラード,5歳以上,五十嵐雄,蛯名正義,長距離,左回り,,ロードカナロア,休明初戦,距離短縮
新潟,4,未勝利,障害,2850,良,9,カルマンフィルター,3歳,草野太郎,戸田博文,長距離,左回り,,スワーヴリチャード,休明3走,
新潟,4,未勝利,障害,2850,良,10,ジオフロント,5歳以上,小牧加矢,清水久詞,長距離,左回り,,ハーツクライ,休明初戦,距離延長
新潟,4,未勝利,障害,2850,良,11,タイセイシェダル,5歳以上,難波剛健,高橋義忠,長距離,左回り,,マクフィ,,
新潟,5,未勝利,芝,1400,良,1,モズアンドモズ,2歳,石橋脩,栗田徹,短距離,左回り,,モズアスコット,,距離短縮
新潟,5,未勝利,芝,1400,良,2,イノキ,2歳,丹内祐次,岩戸孝樹,短距離,左回り,,ミスターメロディ,,距離短縮
新潟,5,未勝利,芝,1400,良,3,ロケットバディー,2歳,斎藤新,斎藤誠,短距離,左回り,,リオンディーズ,,
新潟,5,未勝利,芝,1400,良,4,バヤシーフェイス,2歳,荻野極,西園翔太,短距離,左回り,,タワーオブロンドン,,
新潟,5,未勝利,芝,1400,良,5,アトラクトラン,2歳,河原田菜,渡辺薫彦,短距離,左回り,,シャンハイボビー,,
新潟,5,未勝利,芝,1400,良,6,ルクスレゼルヴァ,2歳,秋山稔樹,村山明,短距離,左回り,,スマートオーディン,,距離短縮
新潟,5,未勝利,芝,1400,良,7,アイビーガオー,2歳,小林脩斗,青木孝文,短距離,左回り,,パイロ,,距離延長
新潟,5,未勝利,芝,1400,良,8,ロイヤルウィル,2歳,橋木太希,村山明,短距離,左回り,,タワーオブロンドン,,
新潟,5,未勝利,芝,1400,良,9,サラサエンペラー,2歳,菊沢一樹,村田一誠,短距離,左回り,,タワーオブロンドン,,距離延長
新潟,5,未勝利,芝,1400,良,10,カゼノカンザシ,2歳,長浜鴻緒,根本康広,短距離,左回り,,エイシンフラッシュ,,距離短縮
新潟,5,未勝利,芝,1400,良,11,ジョーブラック,2歳,西塚洸二,清水久詞,短距離,左回り,,キタサンブラック,,距離短縮
新潟,6,自己条件,ダート,1200,良,1,メレカリキマカ,5歳以上,横山琉人,小島茂之,短距離,左回り,,ロードカナロア,休明2走,距離短縮
