場所,R,馬番,馬名,騎手妙味度,騎手妙味度順位,種牡馬妙味度,種牡馬妙味度順位,調教師妙味度,調教師妙味度順位,妙味度合計,総合妙味度,総合妙味度順位
中山,1,1,イッツソーブライト,92.2,14.0,,,82.667,16.0,,,
中山,1,2,キタノトゥシャイン,90.4,15.0,101.333,2.0,96.833,6.0,288.56600000000003,96.189,7.0
中山,1,3,プラチナムディスク,100.2,2.0,80.8,11.0,96.667,8.0,277.66700000000003,92.556,10.0
中山,1,4,ヘイマー,,,89.714,10.0,90.5,13.0,,,
中山,1,5,グレイシエーション,98.4,8.0,96.857,6.0,91.0,12.0,286.257,95.419,8.0
中山,1,6,モーゲンセン,98.8,7.0,127.333,1.0,103.833,1.0,329.966,109.989,1.0
中山,1,7,ツクバヴァンガード,96.6,11.0,95.667,8.0,98.857,4.0,291.124,97.041,5.0
中山,1,8,アルクノワール,99.6,4.0,96.571,7.0,103.833,1.0,300.004,100.001,2.0
中山,1,9,ロット,97.0,9.0,98.857,4.0,87.667,15.0,283.524,94.508,9.0
中山,1,10,マーガレットクレア,95.2,12.0,,,96.5,9.0,,,
中山,1,11,リナシタ,100.2,2.0,,,102.333,3.0,,,
中山,1,12,クリオロゴールド,96.8,10.0,98.833,5.0,94.667,11.0,290.29999999999995,96.767,6.0
中山,1,13,ネオアカジョウ,102.2,1.0,,,96.429,10.0,,,
中山,1,14,ポルタシャーンス,94.0,13.0,100.667,3.0,97.333,5.0,292.0,97.333,3.0
中山,1,15,ジャンプストリート,99.2,5.0,,,90.5,13.0,,,
中山,1,16,ステキサプライズ,99.0,6.0,95.429,9.0,96.833,6.0,291.262,97.087,4.0
中山,2,1,イサチルクイーン,97.4,9.0,98.667,9.0,101.0,6.0,297.067,99.022,7.0
中山,2,2,ローズプリンセス,102.6,2.0,88.667,11.0,107.0,4.0,298.267,99.422,5.0
中山,2,3,タートルインメイ,98.6,7.0,98.571,10.0,101.167,5.0,298.33799999999997,99.446,4.0
中山,2,4,レイナロハルンバ,81.4,15.0,107.2,5.0,89.429,12.0,278.029,92.676,9.0
中山,2,5,ピアス,97.6,8.0,,,127.0,1.0,,,
中山,2,6,デルマホダカ,107.8,1.0,100.429,7.0,98.0,8.0,306.229,102.076,2.0
中山,2,7,サラサチャチャチャ,96.2,11.0,,,108.571,3.0,,,
中山,2,8,エイシンイクサボシ,100.2,4.0,112.833,2.0,86.571,15.0,299.60400000000004,99.868,3.0
中山,2,9,コスモシュンライ,102.0,3.0,109.429,3.0,108.667,2.0,320.096,106.699,1.0
中山,2,10,バオシェテンシ,93.4,13.0,109.429,3.0,87.5,13.0,290.329,96.776,8.0
中山,2,11,アルデバローズ,99.8,5.0,,,90.5,11.0,,,
中山,2,12,ゲンパチミスティ,82.8,14.0,,,100.333,7.0,,,
中山,2,13,クイーンズホリデー,,,102.167,6.0,95.286,9.0,,,
中山,2,14,レヴェンドール,98.8,6.0,99.143,8.0,,,,,
中山,2,15,ルベライトテソーロ,95.8,12.0,114.0,1.0,87.5,13.0,297.3,99.1,6.0
中山,2,16,ライブリピュア,96.8,10.0,,,94.667,10.0,,,
中山,3,1,チェストー,,,108.0,3.0,76.0,13.0,,,
中山,3,2,アラビアンドリーム,103.0,3.0,103.0,4.0,93.0,10.0,299.0,99.667,4.0
中山,3,3,グスタフ,,,,,99.667,5.0,,,
中山,3,4,クルスデルスール,100.2,6.0,90.333,10.0,103.857,4.0,294.39,98.13,7.0
中山,3,5,ベルウッドバイオ,96.6,10.0,,,97.0,7.0,,,
中山,3,6,フロステリオン,107.8,1.0,91.571,9.0,98.714,6.0,298.085,99.362,6.0
中山,3,7,ジェネラスキング,101.4,5.0,100.667,6.0,96.5,8.0,298.567,99.522,5.0
中山,3,8,パラダイスフェイス,97.0,8.0,110.5,2.0,105.167,3.0,312.66700000000003,104.222,1.0
中山,3,9,サイモフェーン,96.8,9.0,,,106.5,1.0,,,
中山,3,10,フライデイゼーン,99.8,7.0,113.5,1.0,89.429,11.0,302.72900000000004,100.91,3.0
中山,3,11,ツインドライヴ,81.4,11.0,100.429,7.0,94.333,9.0,276.16200000000003,92.054,9.0
中山,3,12,ヨドノヒロイン,106.6,2.0,101.429,5.0,84.286,12.0,292.315,97.438,8.0
中山,3,13,ディレクティオ,102.0,4.0,99.0,8.0,106.0,2.0,307.0,102.333,2.0
中山,4,1,カイコウ,105.5,5.0,103.0,1.0,91.5,6.0,300.0,100.0,2.0
中山,4,2,アニージョ,83.5,9.0,,,100.5,3.0,,,
中山,4,3,ネイチャーシップ,77.5,13.0,99.0,4.0,112.5,1.0,289.0,96.333,4.0
中山,4,4,サトノエピック,113.5,2.0,98.0,5.0,90.0,8.0,301.5,100.5,1.0
