場所,R,馬番,馬名,騎手妙味度,騎手妙味度順位,種牡馬妙味度,種牡馬妙味度順位,調教師妙味度,調教師妙味度順位,妙味度合計,総合妙味度,総合妙味度順位
中山,1,1,アレキサンダーサン,,,108.571,4.0,87.333,13.0,,,
中山,1,2,ガクエンテンゴク,101.0,5.0,101.333,7.0,107.0,1.0,309.33299999999997,103.111,2.0
中山,1,3,ケンブリッジルプス,86.0,13.0,94.143,9.0,98.0,5.0,278.14300000000003,92.714,10.0
中山,1,4,アンプイットアップ,100.2,7.0,108.714,3.0,89.857,12.0,298.77099999999996,99.59,5.0
中山,1,5,タイキプレジール,100.4,6.0,,,93.167,9.0,,,
中山,1,6,ゼファーテソーロ,98.8,9.0,109.2,2.0,91.0,11.0,299.0,99.667,4.0
中山,1,7,キッショウダラニ,99.6,8.0,98.167,8.0,103.833,2.0,301.6,100.533,3.0
中山,1,8,サンマルフォース,98.6,10.0,120.5,1.0,97.5,7.0,316.6,105.533,1.0
中山,1,9,マインセーラ,90.4,12.0,,,83.667,15.0,,,
中山,1,10,ショウナンタヅナ,106.0,3.0,105.143,6.0,85.833,14.0,296.976,98.992,7.0
中山,1,11,トウシンライオット,,,,,92.0,10.0,,,
中山,1,12,ユキノサイエンス,101.2,4.0,90.667,10.0,102.167,3.0,294.034,98.011,8.0
中山,1,13,サリーアン,107.6,2.0,,,98.0,5.0,,,
中山,1,14,スラッシュコード,111.6,1.0,79.8,11.0,98.167,4.0,289.567,96.522,9.0
中山,1,15,モーニングダリア,,,,,75.0,16.0,,,
中山,1,16,タマリスペクト,97.0,11.0,106.0,5.0,94.429,8.0,297.429,99.143,6.0
中山,2,1,シシリアンキッス,107.8,1.0,102.143,5.0,99.143,6.0,309.086,103.029,3.0
中山,2,2,ニケフェリーチェ,93.2,14.0,100.143,6.0,97.0,8.0,290.343,96.781,9.0
中山,2,3,プレイメイカー,97.2,9.0,,,93.0,13.0,,,
中山,2,4,アイアンパイク,103.0,2.0,85.0,11.0,73.0,15.0,261.0,87.0,11.0
中山,2,5,トリエンナーレ,102.6,4.0,92.571,10.0,127.0,1.0,322.171,107.39,1.0
中山,2,6,アッシズオブローズ,96.8,10.0,113.6,1.0,94.667,12.0,305.067,101.689,4.0
中山,2,7,プリンセスダーコ,95.8,12.0,97.167,9.0,104.0,2.0,296.967,98.989,6.0
中山,2,8,アルティオーラ,89.4,15.0,,,,,,,
中山,2,9,ピンクサウスポー,97.6,7.0,,,90.0,14.0,,,
中山,2,10,ビーチイン,102.0,5.0,,,99.167,5.0,,,
