場所,R,馬番,馬名,騎手利益度,騎手利益度順位,種牡馬利益度,種牡馬利益度順位,調教師利益度,調教師利益度順位,総合利益度,総合利益度順位
中山,1,1,アルビオンライズ,,,3461.0,6.0,3965.0,2.0,,
中山,1,2,トパーズヘッド,-7889.0,11.0,-1877.0,9.0,-6388.0,12.0,-16.154,10.0
中山,1,3,アンミツ,164.0,7.0,-2866.0,10.0,6159.0,1.0,3.457,4.0
中山,1,4,リコルディオーロ,2611.0,5.0,-10942.0,11.0,-3272.0,8.0,-11.603,9.0
中山,1,5,コウソクレムリア,4292.0,3.0,,,2216.0,4.0,,
中山,1,6,クリアマインド,-8360.0,12.0,7184.0,5.0,-1477.0,5.0,-2.653,7.0
中山,1,7,ヴァンデエス,40.0,8.0,3461.0,6.0,-2915.0,6.0,0.586,6.0
中山,1,8,スヴァラ,-5437.0,10.0,965.0,8.0,-5782.0,11.0,-10.254,8.0
中山,1,9,アイビーカイロス,-2178.0,9.0,,,-4570.0,9.0,,
中山,1,10,ハイトラクション,6403.0,2.0,10603.0,2.0,-2915.0,6.0,14.091,2.0
中山,1,11,ハクタカ,3451.0,4.0,12885.0,1.0,-5695.0,10.0,10.641,3.0
中山,1,12,アーバーバイティ,1644.0,6.0,9284.0,3.0,-9806.0,13.0,1.122,5.0
中山,1,13,ファイアリーボルト,7991.0,1.0,8680.0,4.0,2711.0,3.0,19.382,1.0
中山,2,1,ブラックナザレ,513.0,6.0,-10425.0,10.0,-6299.0,12.0,-16.211,10.0
中山,2,2,マルスフィス,-2043.0,10.0,-5751.0,8.0,1546.0,5.0,-6.248,7.0
中山,2,3,ニーナラルゴ,-9263.0,12.0,,,2056.0,4.0,,
中山,2,4,タッカーヴィーチェ,3618.0,4.0,-1933.0,3.0,-2662.0,10.0,-0.977,6.0
中山,2,5,オシゴリ,1741.0,5.0,-5552.0,7.0,3342.0,2.0,-0.469,4.0
中山,2,6,リオンパリス,-1761.0,9.0,-2494.0,4.0,7861.0,1.0,3.606,2.0
中山,2,7,サムワンユーラヴド,-866.0,8.0,2032.0,2.0,-231.0,7.0,0.935,3.0
中山,2,8,ウィルステート,290.0,7.0,5119.0,1.0,74.0,6.0,5.483,1.0
中山,2,9,エコロテラ,9710.0,1.0,,,-471.0,8.0,,
中山,2,10,ヴェントリナ,3795.0,3.0,-6989.0,9.0,-5388.0,11.0,-8.582,8.0
中山,2,11,ハンサム,3845.0,2.0,-2494.0,4.0,-1867.0,9.0,-0.516,5.0
中山,2,12,リキマル,-8656.0,11.0,-3574.0,6.0,3055.0,3.0,-9.175,9.0
中山,3,1,ロイヤルグルーヴ,1868.0,4.0,10662.0,4.0,-2828.0,11.0,9.702,4.0
中山,3,2,ドナミモザ,7129.0,1.0,10662.0,4.0,-7380.0,14.0,10.411,3.0
中山,3,3,モルスリール,-5801.0,13.0,4752.0,7.0,2288.0,4.0,1.239,8.0
中山,3,4,コパノキラキラ,-2566.0,10.0,37463.0,1.0,3256.0,3.0,38.153,1.0
中山,3,5,プラチナリーフ,-443.0,7.0,733.0,9.0,294.0,6.0,0.584,10.0
中山,3,6,ブリッド,3245.0,3.0,-964.0,12.0,1358.0,5.0,3.639,6.0
中山,3,7,スパーキー,-576.0,8.0,-5612.0,15.0,7681.0,2.0,1.493,7.0
中山,3,8,ブルーサンタ,,,11128.0,3.0,-1197.0,9.0,,
中山,3,9,ツイストマインド,-2744.0,11.0,-964.0,12.0,-2629.0,10.0,-6.337,12.0
中山,3,10,セイトゥゴールド,-247.0,6.0,,,,,,
中山,3,11,オレガイチバンイイ,-6144.0,14.0,-1134.0,14.0,8469.0,1.0,1.191,9.0
中山,3,12,ゼットターム,316.0,5.0,4752.0,7.0,294.0,6.0,5.362,5.0
中山,3,13,ボスヒッツ,-7399.0,15.0,19988.0,2.0,-1103.0,8.0,11.486,2.0
中山,3,14,アイビーナツユメ,-4868.0,12.0,212.0,11.0,-3058.0,12.0,-7.714,14.0
中山,3,15,ジェイエルバージ,-1619.0,9.0,667.0,10.0,-6092.0,13.0,-7.044,13.0
中山,3,16,ココル,4809.0,2.0,6312.0,6.0,-11421.0,15.0,-0.3,11.0
中山,4,1,プラチナトレジャー,-1287.0,6.0,1152.0,5.0,3320.0,1.0,3.185,2.0
中山,4,2,メイショウソムリエ,50.0,5.0,140.0,6.0,263.0,3.0,0.453,5.0
中山,4,3,ネビーイーム,588.0,4.0,7495.0,1.0,2382.0,2.0,10.465,1.0
中山,4,4,トゥラッタッタ,644.0,3.0,3683.0,2.0,-2606.0,5.0,1.721,3.0
中山,4,5,コレクテイニア,1266.0,2.0,1671.0,4.0,-2182.0,4.0,0.755,4.0
中山,4,6,アクロスザリバー,1554.0,1.0,2966.0,3.0,-4989.0,6.0,-0.469,6.0
中山,5,1,レックスダミアーニ,6887.0,1.0,,,5554.0,1.0,,
中山,5,2,エバーラスティング,838.0,6.0,-2369.0,8.0,-1726.0,10.0,-3.257,7.0
中山,5,3,ヴァイスリッター,-722.0,8.0,-718.0,7.0,-1355.0,8.0,-2.795,6.0
