場所,R,馬番,馬名,騎手利益度,騎手利益度順位,種牡馬利益度,種牡馬利益度順位,調教師利益度,調教師利益度順位,総合利益度,総合利益度順位
函館,1,1,テイクケア,-1918.0,5.0,,,3892.0,3.0,,
函館,1,2,アルテクィーン,2477.0,2.0,-1517.0,5.0,5837.0,1.0,6.797,1.0
函館,1,3,ヌーンベルク,-2063.0,6.0,-4920.0,6.0,766.0,5.0,-6.217,6.0
函館,1,4,イチゴワタアメ,-941.0,4.0,966.0,4.0,-2942.0,8.0,-2.917,4.0
函館,1,5,トーセンルルド,3514.0,1.0,,,4347.0,2.0,,
函館,1,6,アズライトティアラ,-7166.0,8.0,3696.0,2.0,3503.0,4.0,0.033,3.0
函館,1,7,ショウナンカノア,-365.0,3.0,6955.0,1.0,-2831.0,7.0,3.759,2.0
函館,1,8,ゴートゥービッツン,-22174.0,9.0,-5515.0,7.0,-11239.0,9.0,-38.928,7.0
函館,1,9,アイシテルヨナオミ,-3731.0,7.0,2726.0,3.0,-2226.0,6.0,-3.231,5.0
函館,2,1,ヒメヒオウギ,-10937.0,16.0,-1701.0,6.0,3674.0,3.0,-8.964,11.0
函館,2,2,デイズインザサン,-685.0,10.0,2129.0,3.0,6068.0,1.0,7.512,2.0
函館,2,3,トリニタリオ,2928.0,5.0,6620.0,2.0,-8216.0,15.0,1.332,4.0
函館,2,4,ホウショウリュウ,696.0,7.0,-2308.0,8.0,-3051.0,12.0,-4.663,8.0
函館,2,5,コワンニシタガウ,-5907.0,13.0,-3745.0,10.0,2839.0,4.0,-6.813,10.0
函館,2,6,アウェイクネス,5777.0,2.0,-33.0,4.0,2531.0,5.0,8.275,1.0
函館,2,7,スワトウ,-10769.0,15.0,-7968.0,16.0,-1008.0,8.0,-19.745,15.0
函館,2,8,マイネルディザイア,6531.0,1.0,8677.0,1.0,,,,
函館,2,9,ヴァールザーゲン,1146.0,6.0,-3896.0,12.0,-574.0,7.0,-3.324,6.0
函館,2,10,ボーントゥラブユー,558.0,8.0,-1701.0,6.0,-3349.0,13.0,-4.492,7.0
函館,2,11,タイセイルビー,5028.0,3.0,-6332.0,13.0,4813.0,2.0,3.509,3.0
函館,2,12,メイショウローゼ,-1055.0,11.0,-6710.0,15.0,-2242.0,11.0,-10.007,12.0
函館,2,13,ユマハム,3740.0,4.0,-1613.0,5.0,-1643.0,10.0,0.484,5.0
函館,2,14,ワダツミ,-6325.0,14.0,-3881.0,11.0,-1381.0,9.0,-11.587,13.0
函館,2,15,エイシンリーガル,105.0,9.0,-6467.0,14.0,-6782.0,14.0,-13.144,14.0
函館,2,16,ニシノマルガリート,-2320.0,12.0,-2960.0,9.0,-361.0,6.0,-5.641,9.0
函館,3,1,ハスカップジャム,3571.0,5.0,3881.0,4.0,-4411.0,12.0,3.041,7.0
