場所,R,馬番,馬名,騎手利益度,騎手利益度順位,種牡馬利益度,種牡馬利益度順位,調教師利益度,調教師利益度順位,総合利益度,総合利益度順位
函館,1,1,サンゴート,5777.0,2.0,4747.0,3.0,-9622.0,8.0,0.902,4.0
函館,1,2,ロジクラウン,-5907.0,7.0,-8290.0,7.0,766.0,4.0,-13.431,6.0
函館,1,3,アートオブブライト,6531.0,1.0,6730.0,2.0,-1238.0,6.0,12.023,2.0
函館,1,4,ロードレスポンス,2928.0,4.0,-7850.0,5.0,1905.0,3.0,-3.017,5.0
函館,1,5,レインボースター,3740.0,3.0,13335.0,1.0,2919.0,2.0,19.994,1.0
函館,1,6,イッペイ,2229.0,5.0,,,-82.0,5.0,,
函館,1,7,ハイビスカス,51.0,6.0,-277.0,4.0,3670.0,1.0,3.444,3.0
函館,1,8,ガーシュウィン,-10937.0,8.0,-7850.0,5.0,-3808.0,7.0,-22.595,7.0
函館,2,1,レディリリス,4069.0,2.0,-6723.0,10.0,-701.0,9.0,-3.355,7.0
函館,2,2,メモリーデイズ,-6398.0,10.0,-1098.0,5.0,965.0,5.0,-6.531,11.0
函館,2,3,ジェッディンデデン,4072.0,1.0,14723.0,1.0,1318.0,4.0,20.113,1.0
函館,2,4,ブルーメンフェスト,-717.0,6.0,-5059.0,9.0,-227.0,7.0,-6.003,10.0
函館,2,5,チュラヴェール,1869.0,4.0,4309.0,3.0,-1227.0,10.0,4.951,2.0
函館,2,6,メメボス,-1436.0,8.0,-1617.0,7.0,-1471.0,11.0,-4.524,8.0
函館,2,7,ドリームガッサン,-24480.0,12.0,,,-390.0,8.0,,
函館,2,8,クリーンブーケ,-2659.0,9.0,-3206.0,8.0,4934.0,1.0,-0.931,6.0
函館,2,9,ジャストキュート,-1207.0,7.0,-8123.0,11.0,4039.0,3.0,-5.291,9.0
函館,2,10,コシタンタン,-10456.0,11.0,8815.0,2.0,4091.0,2.0,2.45,3.0
函館,2,11,マーマレードスカイ,1071.0,5.0,1822.0,4.0,-1589.0,12.0,1.304,5.0
函館,2,12,ペイシャクロス,2762.0,3.0,-1311.0,6.0,427.0,6.0,1.878,4.0
函館,3,1,ジャストグレース,-1562.0,9.0,4717.0,5.0,6337.0,1.0,9.492,4.0
函館,3,2,ザンテソーロ,-3524.0,11.0,3621.0,6.0,2500.0,5.0,2.597,5.0
函館,3,3,マーゴットデウス,920.0,2.0,13642.0,3.0,-2298.0,10.0,12.264,3.0
函館,3,4,ウインガネーシャ,3116.0,1.0,-6688.0,10.0,2515.0,4.0,-1.057,8.0
函館,3,5,ハイランダー,-682.0,5.0,-2608.0,8.0,436.0,7.0,-2.854,9.0
函館,3,6,リベンジャー,-1252.0,8.0,19298.0,2.0,,,,
函館,3,7,エトワールブルー,-17134.0,12.0,-8789.0,12.0,-1920.0,9.0,-27.843,11.0
函館,3,8,リバーソニック,-2483.0,10.0,28775.0,1.0,2906.0,3.0,29.198,1.0
