場所,R,馬番,馬名,騎手名,騎手利益度_1,騎手利益度_2,騎手利益度_3,騎手利益度_4,騎手利益度_5,騎手利益度_6,騎手利益度,騎手利益度順位
京都,1,1,ベイストラトラ,高杉吏麒,916.0,1861.0,4010.0,945.0,1622.0,,9354.0,2.0
京都,1,2,ノイエムジーク,岩田望来,-1092.0,136.0,-745.0,-739.0,1444.0,,-996.0,9.0
京都,1,3,スーパージョック,坂井瑠星,44.0,1410.0,2127.0,444.0,1583.0,,5608.0,4.0
京都,1,4,モズシューター,Ｍ．デム,2006.0,1627.0,1080.0,1567.0,2596.0,,8876.0,3.0
京都,1,5,ウエスタンレーヴ,鮫島克駿,2203.0,2077.0,2133.0,2828.0,4053.0,,13294.0,1.0
京都,1,6,グレートジーンズ,菱田裕二,1465.0,144.0,1607.0,520.0,1842.0,,5578.0,5.0
京都,1,7,ブレゲアン,田辺裕信,262.0,425.0,-661.0,212.0,260.0,,498.0,6.0
京都,1,8,エイユーファイヤー,中井裕二,1035.0,-1110.0,764.0,-455.0,-531.0,,-297.0,7.0
京都,1,9,ドウジギリ,松山弘平,-623.0,-163.0,931.0,-349.0,-1083.0,,-1287.0,10.0
京都,1,10,ゴールドプレミアム,幸英明　,2607.0,-1727.0,-1072.0,-672.0,-2336.0,,-3200.0,11.0
京都,1,11,トーアグッドラック,橋木太希,-3081.0,-775.0,-1734.0,-2176.0,-3140.0,,-10906.0,12.0
京都,1,12,アナポリス,古川吉洋,-1078.0,505.0,-1488.0,865.0,412.0,,-784.0,8.0
京都,2,1,キタサンモンドー,松山弘平,-623.0,-163.0,931.0,-349.0,-1083.0,,-1287.0,9.0
京都,2,2,パーフェクト,吉村誠之,718.0,1956.0,1983.0,1911.0,2650.0,,9218.0,1.0
京都,2,3,トルストイ,団野大成,-553.0,-1726.0,3499.0,1736.0,729.0,,3685.0,3.0
京都,2,4,インターステラ,北村友一,-664.0,1113.0,16.0,511.0,1825.0,,2801.0,4.0
京都,2,5,ロロノア,古川吉洋,-1078.0,505.0,-1488.0,865.0,412.0,,-784.0,6.0
京都,2,6,フクキタテーラー,菱田裕二,1465.0,144.0,1607.0,520.0,1842.0,,5578.0,2.0
京都,2,7,ノーザトゥルース,橋木太希,-3081.0,-775.0,-1734.0,-2176.0,-3140.0,,-10906.0,11.0
京都,2,8,リアルサファリ,西村淳也,-295.0,-474.0,-1390.0,-141.0,-942.0,,-3242.0,10.0
京都,2,9,メイショウフソウ,城戸義政,-656.0,-540.0,594.0,1021.0,-1403.0,,-984.0,7.0
京都,2,10,オーレアミスト,岩田望来,-1092.0,136.0,-745.0,-739.0,1444.0,,-996.0,8.0
京都,2,11,トーラスキング,国分優作,2396.0,-345.0,401.0,-1056.0,926.0,,2322.0,5.0
京都,3,1,レネネト,北村友一,-664.0,1113.0,16.0,-119.0,1825.0,,2171.0,6.0
京都,3,2,イモルテル,吉村誠之,718.0,1956.0,1983.0,530.0,2650.0,,7837.0,3.0
京都,3,3,サラサハウナイス,菱田裕二,1465.0,144.0,1607.0,632.0,1842.0,,5690.0,4.0
京都,3,4,ブレイジングスター,橋木太希,-3081.0,-775.0,-1734.0,1421.0,-3140.0,,-7309.0,12.0
京都,3,5,リメンバーヒム,高杉吏麒,916.0,1861.0,4010.0,2079.0,1622.0,,10488.0,2.0
京都,3,6,ビリオネアボーイ,川田将雅,-538.0,-101.0,277.0,-315.0,186.0,,-491.0,8.0
京都,3,7,ダシータピット,西村淳也,-295.0,-474.0,-1390.0,737.0,-942.0,,-2364.0,9.0
京都,3,8,ボーヌロマネ,鮫島克駿,2203.0,2077.0,2133.0,686.0,4053.0,,11152.0,1.0
京都,3,9,メイショウタビズキ,岩田望来,-1092.0,136.0,-745.0,2683.0,1444.0,,2426.0,5.0
京都,3,10,サンジャシント,幸英明　,2607.0,-1727.0,-1072.0,-2596.0,-2336.0,,-5124.0,11.0
京都,3,11,メイショウツクモ,高倉稜　,-465.0,136.0,78.0,296.0,474.0,,519.0,7.0
京都,3,12,エンダードラゴン,武豊　　,-1153.0,-700.0,40.0,-765.0,-1109.0,,-3687.0,10.0
京都,4,1,ボンマティ,幸英明　,2607.0,254.0,-1072.0,-672.0,-2336.0,,-1219.0,13.0
京都,4,2,トゥライトゥーラ,森裕太朗,293.0,11.0,251.0,-123.0,364.0,,796.0,9.0
京都,4,3,ガウラサンダー,国分優作,2396.0,1163.0,401.0,-1056.0,926.0,,3830.0,4.0
京都,4,4,タンテドヴィーヴル,団野大成,-553.0,-24.0,3499.0,1736.0,729.0,,5387.0,3.0
京都,4,5,アサガクル,武豊　　,-1153.0,-384.0,40.0,-777.0,-1109.0,,-3383.0,15.0
京都,4,6,ミナミジュウジセイ,水口優也,2715.0,-204.0,2199.0,805.0,1375.0,,6890.0,2.0
京都,4,7,シャオシンユン,松山弘平,-623.0,-382.0,931.0,-349.0,-1083.0,,-1506.0,14.0
