場所,R,クラス,種別,距離,馬場状態,馬番,馬名,年齢,騎手名,調教師名,脚質傾向,コース複勝率,距離帯複勝率,距離区分,回り,道悪判定,レースレベル,種牡馬名,臨戦過程,距離変遷,推定人気,人気ランク,テン1F_過去,テン1F_過去_ランク,テン1F_前走,テン1F_前走_ランク,テン_T,テン_T_ランク,上がり_T,上がり_T_ランク,前走_評価,前々走_評価,3走前_評価,4走前_評価,5走前_評価
中山,1,未勝利,ダート,1200,良,1,サリードゥ,2歳,津村明秀,鈴木伸尋,先行,,,短距離,右回り,,Lv1 ,ダノンプレミアム,,,2,B,12.3,3.0,12.3,3.0,,,,,B,D,,,
中山,1,未勝利,ダート,1200,良,2,ジンクピリチオン,2歳,原優介,奥平雅士,逃げ,,,短距離,右回り,,Lv1 ,ビッグアーサー,休明初戦,,4,D,12.2,2.0,12.2,2.0,,,,,D,,,,
中山,1,未勝利,ダート,1200,良,3,ポッドエステラ,2歳,佐々木大,伊藤圭三,差し,,,短距離,右回り,,Lv1 ,クリソベリル,休明初戦,距離短縮,6,D,13.0,8.0,13.0,8.0,36.5,2.0,41.2,,C,,,,
中山,1,未勝利,ダート,1200,良,4,ソナタテソーロ,2歳,木幡巧也,牧光二,先行,,,短距離,右回り,,Lv1 ,キセキ,休明初戦,距離短縮,5,D,12.4,4.0,12.4,4.0,,,,,D,D,,,
中山,1,未勝利,ダート,1200,良,5,ルスデルカミーノ,2歳,大野拓弥,杉浦宏昭,先行,0.0,0.0,短距離,右回り,,Lv1 ,ドレフォン,,,3,C,12.0,1.0,12.0,1.0,34.9,1.0,39.7,4.0,C,,,,
中山,1,未勝利,ダート,1200,良,6,カシノカゲマル,2歳,原田和真,蛯名利弘,追込,,,短距離,右回り,,Lv1 ,ケープブランコ,休明初戦,,9,E,12.6,6.0,12.9,7.0,,,,,D,C,C,,
中山,1,未勝利,ダート,1200,良,7,カンタベリートップ,2歳,木幡初也,石栗龍彦,差し,0.0,0.0,短距離,右回り,,Lv1 ,リアルスティール,,,7,D,12.7,7.0,12.7,6.0,36.9,3.0,38.4,3.0,C,,,,
中山,1,未勝利,ダート,1200,良,8,マリノフスキー,2歳,丸田恭介,畠山吉宏,追込,0.0,0.0,短距離,右回り,,Lv1 ,フィレンツェファイア,,,8,E,13.2,9.0,13.2,9.0,38.2,,38.0,2.0,C,,,,
中山,1,未勝利,ダート,1200,良,9,スマートブライド,2歳,ルメール,加藤征弘,先行,,100.0,短距離,右回り,,Lv1 ,ヘニーヒューズ,,,1,A,12.5,5.0,12.5,5.0,36.9,3.0,37.6,1.0,C,,,,
中山,2,未勝利,ダート,1800,良,1,マホロ,2歳,丸田恭介,石栗龍彦,差し,,,中距離,右回り,,Lv1 ,ストラクター,,,6,D,13.4,4.0,13.4,4.0,,,,,B,,,,
中山,2,未勝利,ダート,1800,良,2,ビップルーチェ,2歳,上里直汰,田島俊明,先行,,,中距離,右回り,,Lv1 ,サトノダイヤモンド,,,8,D,12.8,1.0,13.3,3.0,,,,,C,C,D,,
中山,2,未勝利,ダート,1800,良,3,ハイビスカス,2歳,大野拓弥,杉浦宏昭,先行,100.0,50.0,中距離,右回り,,Lv1 ,ウィルテイクチャージ,,,2,B,13.2,2.0,13.2,1.0,36.0,1.0,39.0,3.0,D,C,B,D,
中山,2,未勝利,ダート,1800,良,4,テンユメノオーロラ,2歳,ルメール,平岩大典,先行,,100.0,中距離,右回り,,Lv1 ,ルヴァンスレーヴ,,,1,A,13.4,4.0,13.4,4.0,38.2,4.0,39.0,3.0,C,,,,
中山,2,未勝利,ダート,1800,良,5,ピーエムリンダ,2歳,石神深道,和田正一,追込,,0.0,中距離,右回り,,Lv1 ,クリソベリル,,,7,D,14.0,8.0,14.0,8.0,39.4,,41.6,,C,,,,
中山,2,未勝利,ダート,1800,良,6,ロンドンコーリング,2歳,木幡巧也,牧光二,差し,0.0,,中距離,右回り,,Lv1 ,エスポワールシチー,,,4,D,13.2,2.0,13.2,1.0,36.7,2.0,37.6,1.0,C,,,,
