pattern,threshold,filtered_records,win_recovery_rate,place_recovery_rate,total_win_payout,total_place_payout
パターンA,1,3010,83.0,78.62790697674419,249830.0,236670.0
パターンA,2,2586,82.99303944315545,77.138437741686,214620.0,199480.0
パターンA,3,2201,90.35892776010904,77.76010904134483,198880.0,171150.0
パターンA,4,1879,89.99467802022353,76.35444385311337,169100.0,143470.0
パターンA,5,1614,95.39033457249072,79.78314745972739,153960.0,128770.0
パターンA,6,1366,105.48316251830161,85.03660322108345,144090.0,116160.0
パターンA,7,1140,105.81578947368422,86.7719298245614,120630.0,98920.0
パターンA,8,940,102.37234042553192,85.17021276595744,96230.0,80060.0
パターンA,9,789,107.51584283903675,85.18377693282636,84830.0,67210.0
パターンA,10,664,123.855421686747,92.21385542168676,82240.0,61230.0
パターンA,11,547,76.45338208409507,89.48811700182814,41820.0,48950.0
パターンA,12,464,73.70689655172413,93.72844827586206,34200.0,43490.0
パターンA,13,382,68.87434554973822,93.50785340314135,26310.0,35720.0
パターンA,14,321,66.47975077881621,99.50155763239876,21340.0,31940.0
パターンA,15,273,51.94139194139195,94.57875457875457,14180.0,25820.0
パターンA,16,233,55.06437768240343,98.92703862660944,12830.0,23050.0
パターンA,17,193,58.3419689119171,92.07253886010362,11260.0,17770.0
パターンA,18,164,40.609756097560975,90.97560975609757,6660.0,14920.0
パターンA,19,143,36.71328671328671,96.92307692307692,5250.0,13860.0
パターンA,20,124,37.903225806451616,108.38709677419357,4700.0,13440.0
パターンA,21,108,43.51851851851852,124.44444444444444,4700.0,13440.0
パターンA,22,93,47.956989247311824,140.53763440860214,4460.0,13070.0
パターンA,23,81,49.75308641975308,145.06172839506172,4030.0,11750.0
パターンA,24,70,57.57142857142858,154.2857142857143,4030.0,10800.0
パターンA,25,62,65.0,131.61290322580646,4030.0,8160.0
パターンA,26,59,68.30508474576271,135.93220338983053,4030.0,8020.0
パターンA,27,54,74.62962962962963,145.55555555555554,4030.0,7860.0
パターンA,28,47,79.57446808510639,119.78723404255318,3740.0,5630.0
パターンA,29,41,91.21951219512195,137.31707317073173,3740.0,5630.0
パターンA,30,34,110.00000000000001,165.58823529411762,3740.0,5630.0
パターンA,31,32,95.9375,168.75,3070.0,5400.0
パターンA,32,28,109.64285714285715,166.07142857142858,3070.0,4650.0
パターンA,33,24,127.91666666666666,189.16666666666666,3070.0,4540.0
パターンA,34,19,106.3157894736842,185.26315789473685,2020.0,3520.0
パターンA,35,16,115.625,213.125,1850.0,3410.0
パターンA,36,13,37.69230769230769,225.3846153846154,490.0,2930.0
パターンA,37,13,37.69230769230769,225.3846153846154,490.0,2930.0
パターンA,38,12,40.833333333333336,244.16666666666669,490.0,2930.0
パターンA,39,10,49.0,293.0,490.0,2930.0
パターンA,40,9,54.44444444444444,53.333333333333336,490.0,480.0
パターンA,41,8,0.0,43.75,0.0,350.0
パターンA,42,7,0.0,30.0,0.0,210.0
パターンA,43,5,0.0,42.0,0.0,210.0
パターンA,44,3,0.0,70.0,0.0,210.0
パターンA,45,3,0.0,70.0,0.0,210.0
パターンA,46,3,0.0,70.0,0.0,210.0
パターンA,47,2,0.0,105.0,0.0,210.0
パターンA,48,1,0.0,0.0,0.0,0.0
パターンA,49,1,0.0,0.0,0.0,0.0
パターンA,50,1,0.0,0.0,0.0,0.0
