場所,R,クラス,種別,距離,馬場状態,馬番,馬名,年齢,騎手名,調教師名,距離区分,回り,道悪判定,種牡馬名,臨戦過程,距離変遷
東京,1,未勝利,ダート,1400,良(暫定),1,ヒナノムサシ,2歳,柴田善臣,本間忍,短距離,左回り,,ミッキーアイル,,距離短縮
東京,1,未勝利,ダート,1400,良(暫定),2,ラスエル,2歳,池添謙一,田村康仁,短距離,左回り,,クリソベリル,,距離短縮
東京,1,未勝利,ダート,1400,良(暫定),3,ラインジーク,2歳,レーン,水野貴広,短距離,左回り,,シニスターミニスター,,距離延長
東京,1,未勝利,ダート,1400,良(暫定),4,ニシノゲッパク,2歳,今村聖奈,伊藤伸一,短距離,左回り,,セイウンコウセイ,,
東京,1,未勝利,ダート,1400,良(暫定),5,マイネルテオドロス,2歳,佐々木大,菊川正達,短距離,左回り,,ダノンバラード,,
東京,1,未勝利,ダート,1400,良(暫定),6,ヴィーナスキック,2歳,原優介,青木孝文,短距離,左回り,,キセキ,,距離延長
東京,1,未勝利,ダート,1400,良(暫定),7,レピュニット,2歳,プーシャ,宮田敬介,短距離,左回り,,モズアスコット,,
東京,1,未勝利,ダート,1400,良(暫定),8,ブルーミーティア,2歳,横山武史,鈴木伸尋,短距離,左回り,,モズアスコット,,
東京,1,未勝利,ダート,1400,良(暫定),9,ライトアズフェザー,2歳,長浜鴻緒,千葉直人,短距離,左回り,,アルアイン,休明初戦,距離延長
東京,1,未勝利,ダート,1400,良(暫定),10,ソードスレイプニル,2歳,丹内祐次,鈴木慎太,短距離,左回り,,インディチャンプ,,
東京,1,未勝利,ダート,1400,良(暫定),11,タイセイモノリス,2歳,マーカン,栗田徹,短距離,左回り,,ゴールドドリーム,,距離短縮
東京,1,未勝利,ダート,1400,良(暫定),12,ニシノトマラナイ,2歳,杉原誠人,矢野英一,短距離,左回り,,ドレフォン,休明2走,
東京,1,未勝利,ダート,1400,良(暫定),13,ニンジャトットリ,2歳,木幡育也,松永康利,短距離,左回り,,ミッキーアイル,休明初戦,距離短縮
東京,1,未勝利,ダート,1400,良(暫定),14,シュピラー,2歳,菅原明良,高木登,短距離,左回り,,サンダースノー,休明2走,距離延長
東京,1,未勝利,ダート,1400,良(暫定),15,グリュック,2歳,石神深道,和田正一,短距離,左回り,,Known Agenda,,距離延長
東京,1,未勝利,ダート,1400,良(暫定),16,ブライトラン,2歳,津村明秀,尾形和幸,短距離,左回り,,マインドユアビスケッツ,休明初戦,距離短縮
東京,2,未勝利,芝,1600,良(暫定),1,ジーティージェミル,2歳,遠藤汰月,伊藤伸一,短距離,左回り,,ドリームバレンチノ,,距離延長
東京,2,未勝利,芝,1600,良(暫定),2,レーヌシェーヌ,2歳,柴田大知,畠山吉宏,短距離,左回り,,Kameko,,
東京,2,未勝利,芝,1600,良(暫定),3,ホワイトフレイムス,2歳,Ｃ．デム,吉岡辰弥,短距離,左回り,,ポエティックフレア,休明2走,距離延長
東京,2,未勝利,芝,1600,良(暫定),4,ウインドオブヘヴン,2歳,横山武史,戸田博文,短距離,左回り,,ロードカナロア,,
東京,2,未勝利,芝,1600,良(暫定),5,ツキノマバタキ,2歳,石橋脩,牧光二,短距離,左回り,,エイシンフラッシュ,,
東京,2,未勝利,芝,1600,良(暫定),6,ロジキセキ,2歳,野中悠太,新開幸一,短距離,左回り,,アドマイヤマーズ,休明初戦,距離短縮
東京,2,未勝利,芝,1600,良(暫定),7,フラワーフェアリー,2歳,丹内祐次,畠山吉宏,短距離,左回り,,ヴァンセンヌ,,
東京,2,未勝利,芝,1600,良(暫定),8,アウダーシア,2歳,ルメール,手塚貴久,短距離,左回り,,キズナ,休明初戦,距離短縮
東京,2,未勝利,芝,1600,良(暫定),9,エレクトロン,2歳,嶋田純次,佐藤吉勝,短距離,左回り,,ビーチパトロール,連闘,距離延長
東京,2,未勝利,芝,1600,良(暫定),10,ピルスナー,2歳,原優介,青木孝文,短距離,左回り,,ベンバトル,連闘,
東京,2,未勝利,芝,1600,良(暫定),11,プルヴォワール,2歳,菅原明良,竹内正洋,短距離,左回り,,Dabirsim,,
東京,2,未勝利,芝,1600,良(暫定),12,ベルウッドバイオ,2歳,吉田豊,高橋文雅,短距離,左回り,,ダノンスマッシュ,,
東京,2,未勝利,芝,1600,良(暫定),13,ゴバド,2歳,マーカン,加藤征弘,短距離,左回り,,トーセンラー,,距離延長
東京,3,未勝利,ダート,1600,良(暫定),1,パワポケウォーズ,2歳,上里直汰,大和田成,短距離,左回り,,リアルスティール,,
東京,3,未勝利,ダート,1600,良(暫定),2,エコロガノン,2歳,菅原明良,矢野英一,短距離,左回り,,マジェスティックウォリアー,,
東京,3,未勝利,ダート,1600,良(暫定),3,マイネルオランチア,2歳,プーシャ,小手川準,短距離,左回り,,スクリーンヒーロー,,距離延長
東京,3,未勝利,ダート,1600,良(暫定),4,ワールドブレイヴ,2歳,マーカン,宮田敬介,短距離,左回り,,ワールドプレミア,,距離延長
