場所,R,クラス,種別,距離,馬場状態,レースレベル,馬番,馬名,年齢,騎手名,調教師名,距離区分,回り,道悪判定,種牡馬名,臨戦過程,距離変遷,推定人気,人気ランク,テン1F_過去,テン1F_過去_ランク,テン1F_前走,テン1F_前走_ランク,テン_T,テン_T_ランク,上がり_T,上がり_T_ランク,前走_評価,前々走_評価,3走前_評価,4走前_評価,5走前_評価
函館,1,未勝利,芝,1200,良(暫定),Lv3 ,1,ナオミニオールイン,3歳,北村友一,佐藤悠太,短距離,右回り,,シルバーステート,休明初戦,距離短縮,5,D,12.1,4.0,,,34.4,3.0,35.9,,,C,B,C,
函館,1,未勝利,芝,1200,良(暫定),Lv3 ,2,チョウブク,3歳,石田拓郎,新開幸一,短距離,右回り,,パドトロワ,休明初戦,,8,D,12.7,13.0,12.8,5.0,34.7,7.0,35.0,8.0,C,B,C,,
函館,1,未勝利,芝,1200,良(暫定),Lv3 ,3,ミルトメロディー,3歳,河原田菜,青木孝文,短距離,右回り,,インディチャンプ,連闘,,4,C,12.1,4.0,12.4,1.0,33.5,1.0,34.7,5.0,C,D,D,D,B
函館,1,未勝利,芝,1200,良(暫定),Lv3 ,4,ハッピーローヴァー,3歳,武豊,渡辺薫彦,短距離,右回り,,リアルスティール,,,1,B,12.4,9.0,12.7,4.0,35.3,,34.8,6.0,D,B,D,D,C
函館,1,未勝利,芝,1200,良(暫定),Lv3 ,5,ブルーハーツ,3歳,吉田隼人,勢司和浩,短距離,右回り,,エポカドーロ,,,14,E,13.3,16.0,13.4,12.0,35.5,,34.9,7.0,C,C,C,B,B
函館,1,未勝利,芝,1200,良(暫定),Lv3 ,6,テイクマイハート,3歳,池添謙一,森田直行,短距離,右回り,,サートゥルナーリア,,距離短縮,12,E,12.5,11.0,,,35.4,,36.3,,,D,B,B,
函館,1,未勝利,芝,1200,良(暫定),Lv3 ,7,メーテルリンク,3歳,長浜鴻緒,深山雅史,短距離,右回り,,ブリックスアンドモルタル,休明3走,,13,E,12.1,4.0,13.1,8.0,34.5,4.0,34.3,1.0,C,B,B,B,D
函館,1,未勝利,芝,1200,良(暫定),Lv3 ,8,ブラックジャック,3歳,小林美駒,須貝尚介,短距離,右回り,,ダノンスマッシュ,休明初戦,距離短縮,10,D,12.4,9.0,13.1,8.0,34.5,4.0,34.6,4.0,B,B,C,B,C
函館,1,未勝利,芝,1200,良(暫定),Lv3 ,9,クリオロゴールド,3歳,横山武史,高柳瑞樹,短距離,右回り,,ロードカナロア,休明3走,,3,C,12.0,2.0,12.4,1.0,34.9,,37.5,,C,C,D,D,E
函館,1,未勝利,芝,1200,良(暫定),Lv3 ,10,カンフージョン,3歳,小沢大仁,吉村圭司,短距離,右回り,,Frosted,,距離延長,15,E,12.3,7.0,13.3,11.0,35.3,,37.8,,C,C,B,C,C
函館,1,未勝利,芝,1200,良(暫定),Lv3 ,11,テリオスルミ,3歳,遠藤汰月,高柳瑞樹,短距離,右回り,,サトノダイヤモンド,連闘,,16,E,11.8,1.0,,,34.5,4.0,35.7,,C,B,C,B,B
函館,1,未勝利,芝,1200,良(暫定),Lv3 ,12,ブレッティレディ,3歳,横山琉人,高橋一哉,短距離,右回り,,シュヴァルグラン,,,11,D,12.7,13.0,13.2,10.0,35.4,,35.1,,C,D,C,C,C
函館,1,未勝利,芝,1200,良(暫定),Lv3 ,13,グランフィエルテ,3歳,柴田裕一,吉田直弘,短距離,右回り,,イスラボニータ,,,7,D,12.9,15.0,12.9,6.0,35.6,,39.1,,C,,,,
函館,1,未勝利,芝,1200,良(暫定),Lv3 ,14,ミスチヴマリアンヌ,3歳,佐々木大,小野次郎,短距離,右回り,,ミスチヴィアスアレックス,休明2走,,9,D,12.3,7.0,12.5,3.0,34.7,7.0,34.3,1.0,C,B,D,,
函館,1,未勝利,芝,1200,良(暫定),Lv3 ,15,ウインドトリック,3歳,和田陽希,鈴木孝志,短距離,右回り,,エイシンヒカリ,休明初戦,,6,D,12.0,2.0,13.4,12.0,34.2,2.0,35.3,,C,D,B,C,D
函館,1,未勝利,芝,1200,良(暫定),Lv3 ,16,ブルーエ,3歳,横山和生,田村康仁,短距離,右回り,,トーセンレーヴ,休明3走,,2,B,12.5,11.0,12.9,6.0,35.0,,34.4,3.0,D,D,C,B,
函館,2,未勝利,ダート,1700,良(暫定),Lv2 ,1,ウォータースパウト,3歳,国分恭介,小笠倫弘,中距離,右回り,,ルヴァンスレーヴ,休明3走,距離延長,13,E,12.7,7.0,12.7,4.0,35.8,4.0,38.2,6.0,C,C,C,B,D
函館,2,未勝利,ダート,1700,良(暫定),Lv2 ,2,ティナンヴァランタ,3歳,古川吉洋,森一誠,中距離,右回り,,ニューイヤーズデイ,休明3走,,7,D,13.0,9.0,13.7,13.0,36.7,,38.6,,C,C,B,D,D
函館,2,未勝利,ダート,1700,良(暫定),Lv2 ,3,アンミックス,3歳,斎藤新,高柳大輔,中距離,右回り,,パイロ,連闘,,4,C,13.1,11.0,13.2,9.0,35.7,2.0,38.7,,C,B,C,C,
函館,2,未勝利,ダート,1700,良(暫定),Lv2 ,4,サチノブーケ,3歳,和田陽希,加藤公太,中距離,右回り,,トビーズコーナー,連闘,距離延長,12,E,12.8,8.0,13.0,7.0,36.5,7.0,38.7,,B,C,B,,
函館,2,未勝利,ダート,1700,良(暫定),Lv2 ,5,ダリアフレイバー,3歳,舟山瑠泉,河嶋宏樹,中距離,右回り,,ルヴァンスレーヴ,休明2走,距離短縮,10,E,13.3,14.0,14.0,14.0,38.2,,38.2,6.0,C,D,,,
函館,2,未勝利,ダート,1700,良(暫定),Lv2 ,6,エーデルハイ,3歳,長浜鴻緒,天間昭一,中距離,右回り,,シャンハイボビー,休明3走,距離延長,11,E,12.5,2.0,13.6,11.0,35.7,2.0,37.8,4.0,B,D,C,D,C
函館,2,未勝利,ダート,1700,良(暫定),Lv2 ,7,コイタマチャン,3歳,武豊,宮本博,中距離,右回り,,シャンハイボビー,,距離短縮,1,B,12.6,4.0,12.6,2.0,36.9,,37.7,3.0,D,C,D,C,C
函館,2,未勝利,ダート,1700,良(暫定),Lv2 ,8,ギンケイ,3歳,横山琉人,中川公成,中距離,右回り,,ルヴァンスレーヴ,,距離短縮,3,B,12.6,4.0,12.8,6.0,36.4,6.0,37.1,1.0,C,C,C,C,
函館,2,未勝利,ダート,1700,良(暫定),Lv2 ,9,キトゥンズラスター,3歳,小沢大仁,橋口慎介,中距離,右回り,,モーリス,休明2走,距離短縮,8,D,13.1,11.0,13.1,8.0,,,,,C,B,,,
函館,2,未勝利,ダート,1700,良(暫定),Lv2 ,10,ストリートクイーン,3歳,横山武史,高橋一哉,中距離,右回り,,ルヴァンスレーヴ,,距離延長,5,D,12.5,2.0,12.7,4.0,36.5,7.0,37.5,2.0,C,C,C,C,
