場所,R,クラス,種別,距離,馬場状態,馬番,馬名,年齢,騎手名,調教師名,脚質傾向,コース複勝率,距離帯複勝率,距離区分,回り,道悪判定,レースレベル,種牡馬名,臨戦過程,距離変遷
中山,1,未勝利,ダート,1800,不良,1,グランラティーナ,3歳,上里直汰,加藤士津,追込,,,中距離,右回り,,Lv2 ,488.0,,距離延長
中山,1,未勝利,ダート,1800,不良,2,レディーフランシス,3歳,大野拓弥,和田勇介,追込,,,中距離,右回り,,Lv2 ,440.0,休明2走,
中山,1,未勝利,ダート,1800,不良,3,ラファエラエンゼル,3歳,水沼元輝,武市康男,先行,,,中距離,右回り,,Lv2 ,418.0,休明2走,距離延長
中山,1,未勝利,ダート,1800,不良,4,ハクシンダンス,3歳,遠藤汰月,伊藤伸一,追込,,,中距離,右回り,,Lv2 ,460.0,,距離短縮
中山,1,未勝利,ダート,1800,不良,5,リリカルガンマン,3歳,戸崎圭太,手塚貴久,先行,,,中距離,右回り,,Lv2 ,460.0,休明初戦,距離短縮
中山,1,未勝利,ダート,1800,不良,6,ウインポラリス,3歳,松岡正海,畠山吉宏,追込,,,中距離,右回り,,Lv2 ,426.0,,距離短縮
中山,1,未勝利,ダート,1800,不良,7,スナドケイ,3歳,石田拓郎,尾形和幸,差し,0.0,0.0,中距離,右回り,,Lv2 ,472.0,,距離短縮
中山,1,未勝利,ダート,1800,不良,8,ルージュメアート,3歳,吉田豊,高柳瑞樹,差し,0.0,0.0,中距離,右回り,,Lv2 ,526.0,休明2走,
中山,1,未勝利,ダート,1800,不良,9,フライングキャット,3歳,木幡巧也,牧光二,差し,,,中距離,右回り,,Lv2 ,472.0,,距離延長
中山,1,未勝利,ダート,1800,不良,10,ヤマニンラリアンス,3歳,江田照男,村田一誠,追込,,,中距離,右回り,,Lv2 ,498.0,,距離短縮
中山,1,未勝利,ダート,1800,不良,11,バラダレイナ,3歳,内田博幸,宮田敬介,追込,0.0,0.0,中距離,右回り,,Lv2 ,502.0,,
中山,1,未勝利,ダート,1800,不良,12,メイブロッサム,3歳,原優介,堀内岳志,,,,中距離,右回り,,Lv2 ,444.0,,
中山,1,未勝利,ダート,1800,不良,13,キタノラブミー,3歳,小林脩斗,萱野浩二,追込,0.0,0.0,中距離,右回り,,Lv2 ,498.0,休明3走,
中山,1,未勝利,ダート,1800,不良,14,モーニングマジック,3歳,三浦皇成,武藤善則,差し,33.33333333333333,33.33333333333333,中距離,右回り,,Lv2 ,518.0,,
中山,1,未勝利,ダート,1800,不良,15,ネクストダンサー,3歳,横山武史,伊藤圭三,逃げ,50.0,50.0,中距離,右回り,,Lv2 ,472.0,,距離延長
中山,1,未勝利,ダート,1800,不良,16,ミライヘノハナ,3歳,北村宏司,伊藤大士,差し,,,中距離,右回り,,Lv2 ,442.0,,距離短縮
中山,2,未勝利,ダート,1200,不良,1,サスペンスクィーン,3歳,菅原明良,和田雄二,先行,0.0,0.0,短距離,右回り,,Lv2 ,452.0,,距離短縮
中山,2,未勝利,ダート,1200,不良,2,ガンバレベアー,3歳,松岡正海,千葉直人,先行,,,短距離,右回り,,Lv2 ,470.0,,距離短縮
中山,2,未勝利,ダート,1200,不良,3,ガストフロント,3歳,武藤雅,水野貴広,差し,0.0,0.0,短距離,右回り,,Lv2 ,452.0,休明2走,距離短縮
中山,2,未勝利,ダート,1200,不良,4,ブリッジジェイアイ,3歳,江田照男,村田一誠,,,,短距離,右回り,,Lv2 ,392.0,,
中山,2,未勝利,ダート,1200,不良,5,ミラクルミッキー,3歳,木幡巧也,牧光二,先行,25.0,33.33333333333333,短距離,右回り,,Lv2 ,524.0,,距離短縮
中山,2,未勝利,ダート,1200,不良,6,ミヤマイルス,3歳,長浜鴻緒,伊藤圭三,逃げ,0.0,0.0,短距離,右回り,,Lv2 ,482.0,,距離延長
中山,2,未勝利,ダート,1200,不良,7,ハナナラツボミ,3歳,上里直汰,加藤士津,先行,0.0,0.0,短距離,右回り,,Lv2 ,502.0,,
中山,2,未勝利,ダート,1200,不良,8,グリームスター,3歳,北村宏司,勢司和浩,追込,0.0,0.0,短距離,右回り,,Lv2 ,464.0,,距離短縮
