場所,R,クラス,種別,距離,馬場状態,馬番,馬名,年齢,騎手名,調教師名,脚質傾向,コース複勝率,距離帯複勝率,距離区分,回り,道悪判定,レースレベル,種牡馬名,臨戦過程,距離変遷
函館,1,未勝利,ダート,1000,良,1,リオマダムレッド,2歳,小林美駒,前川恭子,差し,100.0,100.0,短距離,右回り,,Lv2 ,446.0,,
函館,1,未勝利,ダート,1000,良,2,ヴィヒタ,2歳,和田陽希,松山将樹,追込,0.0,0.0,短距離,右回り,,Lv2 ,426.0,連闘,
函館,1,未勝利,ダート,1000,良,3,リアルアルバ,2歳,森田誠也,大橋勇樹,先行,0.0,0.0,短距離,右回り,,Lv2 ,452.0,連闘,
函館,1,未勝利,ダート,1000,良,4,マスキュラー,2歳,松岡正海,高橋一哉,先行,,,短距離,右回り,,Lv2 ,472.0,,距離短縮
函館,1,未勝利,ダート,1000,良,5,ディオスデルマール,2歳,荻野琢真,秋山真一,追込,0.0,0.0,短距離,右回り,,Lv2 ,458.0,,
函館,1,未勝利,ダート,1000,良,6,ウレシイゴサン,2歳,佐々木大,伊藤大士,追込,0.0,0.0,短距離,右回り,,Lv2 ,476.0,,
函館,1,未勝利,ダート,1000,良,7,アイオロステソーロ,2歳,松本大輝,高橋文雅,追込,,,短距離,右回り,,Lv2 ,444.0,,
函館,1,未勝利,ダート,1000,良,8,ダイヤテソーロ,2歳,浜中俊,牧光二,逃げ,,,短距離,右回り,,Lv2 ,432.0,,距離短縮
函館,1,未勝利,ダート,1000,良,9,アパタイトテソーロ,2歳,吉田隼人,畠山吉宏,差し,,,短距離,右回り,,Lv2 ,408.0,,距離短縮
函館,1,未勝利,ダート,1000,良,10,ドナソレイ,2歳,横山武史,伊藤圭三,逃げ,100.0,100.0,短距離,右回り,,Lv2 ,462.0,連闘,
函館,1,未勝利,ダート,1000,良,11,ワイドアルバ,2歳,丹内祐次,藤野健太,先行,0.0,0.0,短距離,右回り,,Lv2 ,474.0,,
函館,1,未勝利,ダート,1000,良,12,トーセンクリステル,2歳,池添謙一,杉浦宏昭,先行,0.0,0.0,短距離,右回り,,Lv2 ,460.0,,
函館,2,未勝利,ダート,1700,良,1,ハッピーウィズユー,3歳,横山武史,小笠倫弘,差し,0.0,0.0,中距離,右回り,,Lv3 ,512.0,,
