場所,R,馬番,馬名,調教師名,調教師利益度_1,調教師利益度_2,調教師利益度_3,調教師利益度_4,調教師利益度_5,調教師利益度_6,調教師利益度_7,調教師利益度_8,調教師利益度,調教師利益度順位
中山,1,1,チッピンガム,金成貴史,800.0,548.0,1519.0,126.0,175.0,449.0,,,3617.0,3.0
中山,1,2,ルリモンハナバチ,小手川準,259.0,-312.0,1019.0,-1187.0,-138.0,-949.0,,,-1308.0,7.0
中山,1,3,ペイシャヴァルスリ,菊川正達,-1256.0,71.0,-1135.0,-352.0,-1450.0,-721.0,,,-4843.0,11.0
中山,1,4,グレコ,加藤和宏,-653.0,-910.0,-1168.0,-91.0,-1062.0,-2031.0,,,-5915.0,15.0
中山,1,5,アンスリウムリリー,鈴木慎太,588.0,882.0,1421.0,1165.0,1696.0,1281.0,,,7033.0,1.0
中山,1,6,パラサイコロジー,新開幸一,-245.0,-329.0,-651.0,-1027.0,-535.0,-367.0,,,-3154.0,10.0
中山,1,7,ラヴィーズドリーム,伊藤伸一,730.0,-1973.0,-1993.0,-2611.0,-775.0,-698.0,,,-7320.0,16.0
中山,1,8,キタノロワーズ,萱野浩二,1058.0,-342.0,-1278.0,-332.0,-555.0,-450.0,,,-1899.0,9.0
中山,1,9,コットンフラワー,松永康利,-650.0,-107.0,202.0,448.0,-542.0,119.0,-166.0,179.0,-517.0,6.0
中山,1,10,ハクシンマルペンサ,蛯名利弘,-668.0,-1588.0,-705.0,223.0,-1358.0,-1183.0,,,-5279.0,12.0
中山,1,11,サトミノマリア,鈴木伸尋,-256.0,264.0,-1367.0,349.0,-605.0,-181.0,,,-1796.0,8.0
中山,1,12,タブロー,矢野英一,-275.0,-456.0,-1147.0,-750.0,-1282.0,-1440.0,,,-5350.0,13.0
中山,1,13,アサクサグレース,戸田博文,550.0,963.0,-353.0,496.0,762.0,-115.0,,,2303.0,5.0
中山,1,14,シスター,勢司和浩,-12.0,-1995.0,-1354.0,-1270.0,-716.0,-126.0,,,-5473.0,14.0
中山,1,15,レトロブーム,西田雄一,635.0,739.0,536.0,-801.0,252.0,-65.0,354.0,773.0,2423.0,4.0
中山,1,16,ミートザターゲット,森一誠　,913.0,908.0,474.0,1443.0,-910.0,2107.0,,,4935.0,2.0
中山,2,1,ニシノブレイゼスト,高木登　,149.0,1384.0,959.0,647.0,1330.0,311.0,38.0,478.0,5296.0,1.0
中山,2,2,アステルリヴェール,嘉藤貴行,-137.0,415.0,476.0,357.0,319.0,574.0,,,2004.0,4.0
中山,2,3,バイオマックス,黒岩陽一,-179.0,-754.0,-373.0,-581.0,-545.0,-509.0,,,-2941.0,8.0
中山,2,4,メイショウコウベ,和田勇介,-461.0,442.0,-420.0,773.0,134.0,-558.0,219.0,-301.0,-172.0,6.0
中山,2,5,タキノボリ,勢司和浩,-12.0,-1995.0,-1354.0,-1270.0,-808.0,-126.0,262.0,-296.0,-5599.0,11.0
中山,2,6,スパーブケン,水野貴広,760.0,-41.0,1066.0,-7.0,1090.0,1207.0,-194.0,-308.0,3573.0,3.0
中山,2,7,トレインザマインド,中舘英二,706.0,-320.0,607.0,-1411.0,-137.0,-76.0,-246.0,-297.0,-1174.0,7.0
中山,2,8,セレブウマザンマイ,青木孝文,568.0,270.0,-599.0,92.0,147.0,1683.0,-217.0,-61.0,1883.0,5.0
中山,2,9,フォルスマジック,菊川正達,-1256.0,71.0,-1135.0,-352.0,-811.0,-721.0,,,-4204.0,10.0
中山,2,10,ミステンザン,和田正一,-32.0,853.0,97.0,1170.0,981.0,1232.0,,,4301.0,2.0
中山,2,11,アスコットロマン,天間昭一,-796.0,-250.0,-1845.0,-1349.0,-484.0,-1438.0,,,-6162.0,12.0
中山,2,12,ピコシー,奥村武　,-493.0,-951.0,-818.0,-691.0,-662.0,-309.0,,,-3924.0,9.0
中山,3,1,オイセサン,鈴木伸尋,-256.0,264.0,-1367.0,349.0,-605.0,-181.0,,,-1796.0,9.0
中山,3,2,キープサインオン,加藤征弘,-552.0,326.0,40.0,313.0,347.0,-1018.0,-586.0,40.0,-1090.0,8.0
中山,3,3,アイアンオバーカム,南田美知,-739.0,-2065.0,-2460.0,-301.0,-3960.0,-1452.0,,,-10977.0,15.0
中山,3,4,ポッドベル,和田勇介,-461.0,442.0,-420.0,773.0,-671.0,-558.0,,,-895.0,6.0
中山,3,5,ダイヤモンドピラー,伊藤圭三,-1387.0,-680.0,919.0,557.0,244.0,-144.0,-983.0,674.0,-800.0,5.0
中山,3,6,マテンロウバディ,久保田貴,-472.0,75.0,-72.0,-284.0,470.0,-668.0,,,-951.0,7.0
中山,3,7,ガトリンテソーロ,菊川正達,-1256.0,71.0,-1135.0,-352.0,-1450.0,-721.0,-1657.0,-138.0,-6638.0,14.0
中山,3,8,エテオクロス,新開幸一,-245.0,-329.0,-651.0,-1027.0,-535.0,-367.0,,,-3154.0,11.0
中山,3,9,ノイシュロス,清水英克,-235.0,929.0,-1236.0,761.0,1.0,1660.0,-781.0,-974.0,125.0,3.0
