場所,R,クラス,種別,距離,馬場状態,馬番,馬名,年齢,騎手名,調教師名,脚質傾向,コース複勝率,距離帯複勝率,距離区分,回り,道悪判定,レースレベル,種牡馬名,臨戦過程,距離変遷,推定人気,人気ランク,テン1F_過去,テン1F_過去_ランク,テン1F_前走,テン1F_前走_ランク,テン_T,テン_T_ランク,上がり_T,上がり_T_ランク,前走_評価,前々走_評価,3走前_評価,4走前_評価,5走前_評価
札幌,1,未勝利,ダート,1700,良,1,ウルヴァリン,2歳,原田和真,伊藤伸一,差し,0.0,0.0,中距離,右回り,,Lv1 ,484.0,,,10,E,12.7,1.0,13.7,9.0,36.8,1.0,38.4,1.0,B,C,,,
札幌,1,未勝利,ダート,1700,良,2,ステイフリー,2歳,舟山瑠泉,高橋義忠,差し,,,中距離,右回り,,Lv1 ,444.0,休明初戦,距離延長,6,D,12.8,2.0,12.8,1.0,,,,,C,B,,,
札幌,1,未勝利,ダート,1700,良,3,ユニゾン,2歳,丹内祐次,菊川正達,追込,0.0,0.0,中距離,右回り,,Lv1 ,450.0,,,2,B,13.2,4.0,13.8,10.0,38.1,4.0,39.3,3.0,D,C,B,,
札幌,1,未勝利,ダート,1700,良,4,ユウトザケンケン,2歳,鮫島克駿,小崎憲,追込,,,中距離,右回り,,Lv1 ,478.0,連闘,距離短縮,5,D,13.2,4.0,13.2,2.0,,,,,B,,,,
札幌,1,未勝利,ダート,1700,良,5,リピース,2歳,小林美駒,前川恭子,先行,100.0,100.0,中距離,右回り,,Lv1 ,422.0,,,1,A,13.2,4.0,13.2,2.0,36.9,2.0,39.2,2.0,D,C,,,
札幌,1,未勝利,ダート,1700,良,6,ジェネチェン,2歳,菱田裕二,角田晃一,追込,,,中距離,右回り,,Lv1 ,438.0,,距離短縮,4,C,13.3,7.0,13.3,4.0,,,,,C,,,,
札幌,1,未勝利,ダート,1700,良,7,ホーリーデイ,2歳,古川吉洋,牧光二,追込,,,中距離,右回り,,Lv1 ,432.0,休明初戦,距離延長,7,D,13.6,10.0,13.6,8.0,,,,,B,,,,
札幌,1,未勝利,ダート,1700,良,8,テンバコウクウ,2歳,松岡正海,柄崎将寿,追込,,,中距離,右回り,,Lv1 ,458.0,休明初戦,距離延長,9,D,13.4,8.0,13.4,5.0,,,,,C,,,,
札幌,1,未勝利,ダート,1700,良,9,ティブロン,2歳,佐々木大,矢嶋大樹,先行,0.0,0.0,中距離,右回り,,Lv1 ,526.0,,,3,C,12.9,3.0,13.4,5.0,37.1,3.0,42.2,4.0,D,B,D,,
札幌,1,未勝利,ダート,1700,良,10,タイガーゲイト,2歳,松本大輝,大和田成,追込,,,中距離,右回り,,Lv1 ,464.0,休明初戦,距離短縮,8,D,13.5,9.0,13.5,7.0,,,,,B,,,,
