場所,R,クラス,種別,距離,馬場状態,馬番,馬名,年齢,騎手名,調教師名,脚質傾向,コース複勝率,距離帯複勝率,距離区分,回り,道悪判定,レースレベル,種牡馬名,臨戦過程,距離変遷,推定人気,人気ランク,テン1F_過去,テン1F_過去_ランク,テン1F_前走,テン1F_前走_ランク,テン_T,テン_T_ランク,上がり_T,上がり_T_ランク,前走_評価,前々走_評価,3走前_評価,4走前_評価,5走前_評価
中山,1,未勝利,ダート,1800,良,1,タイセイモノリス,2歳,横山和生,栗田徹,逃げ,,0.0,中距離,右回り,,Lv2 ,470.0,,距離延長,4,C,12.9,4.0,12.9,3.0,36.7,3.0,38.7,3.0,D,,,,
中山,1,未勝利,ダート,1800,良,2,チャーミングアイ,2歳,小林美駒,菊川正達,差し,0.0,,中距離,右回り,,Lv2 ,460.0,,距離延長,11,E,12.6,2.0,12.6,1.0,36.1,1.0,40.8,,C,,,,
中山,1,未勝利,ダート,1800,良,3,ジーモンスター,2歳,岩田望来,佐藤悠太,先行,,,中距離,右回り,,Lv2 ,506.0,,距離短縮,3,B,13.3,7.0,13.3,7.0,,,,,C,C,,,
中山,1,未勝利,ダート,1800,良,4,ヤマタケボニータ,2歳,原優介,萱野浩二,差し,100.0,100.0,中距離,右回り,,Lv2 ,476.0,,,6,D,13.3,7.0,13.3,7.0,37.4,6.0,39.2,6.0,C,D,,,
中山,1,未勝利,ダート,1800,良,5,ユニゾン,2歳,丹内祐次,菊川正達,追込,,50.0,中距離,右回り,,Lv2 ,456.0,,距離延長,2,B,13.2,5.0,13.2,4.0,37.7,,38.2,2.0,C,D,C,B,
中山,1,未勝利,ダート,1800,良,6,ショウナンタヅナ,2歳,池添謙一,武市康男,差し,0.0,0.0,中距離,右回り,,Lv2 ,462.0,,,8,D,13.5,10.0,13.5,9.0,37.9,,39.7,,C,B,,,
中山,1,未勝利,ダート,1800,良,7,ニシノガウェイン,2歳,内田博幸,稲垣幸雄,差し,,,中距離,右回り,,Lv2 ,444.0,,,10,D,13.7,12.0,13.7,10.0,,,,,B,,,,
中山,1,未勝利,ダート,1800,良,8,ハイライトニング,2歳,戸崎圭太,嘉藤貴行,追込,,,中距離,右回り,,Lv2 ,472.0,,距離短縮,5,C,13.3,7.0,14.3,12.0,38.9,,36.6,1.0,C,C,C,,
中山,1,未勝利,ダート,1800,良,9,タイガーゲイト,2歳,菊沢一樹,大和田成,先行,,0.0,中距離,右回り,,Lv2 ,468.0,休明2走,距離延長,9,D,13.5,10.0,13.7,10.0,38.2,,40.0,,C,B,,,
中山,1,未勝利,ダート,1800,良,10,ルージュノヴァ,2歳,上里直汰,萱野浩二,差し,0.0,,中距離,右回り,,Lv2 ,454.0,,距離延長,12,E,12.8,3.0,12.8,2.0,36.7,3.0,39.6,,B,B,,,
中山,1,未勝利,ダート,1800,良,11,マシン,2歳,団野大成,石坂公一,差し,,,中距離,右回り,,Lv2 ,478.0,,距離延長,7,D,13.2,5.0,13.2,4.0,37.1,5.0,39.0,5.0,C,,,,
中山,1,未勝利,ダート,1800,良,12,リフレックス,2歳,佐々木大,金成貴史,先行,,50.0,中距離,右回り,,Lv2 ,454.0,,距離延長,1,B,12.5,1.0,13.2,4.0,36.3,2.0,38.7,3.0,B,C,C,,
中山,2,未勝利,芝,1200,良,1,リーデレクオーレ,2歳,柴田大知,土田稔,先行,,,短距離,右回り,,Lv2 ,418.0,,距離短縮,7,D,12.8,10.0,12.8,7.0,35.6,7.0,35.9,8.0,E,,,,
中山,2,未勝利,芝,1200,良,2,ケイベエ,2歳,木幡巧也,杉浦宏昭,差し,,0.0,短距離,右回り,,Lv2 ,462.0,連闘,,6,C,11.9,1.0,11.9,1.0,34.5,2.0,36.7,,B,B,B,C,
中山,2,未勝利,芝,1200,良,3,コパノセビリア,2歳,菊沢一樹,土田稔,追込,,0.0,短距離,右回り,,Lv2 ,430.0,休明初戦,,11,D,12.7,9.0,13.2,11.0,36.5,,37.3,,C,D,,,
中山,2,未勝利,芝,1200,良,4,スラッシュコード,2歳,佐々木大,伊藤圭三,差し,,,短距離,右回り,,Lv2 ,462.0,,,10,D,12.8,10.0,12.8,7.0,36.8,,40.5,,C,,,,
中山,2,未勝利,芝,1200,良,5,トラスコンガーデン,2歳,吉田豊,竹内正洋,先行,100.0,50.0,短距離,右回り,,Lv2 ,438.0,,,5,C,12.9,12.0,13.5,14.0,36.0,,34.5,1.0,B,C,,,
中山,2,未勝利,芝,1200,良,6,ステキサプライズ,2歳,横山琉人,粕谷昌央,,,0.0,短距離,右回り,,Lv2 ,418.0,休明初戦,,13,E,,,,,,,,,B,,,,
中山,2,未勝利,芝,1200,良,7,ハッピーラッキー,2歳,丸田恭介,武市康男,先行,,,短距離,右回り,,Lv2 ,456.0,休明2走,,8,D,12.2,3.0,12.2,2.0,35.8,8.0,36.8,,D,B,,,
中山,2,未勝利,芝,1200,良,8,ルディドゥゲンジ,2歳,黛弘人,蛯名利弘,先行,,0.0,短距離,右回り,,Lv2 ,422.0,,,16,E,12.6,6.0,12.6,5.0,35.4,6.0,36.9,,C,,,,
中山,2,未勝利,芝,1200,良,9,カレンデュラ,2歳,嶋田純次,南田美知,先行,,100.0,短距離,右回り,,Lv2 ,422.0,,距離短縮,3,C,12.1,2.0,12.8,7.0,34.2,1.0,35.5,6.0,A,C,C,C,
中山,2,未勝利,芝,1200,良,10,フェイスリフト,2歳,内田博幸,嘉藤貴行,追込,,50.0,短距離,右回り,,Lv2 ,450.0,,距離短縮,4,C,12.9,12.0,14.2,15.0,36.6,,34.5,1.0,B,C,B,,
中山,2,未勝利,芝,1200,良,11,インザライムライト,2歳,石神深道,和田雄二,先行,,,短距離,右回り,,Lv2 ,432.0,,距離短縮,14,E,12.6,6.0,12.6,5.0,35.1,4.0,35.6,7.0,B,B,,,
中山,2,未勝利,芝,1200,良,12,サトノエスケープ,2歳,戸崎圭太,久保田貴,先行,,0.0,短距離,右回り,,Lv2 ,474.0,休明初戦,,2,C,12.5,5.0,12.5,4.0,36.7,,36.3,,B,,,,
中山,2,未勝利,芝,1200,良,13,ダノンルミエール,2歳,三浦皇成,国枝栄,逃げ,100.0,100.0,短距離,右回り,,Lv2 ,458.0,,,1,A,12.4,4.0,12.4,3.0,35.0,3.0,35.3,4.0,D,,,,
中山,2,未勝利,芝,1200,良,14,フォーエバーラブ,2歳,丹内祐次,金成貴史,先行,,,短距離,右回り,,Lv2 ,456.0,,距離短縮,9,D,13.2,14.0,13.2,11.0,35.1,4.0,35.3,4.0,C,B,,,
中山,2,未勝利,芝,1200,良,15,サフィニア,2歳,石橋脩,佐藤吉勝,差し,,0.0,短距離,右回り,,Lv2 ,440.0,休明2走,,15,E,12.6,6.0,13.1,10.0,35.9,,35.0,3.0,C,B,,,
中山,2,未勝利,芝,1200,良,16,ノブピースオブラブ,2歳,岩田望来,小島茂之,追込,,,短距離,右回り,,Lv2 ,456.0,,距離短縮,12,E,13.3,15.0,13.3,13.0,37.1,,37.5,,B,,,,
中山,3,未勝利,芝,2000,良,1,サムシングニュー,2歳,柴田善臣,鹿戸雄一,追込,0.0,,中距離,右回り,,Lv2 ,476.0,,距離延長,10,E,13.3,7.0,13.3,5.0,38.0,7.0,35.0,,C,,,,
中山,3,未勝利,芝,2000,良,2,サバイバルトゥルー,2歳,吉田隼人,和田雄二,追込,0.0,,中距離,右回り,,Lv2 ,436.0,,距離延長,13,E,14.2,16.0,14.2,16.0,39.5,,34.8,8.0,B,,,,
