場所,R,クラス,種別,距離,馬場状態,レースレベル,馬番,馬名,年齢,騎手名,調教師名,距離区分,回り,道悪判定,種牡馬名,臨戦過程,距離変遷,推定人気,人気ランク,テン1F_過去,テン1F_過去_ランク,テン1F_前走,テン1F_前走_ランク,テン_T,テン_T_ランク,上がり_T,上がり_T_ランク,前走_評価,前々走_評価,3走前_評価,4走前_評価,5走前_評価
中山,1,未勝利,障害(直線ダ),2880,良,,1,シルヴァーデューク,5歳以上,小牧加矢,前川恭子,長距離,右回り,,シルバーステート,休明初戦,距離延長,5,D,12.3,3.0,13.0,1.0,37.6,4.0,40.9,5.0,C,C,B,E,B
中山,1,未勝利,障害(直線ダ),2880,良,,2,シュバルツガイスト,5歳以上,伴啓太,国枝栄,長距離,右回り,,キタサンブラック,休明3走,距離延長,11,E,12.0,1.0,13.0,1.0,34.7,1.0,37.9,3.0,C,C,B,C,C
中山,1,未勝利,障害(直線ダ),2880,良,,3,ダスク,5歳以上,井上敏樹,石坂公一,長距離,右回り,,シニスターミニスター,休明初戦,距離短縮,6,D,12.8,9.0,,,37.2,3.0,38.4,4.0,C,B,C,C,C
中山,1,未勝利,障害(直線ダ),2880,良,,4,イーサンバーニング,5歳以上,小野寺祐,藤野健太,長距離,右回り,,ホッコータルマエ,休明初戦,距離延長,8,D,12.6,6.0,14.0,4.0,38.5,5.0,36.1,1.0,C,C,C,C,D
中山,1,未勝利,障害(直線ダ),2880,良,,5,ワカムシャ,3歳,水沼元輝,矢野英一,長距離,右回り,,バゴ,,距離延長,9,D,12.6,6.0,14.0,4.0,35.4,2.0,41.0,,C,C,C,C,E
中山,1,未勝利,障害(直線ダ),2880,良,,6,ゴールデンステップ,4歳,金子光希,和田勇介,長距離,右回り,,ブリックスアンドモルタル,休明2走,距離延長,10,E,12.8,9.0,13.5,3.0,,,,,B,C,E,B,C
中山,1,未勝利,障害(直線ダ),2880,良,,7,ヴラディア,5歳以上,上野翔,小西一男,長距離,右回り,,ラブリーデイ,,距離延長,2,B,13.2,11.0,,,,,,,C,C,C,C,C
中山,1,未勝利,障害(直線ダ),2880,良,,8,スマラグドス,5歳以上,田村太雅,西園正都,長距離,右回り,,ハーツクライ,,,1,B,12.5,4.0,,,,,,,C,C,C,C,C
中山,1,未勝利,障害(直線ダ),2880,良,,9,ユイノコキュウ,4歳,大江原圭,竹内正洋,長距離,右回り,,マジェスティックウォリアー,休明3走,,4,C,12.6,6.0,,,,,,,C,C,C,C,C
中山,1,未勝利,障害(直線ダ),2880,良,,10,スラーヴァ,4歳,坂口智康,高橋文雅,長距離,右回り,,シャンハイボビー,休明3走,,7,D,12.5,4.0,,,38.5,5.0,37.2,2.0,C,C,C,B,
中山,1,未勝利,障害(直線ダ),2880,良,,11,ゴーツウキリシマ,5歳以上,黒岩悠,牧田和弥,長距離,右回り,,ナムラタイタン,,,3,B,12.2,2.0,,,,,,,C,,C,C,C
中山,2,未勝利,芝,1600,良,Lv2 ,1,ブルーアンバー,2歳,黛弘人,高橋文雅,短距離,右回り,,ファインニードル,,,16,E,13.0,7.0,13.0,5.0,36.0,6.0,35.0,5.0,C,B,,,
中山,2,未勝利,芝,1600,良,Lv2 ,2,ホワイトドラゴン,2歳,佐々木大,伊藤大士,短距離,右回り,,ダノンキングリー,休明初戦,距離短縮,2,C,13.0,7.0,13.0,5.0,35.3,1.0,36.8,,D,,,,
中山,2,未勝利,芝,1600,良,Lv2 ,3,ロイヤルスパイア,2歳,戸崎圭太,栗田徹,短距離,右回り,,タワーオブロンドン,休明3走,,1,B,12.7,2.0,12.7,1.0,36.0,6.0,34.8,1.0,C,C,C,,
中山,2,未勝利,芝,1600,良,Lv2 ,4,エマープ,2歳,原優介,青木孝文,短距離,右回り,,リアルインパクト,,,7,D,13.1,9.0,13.1,8.0,35.8,5.0,35.3,8.0,B,,,,
中山,2,未勝利,芝,1600,良,Lv2 ,5,ジーティーソレイユ,2歳,吉田隼人,千葉直人,短距離,右回り,,キタサンブラック,,距離短縮,9,D,13.3,12.0,13.3,11.0,35.7,3.0,35.0,5.0,B,,,,
中山,2,未勝利,芝,1600,良,Lv2 ,6,トラストレガート,2歳,今村聖奈,高橋文雅,短距離,右回り,,マクフィ,休明初戦,,12,E,14.1,16.0,14.1,16.0,38.3,,36.0,,B,,,,
中山,2,未勝利,芝,1600,良,Lv2 ,7,ウインマニフィーク,2歳,丹内祐次,鈴木慎太,短距離,右回り,,ベンバトル,,距離延長,8,D,12.7,2.0,12.7,1.0,35.6,2.0,35.5,,B,,,,
