場所,R,クラス,種別,距離,馬場状態,レースレベル,馬番,馬名,年齢,騎手名,調教師名,距離区分,回り,道悪判定,種牡馬名,臨戦過程,距離変遷,推定人気,人気ランク,テン1F_過去,テン1F_過去_ランク,テン1F_前走,テン1F_前走_ランク,テン_T,テン_T_ランク,上がり_T,上がり_T_ランク,前走_評価,前々走_評価,3走前_評価,4走前_評価,5走前_評価
新潟,1,未勝利,ダート,1800,良(暫定),Lv2 ,1,ロジキセキ,3歳,石田拓郎,新開幸一,中距離,左回り,,アドマイヤマーズ,休明初戦,距離短縮,12,E,13.1,11.0,14.0,13.0,37.9,,40.0,,B,C,D,B,
新潟,1,未勝利,ダート,1800,良(暫定),Lv2 ,2,アルファシーナ,3歳,遠藤汰月,伊藤伸一,中距離,左回り,,アポロケンタッキー,休明初戦,距離短縮,13,E,14.0,15.0,14.6,15.0,38.9,,39.0,5.0,B,C,D,C,C
新潟,1,未勝利,ダート,1800,良(暫定),Lv2 ,3,ウェイヴムーン,3歳,舟山瑠泉,石坂公一,中距離,左回り,,キズナ,,距離短縮,4,C,13.0,9.0,13.4,6.0,36.7,3.0,39.7,,C,C,C,,
新潟,1,未勝利,ダート,1800,良(暫定),Lv2 ,4,ハイロード,3歳,斎藤新,浜田多実,中距離,左回り,,シニスターミニスター,,,3,C,12.4,2.0,13.0,4.0,36.4,2.0,39.1,6.0,C,C,C,,
新潟,1,未勝利,ダート,1800,良(暫定),Lv2 ,5,クレセントゼファー,3歳,小崎綾也,高橋一哉,中距離,左回り,,ベストウォーリア,休明初戦,,7,D,12.8,5.0,12.8,2.0,37.7,,39.9,,D,,,,
新潟,1,未勝利,ダート,1800,良(暫定),Lv2 ,6,ユイアンゴロー,3歳,河原田菜,栗田徹,中距離,左回り,,サトノダイヤモンド,休明2走,,15,E,13.2,12.0,13.9,11.0,38.1,,40.6,,C,C,C,B,B
新潟,1,未勝利,ダート,1800,良(暫定),Lv2 ,7,クリムゾンリーフ,3歳,ゴンサル,加藤士津,中距離,左回り,,クリソベリル,,距離短縮,1,B,13.0,9.0,13.8,10.0,36.9,4.0,37.3,1.0,C,C,C,C,C
新潟,1,未勝利,ダート,1800,良(暫定),Lv2 ,8,ストロングボーイ,3歳,西塚洸二,野中賢二,中距離,左回り,,アスクピーターパン,,距離延長,2,B,13.2,12.0,14.2,14.0,37.6,7.0,37.7,2.0,B,C,C,C,
新潟,1,未勝利,ダート,1800,良(暫定),Lv2 ,9,タイガーゲイト,3歳,菊沢一樹,大和田成,中距離,左回り,,リオンディーズ,休明3走,距離延長,10,E,12.9,6.0,13.5,7.0,36.9,4.0,39.5,7.0,C,C,B,C,C
新潟,1,未勝利,ダート,1800,良(暫定),Lv2 ,10,カモンレイル,3歳,柴田裕一,中竹和也,中距離,左回り,,コントレイル,休明3走,,14,E,12.7,4.0,13.5,7.0,37.7,,39.6,,D,C,C,D,
新潟,1,未勝利,ダート,1800,良(暫定),Lv2 ,11,カリドーラ,3歳,丹内祐次,田村康仁,中距離,左回り,,ブリックスアンドモルタル,,,8,D,12.9,6.0,12.9,3.0,41.1,,41.8,,D,A,B,C,C
新潟,1,未勝利,ダート,1800,良(暫定),Lv2 ,12,ティブロン,3歳,横山琉人,矢嶋大樹,中距離,左回り,,リオンディーズ,,,11,E,12.9,6.0,13.9,11.0,38.8,,38.0,4.0,C,C,B,B,C
新潟,1,未勝利,ダート,1800,良(暫定),Lv2 ,13,ショーンバローズ,3歳,富田暁,松下武士,中距離,左回り,,サンダースノー,休明初戦,,9,D,12.6,3.0,13.3,5.0,37.2,6.0,37.8,3.0,C,C,D,C,C
新潟,1,未勝利,ダート,1800,良(暫定),Lv2 ,14,ダノンクラウディア,3歳,丸山元気,森一誠,中距離,左回り,,ダノンスマッシュ,休明初戦,距離延長,6,D,13.5,14.0,13.5,7.0,,,,,B,,,,
新潟,1,未勝利,ダート,1800,良(暫定),Lv2 ,15,オオアバレ,3歳,浜中俊,奥村豊,中距離,左回り,,ゴールドドリーム,,,5,D,12.1,1.0,12.1,1.0,35.6,1.0,43.4,,B,,,,
新潟,2,未勝利,ダート,1200,良(暫定),Lv2 ,1,アシャカバッハ,3歳,武藤雅,小笠倫弘,短距離,左回り,,モーニン,休明3走,,12,E,12.5,7.0,12.5,3.0,35.6,5.0,38.9,,C,B,C,,
新潟,2,未勝利,ダート,1200,良(暫定),Lv2 ,2,メイショウボンテン,3歳,小沢大仁,飯田祐史,短距離,左回り,,キセキ,休明初戦,,13,E,12.4,6.0,13.0,5.0,36.8,,39.0,,C,C,C,C,B
新潟,2,未勝利,ダート,1200,良(暫定),Lv2 ,3,フィールマイプラン,3歳,荻野極,岩戸孝樹,短距離,左回り,,サトノクラウン,,距離延長,4,C,12.3,3.0,13.1,9.0,35.1,3.0,37.6,3.0,A,C,C,C,B
新潟,2,未勝利,ダート,1200,良(暫定),Lv2 ,4,フローライト,3歳,菊沢一樹,池上昌和,短距離,左回り,,ルヴァンスレーヴ,休明初戦,距離短縮,6,D,12.9,8.0,13.5,12.0,36.1,6.0,38.7,5.0,B,C,C,,
新潟,2,未勝利,ダート,1200,良(暫定),Lv2 ,5,ヨウリンケイジュ,3歳,ゴンサル,吉村圭司,短距離,左回り,,マジェスティックウォリアー,,,5,D,12.9,8.0,13.0,5.0,36.4,,38.7,5.0,C,C,,,
新潟,2,未勝利,ダート,1200,良(暫定),Lv2 ,6,ロードベルファスト,3歳,丹内祐次,畑端省吾,短距離,左回り,,ロジャーバローズ,休明初戦,,8,D,12.3,3.0,13.0,5.0,35.2,4.0,38.8,7.0,B,B,B,C,C
新潟,2,未勝利,ダート,1200,良(暫定),Lv2 ,7,カフェプラウド,3歳,石神深道,柄崎将寿,短距離,左回り,,ドレフォン,,,9,D,,,,,,,,,,,,,
