調教師名,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞,2歳,3歳,4歳,5歳以上,休明初戦,休明2走,休明3走,連闘
浜田多実,-588,1671,-54,659,827,-249,1033,-228,33,-30,-327,153,96,-40,694,1805,-217,-573,-119,-53,-431,788,-36,-325,-251,116,745,568,-555,636,-313,41,309
林徹　　,-518,-716,,-1424,276,-170,-1048,-216,-149,-119,-331,-216,-440,451,-447,-105,0,,53,-275,186,-335,-446,-80,-74,80,-95,-1226,-446,-534,-681,80,-53
平田修　,-994,-751,-440,-1577,-106,-400,-208,-1569,-111,454,186,378,-240,-51,-484,-1938,-166,-862,-318,-414,48,-323,-889,-1290,-224,16,-902,316,-2208,-1259,-383,-295,50
深山雅史,1205,-234,-197,731,189,-183,-1320,1932,211,-37,89,778,-1757,1683,21,147,64,-4,355,-307,-259,665,-49,411,302,570,35,248,-7,1010,662,-56,43
福永祐一,-109,683,,204,183,64,27,479,-473,-120,22,-377,-69,-473,420,-230,1613,163,133,-780,-362,126,612,-722,-186,-374,389,281,348,617,179,181,-79
藤岡健一,-156,319,,62,117,-160,561,-691,308,-217,-261,455,599,-134,-245,-144,-197,-36,247,18,107,-256,496,-1055,-900,84,-26,554,-1222,-9,-218,379,-121
藤沢則雄,-586,-553,-355,-1470,213,-643,-428,-568,168,480,-185,-554,314,-463,-259,-931,-301,-74,878,-529,-547,-291,-1009,-786,-46,-191,-285,168,-1495,-399,-236,-1168,500
藤野健太,146,-1080,-575,-1019,179,-683,-291,-509,-946,474,-108,389,-182,-473,-1299,597,-867,-630,22,-1323,-825,-1027,571,-335,192,-459,-1075,1175,-1591,-1106,-567,-397,-315
藤原英昭,-794,-485,-5,-381,-1030,201,-90,-1233,-221,30,-83,-184,-771,-40,685,-704,-129,-106,-488,183,-424,459,-598,-716,-392,-579,18,-110,-515,-557,190,-132,60
堀宣行　,1080,429,,804,198,753,1040,352,-218,122,64,-80,1183,562,21,-385,-118,272,-67,697,387,255,186,287,-75,536,69,60,979,1091,-48,91,138
堀内岳志,1068,-2150,-123,1104,-1745,-668,303,-1367,114,-407,-260,-1571,1518,-1697,-255,781,-79,342,1044,688,1514,-295,-2071,-290,-158,1316,-1523,-155,-2081,925,-501,-1736,-157
本田優　,-168,-268,-260,-63,-824,126,1188,-2053,-491,-486,-252,390,121,-191,680,-396,15,-738,-199,-104,235,-2456,322,196,-486,-490,-212,82,-620,408,-477,456,-118
本間忍　,-424,-1531,44,-473,-1301,-26,522,-2583,-24,-390,-668,190,38,-1056,-103,-315,24,-754,478,-839,1174,-1127,-1871,85,-54,318,-1656,-1152,140,888,-319,-791,125
牧光二　,770,911,0,473,1614,-358,737,816,103,496,127,553,282,-404,-296,542,127,-134,282,300,496,1408,-542,149,112,960,919,-471,127,-234,-378,-135,-775
牧浦充徳,1174,648,,952,645,638,87,1733,-156,174,876,-88,-150,473,191,268,-86,489,-87,-21,275,219,810,178,203,-278,724,894,188,565,573,461,29
牧田和弥,-800,-180,664,-992,-9,814,1054,-2502,-44,167,-406,10,160,1086,996,-1868,-432,-303,-218,-697,31,-825,-224,420,-160,-136,-1088,701,-83,-911,1619,-178,666
松下武士,-527,-172,-43,443,-1147,6,385,-1022,5,139,-274,-75,-160,99,502,110,-427,-58,-428,-263,-231,-565,324,195,235,-260,-545,77,-85,73,821,-782,-336
松永幹夫,-129,1549,43,695,1121,-6,346,1482,141,-190,722,97,-20,658,190,-77,164,24,85,470,172,834,306,291,35,186,1083,-211,735,801,397,495,-21
松永康利,-493,202,-347,-542,-226,-23,-618,119,-279,451,320,-526,-729,-650,-25,-394,-158,48,-29,179,-657,-107,87,-79,,-1497,448,-280,-50,-166,-396,193,412
松山将樹,-752,-392,-228,-1537,425,-215,900,-1932,596,-790,310,907,-363,-1571,92,-42,0,-527,-19,-227,-24,-33,-972,-257,-79,1079,-1451,-497,-307,687,246,-612,-189
的場均　,-1941,-2673,-407,-3862,-692,-910,-3767,-229,98,113,-407,-708,-2360,-217,-724,-630,-198,-473,521,-1050,-1340,-1357,-2938,-158,0,-1776,-1179,-973,-1870,-3104,-869,-838,-1209
水野貴広,-1655,1066,-121,-1754,1090,14,-1472,1207,361,341,293,-166,-1217,760,-78,876,-170,-983,-682,-308,-1030,-41,192,-216,-315,-638,-7,106,152,-493,-194,356,284
南田美知,-1772,-2460,279,-3960,-843,678,-2212,-1452,123,-165,-1334,62,-1208,-739,-283,480,-79,341,-388,-874,-132,-2065,-1599,199,-79,-2977,-301,-1323,214,861,-479,-330,-240
宮徹　　,1131,-269,-208,496,172,-29,927,-151,247,-12,255,62,245,126,561,-681,-304,-276,787,324,-357,-156,252,-282,-164,225,-569,990,-199,-339,-156,1,-73
宮地貴稔,1082,539,,357,970,,-76,1592,,,-315,,,-79,-76,1788,,,-236,-17,717,610,-103,-79,,1483,-770,-60,919,-544,248,751,
宮田敬介,-511,-842,-136,-836,-580,22,101,-1342,-145,240,-277,-65,152,-913,-326,-369,-14,57,27,-350,-719,-275,-81,-111,-231,-724,-395,23,-344,-241,317,-238,-42
宮本博　,370,1351,-71,-251,1341,387,80,1846,285,-72,-214,640,-9,-28,-316,551,493,280,-59,319,-290,2229,-544,439,84,690,1214,-250,-158,1932,-504,-251,-73
武藤善則,461,-1252,257,-550,-837,435,-1028,268,272,320,538,-519,-478,-761,-208,-500,-75,255,398,-510,-300,-20,-416,-284,-396,-732,352,-426,41,-495,-971,636,60
宗像義忠,952,-512,-54,508,-61,-132,-239,731,-245,441,174,-402,26,8,273,-700,343,-126,-40,156,440,-1103,71,962,343,-104,-486,208,472,564,-741,173,-10
村田一誠,-2078,-3702,500,-3038,-2755,338,-2751,-2769,-179,-17,119,-816,-1667,-2449,-526,-150,0,582,-277,-1257,-1015,-3583,-526,347,-79,-3031,-2164,-22,340,-1462,26,-249,-103
村山明　,1383,248,134,823,979,47,730,807,188,27,645,515,452,142,-200,-275,-170,385,819,-12,358,330,924,161,45,351,-314,1045,300,-390,125,73,448
森一誠　,864,474,-158,-910,2136,52,-968,2107,530,363,312,373,-1140,913,-79,-158,-79,,607,1294,570,908,-592,229,88,474,1443,-774,-388,155,-421,-182,121
森秀行　,449,1009,-202,1615,-145,-121,621,848,-31,-17,361,262,254,745,76,-1561,6,521,-305,772,288,-76,1070,-249,-19,115,-168,1330,148,1941,447,-200,5
森田直行,-18,957,220,1488,106,140,-100,1187,-131,-22,261,279,38,96,-110,1305,-153,678,63,227,353,1291,39,-301,7,-35,945,125,875,470,-240,1125,-31
矢嶋大樹,-1578,-1484,-158,-1048,-1950,-552,-1155,-1344,445,-130,-1286,-1732,-479,667,179,-788,-79,,1350,-752,-481,924,-2795,-709,-79,-576,1832,-1900,-2214,-735,-1666,2142,266
安田翔伍,344,44,-254,413,83,-114,30,442,-38,27,-44,-142,353,159,-223,-669,135,171,95,39,-67,283,-262,486,545,70,-114,-172,236,-271,481,313,-51
矢野英一,-1479,-1147,41,-1282,-968,-493,-880,-1440,-241,-319,-449,-562,145,-275,-516,-345,0,-68,73,-602,-242,-456,-1263,-473,0,-430,-750,-1054,-277,-1038,-669,-245,-39
矢作芳人,-340,1034,0,1247,-356,-215,-191,818,-138,424,115,-162,162,250,-23,332,50,-239,-105,593,22,140,287,786,80,467,71,-191,-295,-616,-593,564,104
吉岡辰弥,316,573,-77,422,469,64,421,544,-432,-142,60,203,50,-445,69,1121,-160,35,722,189,-61,491,970,-525,-132,-43,1209,-398,8,-477,877,73,-120
吉田直弘,-711,522,0,493,-405,-245,-152,120,-352,6,19,74,350,176,-257,357,150,-337,-372,-297,248,-648,-68,64,34,144,67,430,-1231,191,398,-397,-183
吉村圭司,988,985,-14,1938,-372,164,252,1824,236,113,376,61,199,21,-37,1213,-21,237,254,660,627,35,120,674,823,396,911,340,89,458,-136,105,-111
和田正一,1673,97,-59,1253,981,-79,644,1232,215,301,353,128,702,-32,-57,228,0,620,313,397,-194,853,811,4,76,340,1170,210,218,-602,886,777,0
和田雄二,-79,-2355,96,-1818,-675,-101,-2225,-731,263,-347,327,-544,-1677,147,-84,-467,-11,-805,-238,-423,982,161,-2692,-260,0,-365,646,-1621,-998,-728,-809,-82,-709
和田勇介,-107,-420,-11,-671,134,65,-9,-558,21,-70,107,601,-397,-461,-331,100,5,-390,-111,-301,-24,442,-890,-87,-2,-415,773,-536,-360,-435,219,89,-75
渡辺薫彦,897,-690,30,-444,552,105,-313,660,-253,-29,581,-94,1,-68,-237,-507,129,228,32,-246,382,-605,860,-221,-181,-201,-250,10,1180,33,195,462,-126
