調教師名,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞,2歳,3歳,4歳,5歳以上,休明初戦,休明2走,休明3走,連闘
伊藤圭三,-816,919,-271,244,-600,211,-71,-144,709,673,-484,-355,-147,-1387,59,12,69,-107,-186,674,-235,-680,1153,-406,-172,-742,557,355,-114,-983,-67,485,491
伊藤伸一,34,-1993,198,-775,-876,-14,-914,-698,-255,-48,-438,-339,-1000,730,-188,-236,0,389,-211,-869,-249,-1973,681,-172,227,-82,-2611,98,-352,-502,-461,-1215,-63
伊藤大士,-1071,-1063,0,-1213,-1124,41,-999,-926,-51,681,-342,-285,-1181,-1154,288,-701,-80,471,-199,-125,-108,-722,-765,-427,5,-540,-840,-1040,-182,-318,-285,-67,404
稲垣幸雄,61,1550,0,852,606,58,940,635,-661,403,-426,23,696,1099,64,-158,0,347,151,372,69,257,1108,-135,188,432,761,271,-580,689,451,63,205
岩戸孝樹,-1964,-991,134,-1558,-1395,145,-750,-2043,-165,-218,-601,-263,-923,-560,263,131,34,17,-400,31,-712,-1774,-198,303,-10,-748,-1368,-145,-192,-274,-404,-224,40
上原博之,-40,-279,150,-492,-296,306,-493,268,104,148,63,-632,24,-93,-185,62,-40,739,43,335,222,-597,-93,61,42,-395,-19,-315,909,169,-252,-44,390
上原佑紀,1702,729,,1473,534,408,-275,2645,-429,726,813,-716,359,828,433,1545,111,-774,143,453,159,-364,2171,-378,-455,-99,247,1594,371,1910,-817,536,158
上村洋行,1583,197,0,-65,2047,-128,422,1241,-54,56,2,65,17,1,234,853,334,-73,690,303,-234,-105,1112,705,496,-215,844,821,326,1013,368,248,-38
梅田智之,-505,-1800,0,-626,-1814,33,-778,-1106,285,45,-204,-290,-200,-215,-342,-516,-396,-233,-491,-466,-306,-462,-1111,-171,-56,-329,-782,-409,-946,731,-1055,359,-17
蛯名利弘,-3082,-705,-252,-1358,-1311,-468,-1774,-1183,163,-185,-636,352,-2681,-668,-491,-394,-86,-221,-255,-113,-502,-1588,-628,24,0,-3347,223,-88,-1318,-1085,-525,166,63
蛯名正義,-298,-182,-4,451,-533,-312,-739,428,529,-121,258,107,-208,-104,-541,-26,0,-154,-308,-273,-172,1896,-1277,-589,-177,730,-170,-681,-430,-696,-356,-174,342
大久保龍,-876,172,-318,-804,-163,86,-254,-330,-260,-107,-61,68,-363,51,-91,468,-126,-245,-111,-318,331,-842,-87,118,488,-307,-381,573,-863,-349,43,-187,-138
大竹正博,-659,-562,521,-520,-453,-23,-152,-1188,0,98,-409,5,148,-210,-332,-906,-118,103,-776,-178,399,641,-2149,-150,-537,61,-299,-1239,-67,-384,-413,181,-76
大根田裕,-1134,2479,-41,486,1281,-142,295,1601,-123,404,-178,87,-79,0,284,1742,160,224,-303,1072,624,1228,243,-392,-97,1318,739,-139,735,-186,-522,1,-530
大橋勇樹,-41,226,-57,-747,822,-67,-720,1128,312,314,-35,43,-394,94,-578,-2052,290,267,-40,214,154,684,-336,-1122,-248,52,1673,-301,-1801,-476,699,-357,-580
大和田成,462,991,-28,2189,-594,-219,3217,-1485,96,128,-99,642,2087,-1150,176,-266,-29,-284,-78,316,141,1366,444,-74,180,359,961,294,-521,-872,-193,-102,222
小笠倫弘,-303,-35,-435,414,-1094,-159,-106,-134,49,307,265,541,-629,-405,-270,-361,-40,-330,-250,162,212,-993,-21,-133,-128,83,-1082,-360,627,-25,-71,-322,-360
岡田稲男,-230,745,157,286,143,274,506,-138,-22,-140,92,739,74,200,-127,692,-265,-267,323,-473,136,58,-51,391,172,-516,419,96,723,-486,957,196,-74
尾形和幸,410,-1767,234,-1436,381,-46,-963,-596,8,232,-210,-691,88,-323,-172,31,76,-772,-164,-662,-295,-840,22,73,-33,-719,-605,11,187,899,111,-124,-523
緒方努　,-3102,-1330,138,-827,-3474,-9,-2837,-1582,-237,-223,509,-375,-1340,-35,-1380,-3603,579,83,-1504,-71,-759,-1134,-1416,-788,-79,-1819,-105,-738,-1542,-1925,-319,-1392,15
奥平雅士,722,-503,-174,46,193,-283,-1497,1552,620,149,606,-93,-1269,257,-261,28,-79,59,272,-764,480,-334,-209,-104,38,386,-423,153,-471,-683,374,24,-14
奥村武　,206,-818,-26,173,-662,-351,-349,-309,509,11,-40,-90,-68,-493,-435,4,-131,-115,-47,-751,63,-951,-20,218,294,38,-691,409,-1199,-499,168,-105,-68
奥村豊　,992,430,210,882,541,347,33,1608,288,-37,259,-48,-342,270,408,2017,-35,335,351,277,772,711,-15,438,134,979,319,204,188,769,229,-28,359
小椋研介,-3643,-1498,-493,-2200,-2678,-986,-396,-5043,-788,-552,-1103,309,785,-158,-1338,-3464,552,70,-1261,195,-174,-2652,-2428,35,-79,-1003,-2190,-882,-1593,-1636,-1026,-254,-394
小栗実　,1228,141,384,336,1023,393,-143,1727,601,654,-394,-34,-150,247,212,497,-332,167,-449,192,-444,2239,-683,127,228,712,422,-214,286,381,1283,-458,297
尾関知人,-963,-763,107,-2224,-42,251,-1592,-109,-136,-16,567,-245,-853,-241,-614,-222,137,-346,-333,-47,-657,-914,-485,111,143,-553,-1465,129,127,463,-108,-429,23
音無秀孝,-2227,-354,-119,-1579,-875,-312,-875,-1841,-409,203,-88,-166,-732,-322,-249,-412,-208,-597,-232,-278,-521,-260,-1083,-190,-85,-190,-1320,319,-2138,-905,93,-583,-39
小野次郎,1372,-356,-236,49,549,-124,-182,1266,477,-364,-473,-35,-609,-91,244,-41,0,1590,702,-239,-228,-341,899,365,403,-1282,1329,219,-270,266,44,238,-30
粕谷昌央,-1578,-863,741,480,-3778,768,-1299,-1213,-105,-162,-1189,-326,84,396,-901,196,0,69,-82,186,-9,-201,-2432,48,-79,-255,-625,-162,-683,-1749,1316,644,-32
加藤和宏,-1045,-1168,-379,-1062,-1040,-332,-132,-2031,-82,-634,-640,-506,-390,-653,191,95,0,321,-329,105,-783,-910,-593,-186,-236,-390,-91,-610,-1440,-861,28,384,-13
加藤士津,-396,637,-535,-286,562,-220,-314,-541,-675,-120,-419,-437,257,1659,-181,-784,-8,62,208,-109,131,-612,348,-28,100,280,-1271,506,272,-4,130,79,-73
嘉藤貴行,429,476,-176,552,319,-196,205,574,467,38,157,-441,678,-137,60,-552,0,256,170,573,-202,415,59,-189,-158,-322,357,411,-8,628,-209,284,130
加藤征弘,-426,40,-21,347,-575,-238,534,-1018,16,-77,-691,-369,789,-552,-28,304,-81,-73,-70,40,-102,326,-362,-354,-240,-19,313,-134,-543,538,-586,76,-137
金成貴史,-651,1519,-41,175,226,-103,19,449,-327,326,-359,-404,-97,800,244,317,-84,-435,-191,521,12,548,-169,-729,-338,398,126,761,-996,454,-121,-66,13
