騎手名,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞
秋山稔樹,101,1621,,819,1121,120,730,1410,33,-4,340,569,-93,76,697,450,15,348,1360,-183,87,651,1156,59,960
五十嵐雄,,-237,17,-79,-158,17,-79,-158,,,-17,149,52,235,-47,-25,0,-371,,-158,-79,-302,,389,
池添謙一,121,-228,,-616,406,0,542,-744,242,-392,0,-34,499,-217,422,270,-9,0,91,-786,154,149,-409,-1055,-940
石神深一,236,-158,-1334,476,-79,-1375,126,-2,,,-13,-259,-231,-324,306,-184,-33,-403,-158,0,,-851,120,-502,
石神深道,-2027,-3589,,-2057,-3918,-711,-4525,-2181,,-158,-1646,-1656,-533,-377,-1738,,,,105,419,-1580,-455,-3264,-79,
石川裕紀,-196,-98,,-265,88,-147,-710,274,0,0,-1205,-666,-75,1580,15,297,0,0,-60,-730,-248,-560,-129,0,193
石田拓郎,-2879,-675,,-2815,-677,715,-1161,-1195,,-158,1536,-352,-620,-3555,-589,,,536,-632,-329,-1379,980,-1759,-79,
石橋脩　,-2893,1848,,1273,-1825,-505,132,-1116,,,-474,1619,-1295,-436,0,,-84,,-471,922,-382,-366,697,-546,-140
泉谷楓真,323,-139,,-42,247,-6,-42,353,0,0,525,-87,0,-79,247,-2225,12,678,60,548,-181,-365,460,-189,-131
伊藤工真,-724,-185,0,140,-901,-68,-69,-573,-91,0,-663,30,-378,-30,241,0,0,0,-131,261,-474,31,-483,421,85
井上敏樹,0,-208,-202,-79,-22,-151,-25,-234,0,0,-161,349,-120,-296,-158,71,-79,-170,0,0,-79,-801,0,466,
今村聖奈,-920,-1053,,-913,-874,-64,-20,-2239,0,-1343,546,-84,0,117,100,878,-1291,-37,-161,-728,-122,-1511,-457,0,-36
岩田望来,2392,-745,,2683,-739,-115,345,1444,0,,-87,0,-472,594,476,-1092,564,0,-72,-657,904,136,310,-229,-425
岩田康誠,-815,-239,,-1325,447,-265,-1101,-66,109,-471,-13,-590,-475,38,-140,114,237,-136,-246,21,-342,-933,-406,864,819
岩部純二,-878,-1828,,-2020,-1022,0,-2287,-594,,,-512,-978,-1184,-359,0,,,0,32,-350,-467,-1282,-776,-79,0
上野翔　,-79,0,853,0,-79,851,0,-79,,,22,509,131,178,77,-379,-1,234,0,0,,974,0,-197,
内田博幸,-1699,-1314,,-146,-3480,637,-1360,-1358,0,-78,-584,-980,-421,-617,-23,-474,0,0,171,-1011,-708,-558,-1811,139,143
江田照男,-900,-1634,,-1472,-1190,-17,-2285,-443,0,,-711,843,-1844,20,291,0,0,-79,121,-735,-809,1213,-2232,-185,0
江田勇亮,-79,0,59,-79,0,59,-79,,,,-153,56,157,231,87,-316,0,-17,,,,-371,-79,517,
大江原圭,0,0,-900,0,0,-900,0,,,,-186,-490,-118,-24,-280,170,0,69,,0,,-420,0,-473,
大久保友,-71,-41,,-104,41,0,0,-63,0,0,0,0,,0,0,-11,0,0,0,0,-129,4,0,,
大野拓弥,1845,-1332,,445,378,-265,-334,485,-297,1174,129,714,-746,-410,297,0,0,460,-481,-124,42,-593,-369,391,-62
岡田祥嗣,365,-86,,-173,411,139,-76,623,,,0,98,-126,0,-49,202,281,6,-158,-26,23,448,-41,-79,0
荻野極　,-679,250,,1835,-1798,-488,976,-1724,0,0,-868,452,-396,1471,602,-603,-111,-752,-203,-528,26,-421,-73,-78,-42
荻野琢真,1251,326,,2136,52,-316,-22,1665,-55,466,0,0,459,-237,-76,1700,-260,161,16,164,-242,1474,203,-398,-158
小沢大仁,-2422,-1561,,-6122,1133,482,-5064,1298,0,0,671,-2660,-313,0,-2681,140,-165,2531,257,182,-635,-923,-1856,-1027,-47
小野寺祐,-79,0,-121,0,-79,-121,0,-79,,,96,-77,87,-188,-7,507,-46,-231,,0,,-557,-79,507,0
加藤祥太,-400,-192,,-459,-233,0,-119,-391,0,0,578,-93,-79,0,-89,-647,-60,-268,-136,142,-200,-90,-343,0,0
金子光希,,,396,,,396,,,,,543,469,-211,-113,-26,0,0,-50,,,,227,,361,
