種牡馬名,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,2歳,3歳,4歳,5歳以上,距離短縮,距離延長
American Pharoah,-114,507,-157,660,-292,-236,109,234,291,131,96,-269,17,146,385,-56,-40,-164,-19,331,-170,444,-230,-66,-117,201,379,-227,122,14
Arrogate,-91,-1,,82,-93,18,233,-349,-157,-157,-79,30,202,-80,45,-193,1,-50,57,1,15,-283,127,37,0,-61,156,-1102,53,-9
Cajun Breeze,,95,,95,,,3,87,,,23,69,,-20,0,138,-79,,,17,0,-8,161,,0,121,,,159,82
Curlin,87,181,0,-4,231,89,66,121,-40,9,-8,75,56,30,-21,433,-111,-39,0,108,49,30,-84,-183,0,435,-112,-146,-27,59
Dark Angel,553,-107,,526,-144,,71,385,76,93,8,242,-135,255,4,-240,-30,77,165,-118,13,78,35,565,-120,222,-198,721,-223,186
Frankel,348,-587,0,-290,308,-86,61,-170,40,33,148,255,-267,-244,69,-124,-39,-119,-1,11,-58,51,-186,-296,13,-65,334,-327,-117,163
Frosted,445,25,,583,0,,201,31,,0,-157,227,-69,0,89,-30,30,-40,-114,-153,-22,5,204,195,-7,-50,0,122,457,-231
Gun Runner,-81,275,,172,0,-79,61,127,-70,-79,-204,-52,272,443,-87,-284,84,77,-12,292,-103,377,-109,2,-92,168,47,627,487,-18
Iffraaj,22,-30,,-66,0,,-38,-146,,,0,0,-2,-50,0,-117,-79,36,176,0,-58,76,-103,0,-76,20,0,,-24,0
Into Mischief,-380,480,-169,502,-566,-23,351,-136,-61,-25,48,-16,69,38,203,-457,-25,96,-88,491,71,213,-37,-225,13,186,-44,-84,355,-174
Invincible Spirit,33,-55,,-12,,,59,-122,92,88,-79,-53,7,45,61,-339,47,0,59,0,-16,-96,61,-98,23,-348,0,75,266,-28
