,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞
2024,30.0,85.0,,76.0,39.0,,46.0,69.0,,,5.0,7.0,1.0,,38.0,39.0,16.0,9.0,7.0,27.0,2.0,62.0,51.0,,
2025,87.0,94.0,,106.0,72.0,3.0,49.0,132.0,48.0,17.0,9.0,9.0,12.0,,28.0,15.0,29.0,14.0,29.0,33.0,5.0,108.0,67.0,,1.0
