場所,R,馬番,馬名,調教師名,調教師妙味度_1,調教師妙味度_2,調教師妙味度_3,調教師妙味度_4,調教師妙味度_5,調教師妙味度_6,調教師妙味度_7,調教師妙味度_8,調教師妙味度,調教師妙味度順位
福島,1,1,オースミストロング,高橋亮　,86.0,100.0,95.0,98.0,108.0,103.0,,,98.333,9.0
福島,1,2,エイシンヤタガラス,渡辺薫彦,145.0,94.0,94.0,98.0,105.0,103.0,100.0,,105.571,3.0
福島,1,3,ベネディクティオ,加藤士津,87.0,94.0,104.0,90.0,106.0,104.0,,,97.5,11.0
福島,1,4,キャバリエクエスト,大和田成,95.0,113.0,107.0,108.0,96.0,89.0,85.0,,99.0,6.0
福島,1,5,タナハシ,伊坂重信,85.0,95.0,88.0,87.0,84.0,87.0,71.0,,85.286,15.0
福島,1,6,アルテボーイ,斎藤誠　,95.0,109.0,103.0,103.0,90.0,101.0,,,100.167,5.0
福島,1,7,カンプウ,奥村豊　,122.0,108.0,103.0,103.0,104.0,107.0,,,107.833,2.0
福島,1,8,グリスタン,高橋文雅,93.0,95.0,100.0,90.0,87.0,102.0,83.0,,92.857,13.0
福島,1,9,ノボリディアマン,緒方努　,151.0,89.0,91.0,99.0,72.0,92.0,,,99.0,6.0
福島,1,10,コパノディラン,梅田智之,89.0,94.0,88.0,91.0,88.0,95.0,111.0,,93.714,12.0
福島,1,11,スズノソレイユ,平田修　,113.0,96.0,95.0,91.0,99.0,92.0,,,97.667,10.0
福島,1,12,ビービーバザーク,武幸四郎,67.0,109.0,110.0,107.0,115.0,107.0,,,102.5,4.0
福島,1,13,ヴォルケシェッツェ,伊坂重信,85.0,95.0,88.0,87.0,84.0,87.0,,,87.667,14.0
福島,1,14,コンストラクション,和田正一,118.0,110.0,101.0,115.0,118.0,113.0,,,112.5,1.0
福島,1,15,セラード,佐藤吉勝,136.0,88.0,107.0,82.0,90.0,90.0,,,98.833,8.0
福島,2,1,ビアンカネーヴェ,北出成人,114.0,108.0,113.0,111.0,114.0,108.0,101.0,,109.857,1.0
福島,2,2,ハリウッドメモリー,長谷川浩,110.0,95.0,109.0,98.0,107.0,102.0,,,103.5,5.0
