場所,R,クラス,種別,距離,馬場状態,レースレベル,馬番,馬名,年齢,騎手名,調教師名,距離区分,回り,道悪判定,種牡馬名,臨戦過程,距離変遷,推定人気,人気ランク,テン1F_過去,テン1F_過去_ランク,テン1F_前走,テン1F_前走_ランク,テン_T,テン_T_ランク,上がり_T,上がり_T_ランク,前走_評価,前々走_評価,3走前_評価,4走前_評価,5走前_評価
福島,1,未勝利,ダート,1150,良(暫定),Lv2 ,1,ビップレオン,2歳,菊沢一樹,田島俊明,短距離,右回り,,サンダースノー,休明2走,距離短縮,14,E,12.6,10.0,12.6,5.0,35.1,2.0,46.3,,C,C,D,,
福島,1,未勝利,ダート,1150,良(暫定),Lv2 ,2,ファンシーフリル,2歳,秋山稔樹,蛯名利弘,短距離,右回り,,フォーウィールドライブ,連闘,,5,C,11.6,1.0,12.8,8.0,34.5,1.0,38.2,4.0,C,C,B,D,C
福島,1,未勝利,ダート,1150,良(暫定),Lv2 ,3,エレクトロン,2歳,嶋田純次,佐藤吉勝,短距離,右回り,,ビーチパトロール,,距離短縮,10,D,12.3,6.0,13.6,15.0,,,,,B,B,D,C,B
福島,1,未勝利,ダート,1150,良(暫定),Lv2 ,4,チュラヴェール,2歳,丹内祐次,松山将樹,短距離,右回り,,ホッコータルマエ,休明初戦,距離短縮,3,C,12.1,3.0,12.1,1.0,35.3,3.0,38.0,3.0,C,C,C,,
福島,1,未勝利,ダート,1150,良(暫定),Lv2 ,5,リケアフェデリーニ,2歳,原田和真,蛯名利弘,短距離,右回り,,カリフォルニアクローム,,距離短縮,12,E,13.2,13.0,13.2,10.0,,,,,B,,,,
福島,1,未勝利,ダート,1150,良(暫定),Lv2 ,6,サトミノアカリ,2歳,横山武史,鈴木伸尋,短距離,右回り,,シャンハイボビー,,距離短縮,6,D,11.7,2.0,13.4,13.0,35.6,6.0,39.0,,B,C,D,,
福島,1,未勝利,ダート,1150,良(暫定),Lv2 ,7,レオレコメンド,2歳,横山琉人,牧光二,短距離,右回り,,エピカリス,,距離短縮,16,E,13.6,16.0,13.6,15.0,37.2,,40.7,,D,,,,
福島,1,未勝利,ダート,1150,良(暫定),Lv2 ,8,ジェム,2歳,斎藤新,杉山佳明,短距離,右回り,,ブルドッグボス,休明3走,距離短縮,11,E,12.4,8.0,13.3,12.0,35.3,3.0,38.4,6.0,C,D,C,,
福島,1,未勝利,ダート,1150,良(暫定),Lv2 ,9,イッツユー,2歳,古川奈穂,尾形和幸,短距離,右回り,,ダノンスマッシュ,,距離短縮,15,E,13.2,13.0,13.2,10.0,,,,,B,,,,
福島,1,未勝利,ダート,1150,良(暫定),Lv2 ,10,タイセイギガース,2歳,水沼元輝,伊藤圭三,短距離,右回り,,セイウンコウセイ,,距離短縮,13,E,13.4,15.0,13.4,13.0,36.7,,42.8,,D,,,,
