場所,R,クラス,種別,距離,馬場状態,馬番,馬名,年齢,騎手名,調教師名,脚質傾向,コース複勝率,距離帯複勝率,距離区分,回り,道悪判定,レースレベル,種牡馬名,臨戦過程,距離変遷
中山,1,未勝利,ダート,1800,稍重,1,キタノラブミー,3歳,小林脩斗,萱野浩二,追込,0.0,0.0,中距離,右回り,ダ道悪,Lv2 ,500,,
中山,1,未勝利,ダート,1800,稍重,2,ノースグロリア,3歳,上里直汰,加藤士津,差し,,0.0,中距離,右回り,ダ道悪,Lv2 ,508,休明初戦,
中山,1,未勝利,ダート,1800,稍重,3,フォアファン,3歳,原田和真,松山将樹,追込,0.0,0.0,中距離,右回り,ダ道悪,Lv2 ,484,,
中山,1,未勝利,ダート,1800,稍重,4,ロードオブドリーム,3歳,菊沢一樹,金成貴史,,,,中距離,右回り,ダ道悪,Lv2 ,526,,
中山,1,未勝利,ダート,1800,稍重,5,トライゴーニック,3歳,荻野極,池上昌和,差し,,,中距離,右回り,ダ道悪,Lv2 ,474,休明初戦,距離短縮
中山,1,未勝利,ダート,1800,稍重,6,ホークライト,3歳,内田博幸,中舘英二,追込,100.0,50.0,中距離,右回り,ダ道悪,Lv2 ,482,休明3走,
中山,1,未勝利,ダート,1800,稍重,7,トルーティクス,3歳,吉田豊,尾関知人,追込,,,中距離,右回り,ダ道悪,Lv2 ,484,,距離延長
中山,1,未勝利,ダート,1800,稍重,8,スーパーチャージ,3歳,武藤雅,戸田博文,追込,0.0,0.0,中距離,右回り,ダ道悪,Lv2 ,514,,
中山,1,未勝利,ダート,1800,稍重,9,レッドシュトラール,3歳,丸山元気,宮田敬介,追込,0.0,0.0,中距離,右回り,ダ道悪,Lv2 ,472,,距離延長
中山,1,未勝利,ダート,1800,稍重,10,ワカムシャ,3歳,佐々木大,矢野英一,先行,0.0,0.0,中距離,右回り,ダ道悪,Lv2 ,498,,
中山,1,未勝利,ダート,1800,稍重,11,モンサンプレシャス,3歳,木幡巧也,牧光二,追込,0.0,0.0,中距離,右回り,ダ道悪,Lv2 ,492,連闘,
中山,1,未勝利,ダート,1800,稍重,12,リネンフラッシュ,3歳,柴田大知,粕谷昌央,差し,0.0,0.0,中距離,右回り,ダ道悪,Lv2 ,446,休明2走,距離延長
中山,1,未勝利,ダート,1800,稍重,13,プレシャストップ,3歳,嶋田純次,稲垣幸雄,差し,,,中距離,右回り,ダ道悪,Lv2 ,512,,距離延長
中山,2,未勝利,ダート,1200,稍重,1,ナックトライアンフ,3歳,佐藤翔馬,杉浦宏昭,差し,0.0,0.0,短距離,右回り,ダ道悪,Lv3 ,480,,
中山,2,未勝利,ダート,1200,稍重,2,ユウオウマイシン,3歳,佐々木大,松永康利,差し,0.0,0.0,短距離,右回り,ダ道悪,Lv3 ,470,休明3走,
中山,2,未勝利,ダート,1200,稍重,3,ワタシマツワ,3歳,松岡正海,竹内正洋,差し,,,短距離,右回り,ダ道悪,Lv3 ,404,連闘,
中山,2,未勝利,ダート,1200,稍重,4,フルーツワゴン,3歳,野中悠太,根本康広,追込,,,短距離,右回り,ダ道悪,Lv3 ,460,休明初戦,距離短縮
中山,2,未勝利,ダート,1200,稍重,5,ベルレオーネ,3歳,石田拓郎,天間昭一,追込,,,短距離,右回り,ダ道悪,Lv3 ,460,休明初戦,距離短縮
中山,2,未勝利,ダート,1200,稍重,6,ミズイロ,3歳,黛弘人,森一誠,,,,短距離,右回り,ダ道悪,Lv3 ,434,,
中山,2,未勝利,ダート,1200,稍重,7,グリーンエリクサー,3歳,原優介,青木孝文,先行,0.0,,短距離,右回り,ダ道悪,Lv3 ,504,休明2走,距離短縮
中山,2,未勝利,ダート,1200,稍重,8,スリーローズマリー,3歳,谷原柚希,伊藤圭三,差し,0.0,0.0,短距離,右回り,ダ道悪,Lv3 ,432,,
中山,2,未勝利,ダート,1200,稍重,9,ベールドゥフィーユ,3歳,斎藤新,加藤士津,差し,0.0,0.0,短距離,右回り,ダ道悪,Lv3 ,396,休明2走,
中山,2,未勝利,ダート,1200,稍重,10,パラモランド,3歳,大野拓弥,小手川準,差し,,,短距離,右回り,ダ道悪,Lv3 ,508,休明初戦,距離短縮
中山,2,未勝利,ダート,1200,稍重,11,ピコグリーン,3歳,木幡巧也,牧光二,先行,50.0,50.0,短距離,右回り,ダ道悪,Lv3 ,452,連闘,
中山,2,未勝利,ダート,1200,稍重,12,レトロブーム,3歳,上里直汰,西田雄一,差し,0.0,0.0,短距離,右回り,ダ道悪,Lv3 ,472,休明2走,
中山,2,未勝利,ダート,1200,稍重,13,ファリア,3歳,杉原誠人,土田稔,差し,0.0,0.0,短距離,右回り,ダ道悪,Lv3 ,452,休明3走,
中山,2,未勝利,ダート,1200,稍重,14,ステラマテュティナ,3歳,内田博幸,高柳瑞樹,差し,100.0,100.0,短距離,右回り,ダ道悪,Lv3 ,430,休明3走,
中山,2,未勝利,ダート,1200,稍重,15,プロピエダッド,3歳,長浜鴻緒,武藤善則,差し,0.0,,短距離,右回り,ダ道悪,Lv3 ,474,休明初戦,距離短縮
中山,2,未勝利,ダート,1200,稍重,16,クインズシフォン,3歳,石神深道,和田正一,先行,50.0,50.0,短距離,右回り,ダ道悪,Lv3 ,444,,
中山,3,未勝利,ダート,1800,稍重,1,オンザバサラ,3歳,木幡巧也,大和田成,追込,0.0,0.0,中距離,右回り,ダ道悪,Lv2 ,470,,
中山,3,未勝利,ダート,1800,稍重,2,サンライズフーガ,3歳,原優介,前川恭子,追込,,25.0,中距離,右回り,ダ道悪,Lv2 ,476,連闘,距離短縮
中山,3,未勝利,ダート,1800,稍重,3,カフェヘニーハイ,3歳,内田博幸,中舘英二,差し,,,中距離,右回り,ダ道悪,Lv2 ,500,休明2走,距離延長
中山,3,未勝利,ダート,1800,稍重,4,ミルキーハニー,3歳,上里直汰,尾形和幸,差し,0.0,0.0,中距離,右回り,ダ道悪,Lv2 ,482,連闘,
中山,3,未勝利,ダート,1800,稍重,5,ハーレムシャフル,3歳,北村宏司,勢司和浩,差し,,,中距離,右回り,ダ道悪,Lv2 ,446,休明2走,距離延長
中山,3,未勝利,ダート,1800,稍重,6,ソラノキャンバス,3歳,石神深道,武井亮,差し,,0.0,中距離,右回り,ダ道悪,Lv2 ,420,休明初戦,距離延長
中山,3,未勝利,ダート,1800,稍重,7,グランスターオー,3歳,水沼元輝,加藤和宏,追込,,0.0,中距離,右回り,ダ道悪,Lv2 ,502,休明初戦,距離延長
中山,3,未勝利,ダート,1800,稍重,8,ナイトダンサー,3歳,石田拓郎,佐藤吉勝,追込,,0.0,中距離,右回り,ダ道悪,Lv2 ,450,休明3走,
中山,3,未勝利,ダート,1800,稍重,9,ホウヨウムーン,3歳,嶋田純次,伊坂重信,差し,,,中距離,右回り,ダ道悪,Lv2 ,448,休明2走,距離延長
中山,3,未勝利,ダート,1800,稍重,10,ニニンサンキャク,3歳,原田和真,蛯名利弘,追込,0.0,,中距離,右回り,ダ道悪,Lv2 ,436,連闘,距離延長
中山,3,未勝利,ダート,1800,稍重,11,グレイテストソング,3歳,佐々木大,小笠倫弘,差し,100.0,100.0,中距離,右回り,ダ道悪,Lv2 ,428,,
中山,3,未勝利,ダート,1800,稍重,12,ティアップドライブ,3歳,丸田恭介,奥平雅士,先行,0.0,0.0,中距離,右回り,ダ道悪,Lv2 ,498,休明3走,
中山,3,未勝利,ダート,1800,稍重,13,キープオントップ,3歳,長浜鴻緒,西田雄一,差し,0.0,0.0,中距離,右回り,ダ道悪,Lv2 ,514,,
中山,4,未勝利,障害,2880,良,1,ケンヴァイザッハ,5歳以上,伴啓太,石栗龍彦,差し,,,長距離,右回り,,,448,休明初戦,距離延長
中山,4,未勝利,障害,2880,良,2,バレンタインソング,5歳以上,黒岩悠,小崎憲,差し,,,長距離,右回り,,,468,休明初戦,距離延長
中山,4,未勝利,障害,2880,良,3,アルカンサス,5歳以上,土田真翔,土田稔,追込,20.0,,長距離,右回り,,,486,,
中山,4,未勝利,障害,2880,良,4,リーゼントジャンボ,5歳以上,難波剛健,小手川準,追込,,,長距離,右回り,,,528,休明2走,距離短縮
中山,4,未勝利,障害,2880,良,5,ウィズユアドリーム,5歳以上,高田潤,宮地貴稔,逃げ,0.0,,長距離,右回り,,,504,休明3走,距離延長
中山,4,未勝利,障害,2880,良,6,カルマンフィルター,4歳,草野太郎,戸田博文,追込,50.0,,長距離,右回り,,,494,,
中山,4,未勝利,障害,2880,良,7,モーソンピーク,5歳以上,坂口智康,浅利英明,先行,0.0,,長距離,右回り,,,510,休明初戦,
中山,4,未勝利,障害,2880,良,8,アルマーザアミール,4歳,小牧加矢,斉藤崇史,先行,,,長距離,右回り,,,486,休明3走,距離延長
中山,4,未勝利,障害,2880,良,9,メイショウカズサ,5歳以上,森一馬,安達昭夫,逃げ,,,長距離,右回り,,,486,休明3走,距離延長
中山,4,未勝利,障害,2880,良,10,アルマドラード,5歳以上,上野翔,小笠倫弘,先行,,,長距離,右回り,,,534,休明初戦,距離延長
中山,4,未勝利,障害,2880,良,11,アルデドゥオーモ,4歳,五十嵐雄,矢野英一,追込,100.0,,長距離,右回り,,,492,休明2走,
中山,4,未勝利,障害,2880,良,12,ユイノコキュウ,4歳,大江原圭,竹内正洋,逃げ,0.0,,長距離,右回り,,,484,休明2走,
中山,5,未勝利,芝,1600,良,1,ルトンワージ,3歳,杉原誠人,斎藤誠,追込,75.0,75.0,短距離,右回り,,Lv2 ,450,,
中山,5,未勝利,芝,1600,良,2,ホウオウハナビ,3歳,丸田恭介,奥村武,差し,0.0,0.0,短距離,右回り,,Lv2 ,478,,
中山,5,未勝利,芝,1600,良,3,オカゲサン,3歳,石神深道,尾形和幸,差し,0.0,0.0,短距離,右回り,,Lv2 ,498,休明2走,距離延長
中山,5,未勝利,芝,1600,良,4,コア,3歳,石川裕紀,相沢郁,先行,0.0,,短距離,右回り,,Lv2 ,484,休明初戦,距離短縮
中山,5,未勝利,芝,1600,良,5,ガーネットウインク,3歳,石田拓郎,小西一男,逃げ,,0.0,短距離,右回り,,Lv2 ,492,休明初戦,
中山,5,未勝利,芝,1600,良,6,ペイシャキャット,3歳,小林脩斗,粕谷昌央,,,,短距離,右回り,,Lv2 ,444,,
中山,5,未勝利,芝,1600,良,7,ララセリーヌ,3歳,木幡巧也,牧光二,,,,短距離,右回り,,Lv2 ,440,,
中山,5,未勝利,芝,1600,良,8,オーセンティアン,3歳,荻野極,高橋文雅,追込,0.0,0.0,短距離,右回り,,Lv2 ,462,休明初戦,
中山,5,未勝利,芝,1600,良,9,ウインバーテックス,3歳,長浜鴻緒,清水英克,追込,0.0,0.0,短距離,右回り,,Lv2 ,462,休明初戦,
中山,5,未勝利,芝,1600,良,10,ヤマノインパクト,3歳,斎藤新,本間忍,逃げ,0.0,,短距離,右回り,,Lv2 ,462,休明初戦,距離短縮
中山,5,未勝利,芝,1600,良,11,ニットウアクシア,3歳,松岡正海,稲垣幸雄,差し,100.0,100.0,短距離,右回り,,Lv2 ,448,,
中山,5,未勝利,芝,1600,良,12,ソランチャン,3歳,原優介,小手川準,追込,,0.0,短距離,右回り,,Lv2 ,426,休明初戦,
中山,5,未勝利,芝,1600,良,13,ヨタロー,3歳,西村太一,堀内岳志,,,,短距離,右回り,,Lv2 ,442,,
中山,5,未勝利,芝,1600,良,14,ジーティーレグルス,3歳,大野拓弥,栗田徹,,,,短距離,右回り,,Lv2 ,462,,
中山,5,未勝利,芝,1600,良,15,ゼロファイター,3歳,柴田大知,和田雄二,追込,,0.0,短距離,右回り,,Lv2 ,390,休明初戦,距離短縮
中山,5,未勝利,芝,1600,良,16,ダングラール,3歳,舟山瑠泉,田中博康,先行,50.0,50.0,短距離,右回り,,Lv2 ,462,,
中山,6,自己条件,ダート,1800,稍重,1,ニシノケンタマン,3歳,内田博幸,深山雅史,差し,50.0,50.0,中距離,右回り,ダ道悪,Lv2 ,452,休明2走,
中山,6,自己条件,ダート,1800,稍重,2,フィーチャリング,3歳,原優介,和田正一,追込,50.0,50.0,中距離,右回り,ダ道悪,Lv2 ,470,休明2走,距離延長
中山,6,自己条件,ダート,1800,稍重,3,ビッキーファースト,3歳,菱田裕二,武幸四郎,差し,,,中距離,右回り,ダ道悪,Lv2 ,488,休明2走,距離短縮
中山,6,自己条件,ダート,1800,稍重,4,チュウワクリスエス,3歳,原田和真,栗田徹,逃げ,100.0,100.0,中距離,右回り,ダ道悪,Lv2 ,490,,
中山,6,自己条件,ダート,1800,稍重,5,ハルノアラシ,3歳,石川裕紀,相沢郁,先行,75.0,66.66666666666666,中距離,右回り,ダ道悪,Lv2 ,510,,
中山,6,自己条件,ダート,1800,稍重,6,タイセイデクスター,3歳,長浜鴻緒,伊藤圭三,差し,50.0,50.0,中距離,右回り,ダ道悪,Lv2 ,484,,距離短縮
中山,6,自己条件,ダート,1800,稍重,7,ミライヘノカギ,3歳,佐々木大,上原佑紀,先行,,100.0,中距離,右回り,ダ道悪,Lv2 ,520,,距離延長
中山,6,自己条件,ダート,1800,稍重,8,カージオイド,3歳,大野拓弥,黒岩陽一,先行,50.0,50.0,中距離,右回り,ダ道悪,Lv2 ,514,,
