場所,R,クラス,種別,距離,馬場状態,馬番,馬名,年齢,騎手名,調教師名,距離区分,回り,道悪判定,種牡馬名,臨戦過程,距離変遷
京都,1,未勝利,ダート,1200,良(暫定),1,カシノフレックス,3歳,岩部純二,牧田和弥,短距離,右回り,,ミスチヴィアスアレックス,連闘,距離短縮
京都,1,未勝利,ダート,1200,良(暫定),2,クリーンブーケ,3歳,酒井学,荒川義之,短距離,右回り,,シルバーステート,,距離短縮
京都,1,未勝利,ダート,1200,良(暫定),3,メイワキラリ,3歳,鮫島良太,河嶋宏樹,短距離,右回り,,ミスターメロディ,休明3走,
京都,1,未勝利,ダート,1200,良(暫定),4,メイショウライゴー,3歳,西村淳也,安達昭夫,短距離,右回り,,ヴァンゴッホ,,距離短縮
京都,1,未勝利,ダート,1200,良(暫定),5,モズオサキニ,3歳,団野大成,杉山佳明,短距離,右回り,,モズアスコット,,
京都,1,未勝利,ダート,1200,良(暫定),6,シャンデヴィーニュ,3歳,川端海翼,秋山真一,短距離,右回り,,ミスターメロディ,,距離短縮
京都,1,未勝利,ダート,1200,良(暫定),7,アルサック,3歳,松山弘平,西園正都,短距離,右回り,,シルバーステート,,距離延長
京都,1,未勝利,ダート,1200,良(暫定),8,クロノレガリス,3歳,荻野極,千葉直人,短距離,右回り,,スワーヴリチャード,,距離短縮
京都,1,未勝利,ダート,1200,良(暫定),9,ガーリッシュ,3歳,幸英明,鈴木孝志,短距離,右回り,,ヘニーヒューズ,,距離短縮
京都,1,未勝利,ダート,1200,良(暫定),10,タイセイパフューム,3歳,泉谷楓真,牧浦充徳,短距離,右回り,,マインドユアビスケッツ,連闘,
京都,1,未勝利,ダート,1200,良(暫定),11,ナムラオットー,3歳,城戸義政,荒川義之,短距離,右回り,,アニマルキングダム,,
京都,1,未勝利,ダート,1200,良(暫定),12,アイファーセラピー,3歳,森田誠也,蛯名利弘,短距離,右回り,,タニノフランケル,,
京都,1,未勝利,ダート,1200,良(暫定),13,アドフランマム,3歳,太宰啓介,本田優,短距離,右回り,,パイロ,,
京都,1,未勝利,ダート,1200,良(暫定),14,プレデンシア,3歳,北村友一,中尾秀正,短距離,右回り,,ルヴァンスレーヴ,,
京都,1,未勝利,ダート,1200,良(暫定),15,カプリースカラー,3歳,菱田裕二,金成貴史,短距離,右回り,,ホークビル,,
京都,1,未勝利,ダート,1200,良(暫定),16,スリーコーズ,3歳,川田将雅,伊藤圭三,短距離,右回り,,スズカコーズウェイ,,
京都,2,未勝利,ダート,1800,良(暫定),1,アンリミテッド,3歳,西村淳也,高野友和,中距離,右回り,,キズナ,,
京都,2,未勝利,ダート,1800,良(暫定),2,アンファール,3歳,国分優作,和田雄二,中距離,右回り,,レッドファルクス,,距離延長
京都,2,未勝利,ダート,1800,良(暫定),3,ウインデイブレイク,3歳,藤懸貴志,青木孝文,中距離,右回り,,ベンバトル,連闘,距離延長
京都,2,未勝利,ダート,1800,良(暫定),4,アージュドール,3歳,幸英明,森田直行,中距離,右回り,,オルフェーヴル,,距離短縮
京都,2,未勝利,ダート,1800,良(暫定),5,ポッドジーク,3歳,吉村誠之,西園正都,中距離,右回り,,キズナ,,
京都,2,未勝利,ダート,1800,良(暫定),6,マテンロウアワー,3歳,松山弘平,福永祐一,中距離,右回り,,Constitution,,
京都,2,未勝利,ダート,1800,良(暫定),7,メイショウゴウケツ,3歳,太宰啓介,石橋守,中距離,右回り,,リオンディーズ,,
京都,2,未勝利,ダート,1800,良(暫定),8,ショウナンアワード,3歳,団野大成,東田明士,中距離,右回り,,リアルスティール,,距離延長
京都,2,未勝利,ダート,1800,良(暫定),9,ワンダフルデイズ,3歳,ハマーハ,高橋義忠,中距離,右回り,,ルーラーシップ,,
京都,3,未勝利,ダート,1400,良(暫定),1,キャスケード,3歳,団野大成,高橋亮,短距離,右回り,,ミスターメロディ,休明2走,
京都,3,未勝利,ダート,1400,良(暫定),2,ハッピーバンク,3歳,西村淳也,茶木太樹,短距離,右回り,,アジアエクスプレス,,
京都,3,未勝利,ダート,1400,良(暫定),3,ミリアリア,3歳,川又賢治,杉山佳明,短距離,右回り,,ディープブリランテ,,
京都,3,未勝利,ダート,1400,良(暫定),4,アンティスマ,3歳,太宰啓介,石橋守,短距離,右回り,,ベンバトル,,
