場所,R,馬番,馬名,種牡馬名,種牡馬利益度_1,種牡馬利益度_2,種牡馬利益度_3,種牡馬利益度_4,種牡馬利益度_5,種牡馬利益度_6,種牡馬利益度_7,種牡馬利益度_8,種牡馬利益度,種牡馬利益度順位
東京,1,1,ライズトゥザトップ,パイロ,470.0,449.0,1992.0,229.0,480.0,677.0,,,4297.0,2.0
東京,1,2,ピコピンク,ヘニーヒューズ,1217.0,1513.0,4244.0,1123.0,1613.0,1443.0,726.0,1523.0,13402.0,1.0
東京,1,3,トーセンビギン,New Bay,,,,,,,,,,
東京,1,4,キスメット,ビッグアーサー,-516.0,-2787.0,-3499.0,-830.0,-2916.0,-1460.0,-788.0,-1879.0,-14675.0,11.0
東京,1,5,キョウキランブ,エスケンデレヤ,67.0,137.0,1105.0,48.0,-460.0,-79.0,,,818.0,4.0
東京,1,6,ヤマメキング,ドレフォン,-363.0,955.0,2830.0,-825.0,-393.0,-1434.0,,,770.0,5.0
東京,1,7,アイスリーディング,サンダースノー,-356.0,-198.0,-469.0,-2184.0,-505.0,-545.0,,,-4257.0,8.0
東京,1,8,ポミチョッタ,アメリカンペイトリオット,-1854.0,-507.0,-911.0,743.0,46.0,-1462.0,-561.0,-286.0,-4792.0,9.0
東京,1,9,ベアイミュニティ,ドレフォン,-363.0,955.0,2830.0,-825.0,-393.0,-1434.0,,,770.0,5.0
東京,1,10,キョウエイスレーヴ,ルヴァンスレーヴ,,,,,,,,,,
東京,1,11,ドラゴンムスメ,スノードラゴン,,,,,,,,,,
東京,1,12,コンスピラシー,アメリカンペイトリオット,-1854.0,-507.0,-911.0,743.0,46.0,-1462.0,-561.0,-286.0,-4792.0,9.0
東京,1,13,トーセンディーン,New Bay,,,,,,,,,,
東京,1,14,オーレオリン,ゴールドドリーム,,,,,,,,,,
東京,1,15,ルクソールカフェ,American Pharoah,-51.0,783.0,-38.0,-91.0,235.0,-136.0,185.0,-35.0,852.0,3.0
東京,1,16,アドマイヤデイトナ,ドレフォン,-363.0,955.0,2830.0,-825.0,-393.0,-1434.0,,,770.0,5.0
東京,2,1,エリカマユーリ,Quality Road,270.0,-57.0,-79.0,0.0,362.0,312.0,26.0,,834.0,6.0
東京,2,2,ニューウォーク,ニューイヤーズデイ,232.0,889.0,1517.0,2799.0,2457.0,1553.0,-759.0,,8688.0,4.0
東京,2,3,ソープストーン,カレンブラックヒル,1539.0,470.0,497.0,1868.0,2686.0,2061.0,-11.0,,9110.0,3.0
東京,2,4,ミヤイグアス,Dark Angel,0.0,62.0,620.0,-90.0,516.0,-122.0,-18.0,,968.0,5.0
東京,2,5,ソーダーンライト,Too Darn Hot,,,,,,,,,,
東京,2,6,ガジュノリホワイト,リアルスティール,1177.0,3243.0,1406.0,1342.0,5088.0,2256.0,,,14512.0,1.0
東京,2,7,ナックオリオン,ミスターメロディ,,,,,,,,,,
東京,2,8,タベザカリ,トーホウジャッカル,,,,,,,,,,
東京,2,9,エイシンマクルーベ,ワンアンドオンリー,-189.0,322.0,300.0,1.0,-473.0,84.0,-55.0,,-10.0,8.0
東京,2,10,サヨノスピークロウ,タワーオブロンドン,,,,,,,,,,
