場所,R,馬番,馬名,種牡馬名,種牡馬利益度_1,種牡馬利益度_2,種牡馬利益度_3,種牡馬利益度_4,種牡馬利益度_5,種牡馬利益度_6,種牡馬利益度_7,種牡馬利益度_8,種牡馬利益度,種牡馬利益度順位
中山,1,1,バイアブランカ,イスラボニータ,2615.0,2297.0,-33.0,762.0,306.0,2721.0,1223.0,456.0,10347.0,1.0
中山,1,2,ビレッジルイーザ,ノーブルミッション,-1625.0,-5484.0,-3755.0,-5173.0,-4435.0,-5027.0,-489.0,-751.0,-26739.0,16.0
中山,1,3,シラカワゴウ,ハービンジャー,-98.0,-1622.0,-1294.0,-654.0,-1583.0,-403.0,,,-5654.0,13.0
中山,1,4,トレンドラド,レイデオロ,38.0,2847.0,-1287.0,-699.0,348.0,-234.0,151.0,-796.0,368.0,4.0
中山,1,5,ドロボーネコ,キンシャサノキセキ,5.0,143.0,-234.0,-454.0,-95.0,-265.0,-228.0,-274.0,-1402.0,10.0
中山,1,6,サラサチャチャチャ,ダノンスマッシュ,412.0,-1092.0,-1088.0,-1120.0,-1181.0,-130.0,-551.0,,-4750.0,12.0
中山,1,7,イデアクリスタル,ホークビル,-390.0,96.0,-982.0,299.0,297.0,175.0,445.0,-768.0,-828.0,8.0
中山,1,8,ロジマギー,ハービンジャー,-98.0,-1622.0,-1294.0,-654.0,-1583.0,-403.0,-2569.0,84.0,-8139.0,15.0
中山,1,9,フライスカイハイ,ロードカナロア,-602.0,-653.0,-292.0,-756.0,-1488.0,-1931.0,,,-5722.0,14.0
中山,1,10,ダイユウアドバンス,クリソベリル,669.0,-600.0,-541.0,574.0,299.0,-161.0,-256.0,,-16.0,5.0
中山,1,11,イヌボウノサザナミ,ダノンキングリー,277.0,113.0,661.0,-118.0,235.0,,,,1168.0,3.0
中山,1,12,ロココ,ミスターメロディ,-50.0,2.0,-949.0,1134.0,-1707.0,58.0,,,-1512.0,11.0
中山,1,13,エリザベスタウン,ホッコータルマエ,1170.0,1436.0,1620.0,1329.0,1511.0,-5.0,,,7061.0,2.0
中山,1,14,タートルインメイ,ロージズインメイ,-317.0,18.0,30.0,-35.0,-29.0,-296.0,359.0,189.0,-81.0,7.0
中山,1,15,ピュアエンブレム,サトノダイヤモンド,485.0,1095.0,973.0,-2260.0,-488.0,-1050.0,1142.0,79.0,-24.0,6.0
中山,1,16,フローラルアーチ,マインドユアビスケッツ,-1252.0,1338.0,-290.0,-222.0,-241.0,-1281.0,-59.0,852.0,-1155.0,9.0
中山,2,1,アイアムアッパレ,リオンディーズ,659.0,-2276.0,183.0,-2090.0,-343.0,999.0,-1725.0,619.0,-3974.0,9.0
中山,2,2,コパノミラノ,コパノリッキー,-294.0,-233.0,-2216.0,-933.0,-781.0,-1164.0,,,-5621.0,11.0
中山,2,3,キリスパークル,ディーマジェスティ,612.0,1859.0,1746.0,1911.0,750.0,984.0,404.0,1439.0,9705.0,2.0
中山,2,4,クアッドフォルツァ,ゴールドドリーム,-677.0,-1742.0,-1839.0,-984.0,534.0,-277.0,,,-4985.0,10.0
中山,2,5,アトラステソーロ,キタサンブラック,27.0,122.0,-104.0,-143.0,499.0,1362.0,,,1763.0,6.0
中山,2,6,ウインドオブヘヴン,ロードカナロア,-602.0,-653.0,-292.0,-756.0,-1488.0,-1931.0,-518.0,-1035.0,-7275.0,15.0
中山,2,7,スーパーハイウェイ,アメリカンペイトリオット,-532.0,-1521.0,-1683.0,-1602.0,-622.0,829.0,-815.0,-588.0,-6534.0,13.0
中山,2,8,チェストー,レッドファルクス,782.0,231.0,1550.0,6.0,422.0,164.0,1635.0,229.0,5019.0,4.0
中山,2,9,トーケンジンロック,サトノクラウン,-12.0,-1807.0,73.0,-837.0,-2698.0,-755.0,-707.0,640.0,-6103.0,12.0
中山,2,10,ゴーフォアブローク,インディチャンプ,-378.0,1391.0,448.0,482.0,530.0,-161.0,-472.0,,1840.0,5.0
中山,2,11,エコロストーム,ロージズインメイ,-317.0,18.0,30.0,-35.0,-29.0,-296.0,,,-629.0,8.0
中山,2,12,ケイジ,マジェスティックウォリアー,-324.0,-1942.0,396.0,258.0,49.0,339.0,229.0,1599.0,604.0,7.0
中山,2,13,イヌボウノヒカリ,ディーマジェスティ,612.0,1859.0,1746.0,1911.0,750.0,984.0,65.0,1439.0,9366.0,3.0
中山,2,14,ブルースパーダ,ゴールドドリーム,-677.0,-1742.0,-1839.0,-984.0,534.0,-277.0,-129.0,-2969.0,-8083.0,16.0
中山,2,15,ガクエンテンゴク,アメリカンペイトリオット,-532.0,-1521.0,-1683.0,-1602.0,-622.0,829.0,-815.0,-588.0,-6534.0,13.0
中山,2,16,シンエンドーツダ,イスラボニータ,2615.0,2297.0,-33.0,762.0,306.0,2721.0,1223.0,456.0,10347.0,1.0
中山,3,1,ジャンプストリート,サトノジェネシス,,,,,,,,,,
中山,3,2,ニシノバリキング,マテラスカイ,1302.0,-202.0,-432.0,108.0,580.0,,,,1356.0,5.0
中山,3,3,フォーアライター,ハービンジャー,-98.0,-1622.0,-1294.0,-654.0,-1010.0,-403.0,-2569.0,84.0,-7566.0,12.0
中山,3,4,ヘヴンズドライブ,ダノンスマッシュ,412.0,-1092.0,-1088.0,-677.0,-1181.0,,,,-3626.0,10.0
中山,3,5,ピルスナー,ベンバトル,238.0,1307.0,-383.0,435.0,130.0,286.0,617.0,,2630.0,4.0
中山,3,6,カンノンミッキー,ミッキーロケット,968.0,119.0,-160.0,-106.0,211.0,834.0,-278.0,-582.0,1006.0,6.0
中山,3,7,ネオアカジョウ,ダノンスマッシュ,412.0,-1092.0,-1088.0,-677.0,-1181.0,,,,-3626.0,10.0
中山,3,8,ヌクレオチド,モズアスコット,1264.0,3811.0,3010.0,2625.0,3566.0,1792.0,2534.0,1412.0,20014.0,1.0
中山,3,9,マイエラ,リオンディーズ,659.0,-2276.0,183.0,-2090.0,-878.0,999.0,638.0,619.0,-2146.0,7.0
中山,3,10,キョンチャン,バゴ,-1110.0,-2002.0,-703.0,-2389.0,-598.0,-965.0,,,-7767.0,13.0
中山,3,11,ボビネット,イスラボニータ,2615.0,2297.0,-33.0,762.0,2310.0,2721.0,,,10672.0,3.0
中山,3,12,エーデルハイ,シャンハイボビー,-1380.0,-379.0,-1987.0,-852.0,-925.0,-1849.0,-198.0,-1009.0,-8579.0,14.0
中山,3,13,フィールマイプラン,サトノクラウン,-12.0,-1807.0,73.0,-837.0,-238.0,-755.0,365.0,640.0,-2571.0,9.0
中山,3,14,モーゲンセン,Mendelssohn,,,,,,,,,,
中山,3,15,シューペルブリアン,ダノンレジェンド,829.0,-66.0,3873.0,1930.0,3216.0,3060.0,,,12842.0,2.0
中山,3,16,エリンフレーム,フィレンツェファイア,-944.0,-215.0,244.0,-195.0,-1095.0,,,,-2205.0,8.0
中山,4,1,ゴールドブレイズ,ゴールドドリーム,-677.0,-231.0,-1839.0,-984.0,534.0,-277.0,,,-3474.0,7.0
中山,4,2,エコロガノン,マジェスティックウォリアー,-324.0,1761.0,396.0,258.0,49.0,339.0,,,2479.0,3.0
中山,4,3,ヴァレンティーニ,ナダル,239.0,268.0,1069.0,-1027.0,1034.0,-791.0,,,792.0,5.0
中山,4,4,エスシービクトリア,マクフィ,-1250.0,-297.0,-583.0,-1344.0,-448.0,-1262.0,,,-5184.0,8.0
中山,4,5,タイセイジェイド,クリソベリル,669.0,-59.0,-541.0,574.0,299.0,-161.0,-256.0,,525.0,6.0
中山,4,6,ガムラスタン,サンダースノー,1914.0,1139.0,3648.0,3139.0,820.0,2869.0,,,13529.0,2.0
中山,4,7,チャーリー,クリソベリル,669.0,-59.0,-541.0,574.0,299.0,,,,942.0,4.0
中山,4,8,ランニングビーチ,ルヴァンスレーヴ,2709.0,5699.0,9332.0,8529.0,7661.0,8101.0,3010.0,3715.0,48756.0,1.0
中山,5,1,アンニャンクッキー,ワールドプレミア,,,,,,,,,,
中山,5,2,サザンテイオー,シルバーステート,2039.0,-1281.0,2587.0,-462.0,-97.0,1278.0,,,4064.0,2.0
中山,5,3,リーデレクオーレ,アルアイン,457.0,-1478.0,-138.0,-2430.0,571.0,-660.0,-1144.0,,-4822.0,10.0
中山,5,4,ルモンテ,ワールドプレミア,,,,,,,,,,
中山,5,5,プリティウーマン,コントレイル,-425.0,-394.0,131.0,96.0,-620.0,,,,-1212.0,6.0
中山,5,6,スーパーチャイルド,モーリス,-2090.0,-707.0,-1842.0,-1490.0,-2479.0,-4301.0,451.0,,-12458.0,12.0
中山,5,7,ガヤーズベース,フォーウィールドライブ,479.0,2466.0,1082.0,896.0,3272.0,67.0,,,8262.0,1.0
中山,5,8,ビップジョワ,サトノダイヤモンド,485.0,1095.0,-2004.0,-2260.0,302.0,-1050.0,,,-3432.0,7.0
中山,5,9,アテナガール,アルアイン,457.0,-1478.0,-138.0,-2430.0,571.0,-660.0,,,-3678.0,9.0
中山,5,10,ヴァイツェン,ゴールドシップ,-895.0,-923.0,-664.0,-890.0,-1465.0,-1154.0,,,-5991.0,11.0
中山,5,11,アイアンパイク,ヘンリーバローズ,67.0,-173.0,1068.0,-53.0,345.0,928.0,,,2182.0,3.0
中山,5,12,テンムス,ノヴェリスト,-185.0,-947.0,288.0,242.0,-365.0,483.0,,,-484.0,5.0
中山,5,13,ウィズアツインクル,ダノンバラード,-2889.0,-367.0,224.0,221.0,-184.0,-594.0,,,-3589.0,8.0
中山,5,14,ナハトナナレオン,モーリス,-2090.0,-707.0,-1842.0,-1490.0,-2479.0,-4301.0,,,-12909.0,13.0
中山,5,15,リバーブレーション,マインドユアビスケッツ,-1252.0,1338.0,561.0,-222.0,552.0,-1281.0,-59.0,,-363.0,4.0
中山,5,16,リッチフィールド,マクマホン,,,,,,,,,,
中山,6,1,マタミカンサン,ゴールドドリーム,-677.0,-231.0,-1839.0,534.0,-277.0,,,,-2490.0,9.0
