場所,R,馬番,馬名,調教師名,調教師利益度_1,調教師利益度_2,調教師利益度_3,調教師利益度_4,調教師利益度_5,調教師利益度_6,調教師利益度_7,調教師利益度_8,調教師利益度,調教師利益度順位
函館,1,1,リオマダムレッド,前川恭子,,,,,,,,,,
函館,1,2,ヴィヒタ,松山将樹,-790.0,-33.0,-392.0,1079.0,-1537.0,-1932.0,-189.0,,-3794.0,9.0
函館,1,3,リアルアルバ,大橋勇樹,314.0,684.0,226.0,52.0,-747.0,1128.0,-580.0,,1077.0,3.0
函館,1,4,マスキュラー,高橋一哉,221.0,-1710.0,-3120.0,-1802.0,-2381.0,-1600.0,,,-10392.0,10.0
函館,1,5,ディオスデルマール,秋山真一,,,,,,,,,,
函館,1,6,ウレシイゴサン,伊藤大士,681.0,-722.0,-1063.0,-540.0,-1213.0,-926.0,,,-3783.0,8.0
函館,1,7,アイオロステソーロ,高橋文雅,29.0,-473.0,17.0,52.0,190.0,194.0,,,9.0,5.0
函館,1,8,ダイヤテソーロ,牧光二　,496.0,1408.0,911.0,960.0,473.0,816.0,,,5064.0,1.0
函館,1,9,アパタイトテソーロ,畠山吉宏,-209.0,-212.0,314.0,-538.0,-1056.0,-356.0,,,-2057.0,6.0
函館,1,10,ドナソレイ,伊藤圭三,673.0,-680.0,919.0,-742.0,244.0,-144.0,491.0,,761.0,4.0
函館,1,11,ワイドアルバ,藤野健太,474.0,-1027.0,-1080.0,-459.0,-1019.0,-509.0,,,-3620.0,7.0
函館,1,12,トーセンクリステル,杉浦宏昭,286.0,458.0,203.0,-16.0,882.0,835.0,,,2648.0,2.0
函館,2,1,ハッピーウィズユー,小笠倫弘,307.0,-993.0,-35.0,-1082.0,-1094.0,-134.0,,,-3031.0,10.0
函館,2,2,ケングロリア,高橋康之,-356.0,-871.0,-1149.0,-1746.0,-991.0,-855.0,,,-5968.0,12.0
函館,2,3,ジーティーレイナ,天間昭一,236.0,-250.0,-1845.0,-1349.0,-484.0,-1438.0,,,-5130.0,11.0
函館,2,4,ベルシエル,高橋義忠,-94.0,579.0,-515.0,40.0,-259.0,7.0,,,-242.0,8.0
函館,2,5,ハイゼンスレイ,畑端省吾,-106.0,930.0,1507.0,268.0,691.0,1776.0,,,5066.0,2.0
函館,2,6,ユージュアーナ,奥村豊　,-37.0,711.0,430.0,319.0,541.0,1608.0,769.0,,4341.0,3.0
函館,2,7,カラーズリング,羽月友彦,226.0,59.0,-40.0,-233.0,231.0,-28.0,,,215.0,5.0
函館,2,8,スフレ,野中賢二,-221.0,-335.0,28.0,-237.0,279.0,686.0,,,200.0,6.0
函館,2,9,クリムゾンボタン,小手川準,-170.0,-312.0,1019.0,-1187.0,-748.0,-949.0,,,-2347.0,9.0
函館,2,10,バッドガール,安田翔伍,27.0,283.0,44.0,-114.0,83.0,442.0,313.0,,1078.0,4.0
函館,2,11,キラフォーニア,菊沢隆徳,-69.0,304.0,-27.0,524.0,-223.0,-639.0,102.0,,-28.0,7.0
函館,2,12,カシマスウィープ,伊藤伸一,-48.0,-1973.0,-1993.0,-2611.0,-876.0,-698.0,,,-8199.0,14.0
