場所,R,馬番,馬名,調教師名,調教師利益度_1,調教師利益度_2,調教師利益度_3,調教師利益度_4,調教師利益度_5,調教師利益度_6,調教師利益度_7,調教師利益度_8,調教師利益度,調教師利益度順位
福島,1,1,セイウンレガーメ,田島俊明,520.0,-704.0,670.0,-854.0,-107.0,-186.0,-811.0,,-1472.0,7.0
福島,1,2,ハルヒメ,矢嶋大樹,-1286.0,924.0,-1484.0,-576.0,-1048.0,-1344.0,,,-4814.0,12.0
福島,1,3,グラティアム,嘉藤貴行,157.0,415.0,476.0,-322.0,552.0,574.0,,,1852.0,5.0
福島,1,4,タマコロリン,村田一誠,119.0,-3583.0,-3702.0,-3031.0,-3038.0,-2769.0,,,-16004.0,16.0
福島,1,5,エンゲルベルク,加藤和宏,-640.0,-910.0,-1168.0,-390.0,-1062.0,-2031.0,,,-6201.0,14.0
福島,1,6,マユナイト,高橋康之,-352.0,-871.0,-1149.0,-207.0,407.0,-855.0,,,-3027.0,10.0
福島,1,7,アンセートゥモダン,杉浦宏昭,490.0,458.0,203.0,-16.0,882.0,835.0,,,2852.0,2.0
福島,1,8,コスモラパウィラ,相沢郁　,-229.0,-1345.0,-726.0,349.0,-1186.0,-5.0,,,-3142.0,11.0
福島,1,9,アンバサダネージュ,武藤善則,538.0,-20.0,-1252.0,-732.0,-550.0,268.0,,,-1748.0,8.0
福島,1,10,コブラツイスト,石栗龍彦,361.0,-196.0,722.0,178.0,1232.0,-251.0,,,2046.0,4.0
福島,1,11,イーガービーバー,和田正一,353.0,853.0,97.0,340.0,1253.0,1232.0,-602.0,,3526.0,1.0
福島,1,12,アルサック,西園正都,-144.0,-415.0,2145.0,-96.0,502.0,377.0,,,2369.0,3.0
福島,1,13,メイポール,武市康男,-503.0,-2410.0,-2334.0,-96.0,-1688.0,-1800.0,,,-8831.0,15.0
福島,1,14,ドリームガッサン,鈴木伸尋,450.0,264.0,-1367.0,-13.0,-605.0,-181.0,,,-1452.0,6.0
